lifecycle:transition,concept:name,case:concept:name,case:label,time:timestamp
complete,Queued,case_0,positive,2024-08-12 13:58:10.977117+00:00
complete,Queued,case_0,positive,2024-10-30 17:02:11.278802080+00:00
complete,Accepted,case_0,positive,2024-11-11 09:14:03.809845078+00:00
complete,Accepted,case_0,positive,2025-05-30 08:53:33.108798734+00:00
complete,Completed,case_0,positive,2026-01-19 14:57:57.042772070+00:00
complete,Unmatched,case_0,positive,2026-06-02 15:52:42.948272586+00:00
complete,Unmatched,case_0,positive,2026-10-14 16:49:41.303794766+00:00
complete,Unmatched,case_0,positive,2027-08-16 08:25:57.934265182+00:00
complete,Queued,case_1,positive,2024-08-12 16:24:21.547940149+00:00
complete,Queued,case_1,positive,2024-11-26 16:32:51.198753439+00:00
complete,Accepted,case_1,positive,2024-11-26 16:32:51.198853439+00:00
complete,Accepted,case_1,positive,2025-05-27 14:59:30.319220951+00:00
complete,Accepted,case_1,positive,2025-06-09 08:24:46.390477314+00:00
complete,Accepted,case_1,positive,2025-06-20 13:26:18.325727723+00:00
complete,Completed,case_1,positive,2025-09-15 15:03:48.426917225+00:00
complete,Unmatched,case_1,positive,2025-09-15 15:03:48.427017225+00:00
complete,Queued,case_2,positive,2024-08-13 02:31:33.677523265+00:00
complete,Queued,case_2,positive,2024-08-13 08:31:33.677623265+00:00
complete,Queued,case_2,positive,2024-08-13 08:31:33.677723265+00:00
complete,Accepted,case_2,positive,2025-01-06 08:55:32.532126639+00:00
complete,Accepted,case_2,positive,2025-04-10 08:09:23.620590571+00:00
complete,Completed,case_2,positive,2026-01-13 08:58:48.537254391+00:00
complete,Unmatched,case_2,positive,2026-06-12 14:41:01.753831225+00:00
complete,Unmatched,case_2,positive,2026-09-10 08:48:39.144525322+00:00
complete,Queued,case_3,positive,2024-08-12 14:16:46.605313849+00:00
complete,Accepted,case_3,positive,2025-03-10 19:19:23.195636329+00:00
complete,Accepted,case_3,positive,2025-06-12 09:49:34.429222735+00:00
complete,Accepted,case_3,positive,2025-10-20 12:57:31.448684771+00:00
complete,Accepted,case_3,positive,2025-10-20 12:57:31.448784771+00:00
complete,Completed,case_3,positive,2025-10-20 12:57:31.448884771+00:00
complete,Unmatched,case_3,positive,2026-02-18 09:47:56.096813139+00:00
complete,Unmatched,case_3,positive,2026-06-24 15:27:09.699812281+00:00
complete,Accepted,case_4,positive,2024-08-12 14:47:37.991435461+00:00
complete,Accepted,case_4,positive,2024-10-02 20:14:15.432960326+00:00
complete,Accepted,case_4,positive,2024-12-24 13:11:06.115134700+00:00
complete,Accepted,case_4,positive,2024-12-24 13:11:06.115234700+00:00
complete,Accepted,case_4,positive,2025-06-19 16:36:14.951354966+00:00
complete,Completed,case_4,positive,2025-10-22 16:26:31.146343004+00:00
complete,Unmatched,case_4,positive,2026-03-23 18:42:59.483337484+00:00
complete,Unmatched,case_4,positive,2026-12-09 15:59:47.743468472+00:00
complete,Queued,case_5,positive,2024-08-12 21:01:31.864069368+00:00
complete,Queued,case_5,positive,2024-10-29 08:56:05.701139621+00:00
complete,Accepted,case_5,positive,2025-03-03 08:30:37.275054107+00:00
complete,Accepted,case_5,positive,2025-03-03 08:30:37.275154107+00:00
complete,Accepted,case_5,positive,2025-03-03 08:30:37.275254107+00:00
complete,Accepted,case_5,positive,2025-03-03 08:30:37.275354107+00:00
complete,Completed,case_5,positive,2025-03-06 15:31:00.354484669+00:00
complete,Unmatched,case_5,positive,2025-07-07 16:30:56.042756347+00:00
complete,Queued,case_6,positive,2024-08-12 14:03:25.210321407+00:00
complete,Accepted,case_6,positive,2024-08-12 14:03:25.210421407+00:00
complete,Accepted,case_6,positive,2024-09-23 17:04:57.698651220+00:00
complete,Accepted,case_6,positive,2024-11-01 20:05:44.208179748+00:00
complete,Accepted,case_6,positive,2024-11-01 20:05:44.208279748+00:00
complete,Accepted,case_6,positive,2025-04-07 18:25:35.911020522+00:00
complete,Accepted,case_6,positive,2025-08-18 09:58:25.783046112+00:00
complete,Completed,case_6,positive,2025-09-24 08:43:23.908641509+00:00
complete,Queued,case_7,positive,2024-08-13 10:26:47.350423693+00:00
complete,Accepted,case_7,positive,2024-08-13 10:26:47.350523693+00:00
complete,Accepted,case_7,positive,2024-12-20 16:36:23.542820169+00:00
complete,Accepted,case_7,positive,2025-07-08 08:23:32.147129091+00:00
complete,Accepted,case_7,positive,2025-09-01 08:36:10.844518535+00:00
complete,Completed,case_7,positive,2025-09-01 08:36:10.844618535+00:00
complete,Unmatched,case_7,positive,2026-04-27 13:26:59.108533955+00:00
complete,Unmatched,case_7,positive,2026-12-07 19:07:55.295230803+00:00
complete,Queued,case_8,positive,2024-08-12 14:36:02.004883462+00:00
complete,Queued,case_8,positive,2024-08-12 14:36:02.004983462+00:00
complete,Accepted,case_8,positive,2025-01-03 08:43:58.680142558+00:00
complete,Accepted,case_8,positive,2025-05-16 08:43:51.248379648+00:00
complete,Accepted,case_8,positive,2026-04-06 20:43:22.682000588+00:00
complete,Completed,case_8,positive,2026-07-27 08:59:55.789786360+00:00
complete,Unmatched,case_8,positive,2027-04-12 08:40:06.801596960+00:00
complete,Unmatched,case_8,positive,2027-10-28 19:49:23.509399006+00:00
complete,Queued,case_9,positive,2024-08-12 15:54:08.601391328+00:00
complete,Accepted,case_9,positive,2024-12-09 08:45:03.694023932+00:00
complete,Accepted,case_9,positive,2025-10-01 16:47:34.357303572+00:00
complete,Accepted,case_9,positive,2026-06-29 19:16:46.018968476+00:00
complete,Accepted,case_9,positive,2027-02-22 13:16:46.631691616+00:00
complete,Accepted,case_9,positive,2027-03-31 08:28:40.443171248+00:00
complete,Completed,case_9,positive,2027-03-31 08:28:40.443271248+00:00
complete,Unmatched,case_9,positive,2027-10-04 08:28:56.969895040+00:00
complete,Queued,case_10,positive,2024-08-12 17:12:19.257728513+00:00
complete,Queued,case_10,positive,2024-08-12 17:12:19.257828513+00:00
complete,Accepted,case_10,positive,2024-08-12 17:12:19.257928513+00:00
complete,Accepted,case_10,positive,2024-08-12 17:12:19.258028513+00:00
complete,Accepted,case_10,positive,2025-01-03 08:50:53.061692027+00:00
complete,Accepted,case_10,positive,2025-01-03 08:50:53.061792027+00:00
complete,Completed,case_10,positive,2025-01-03 08:50:53.061892027+00:00
complete,Unmatched,case_10,positive,2025-10-23 08:57:34.315122807+00:00
complete,Queued,case_11,positive,2024-08-12 15:44:41.177600476+00:00
complete,Queued,case_11,positive,2024-10-31 08:52:16.951045652+00:00
complete,Queued,case_11,positive,2025-04-23 08:09:32.701035558+00:00
complete,Queued,case_11,positive,2025-08-26 09:24:32.407512456+00:00
complete,Accepted,case_11,positive,2026-05-18 09:23:17.968247380+00:00
complete,Accepted,case_11,positive,2026-05-18 09:23:17.968347380+00:00
complete,Completed,case_11,positive,2026-10-26 08:10:46.252473736+00:00
complete,Unmatched,case_11,positive,2027-04-19 08:41:06.696938400+00:00
complete,Queued,case_12,positive,2024-08-12 18:20:43.726555701+00:00
complete,Queued,case_12,positive,2024-09-27 12:27:18.560290622+00:00
complete,Queued,case_12,positive,2024-10-28 15:12:22.108988354+00:00
complete,Queued,case_12,positive,2025-01-09 19:50:17.789201174+00:00
complete,Accepted,case_12,positive,2025-06-16 13:48:20.369312592+00:00
complete,Accepted,case_12,positive,2026-02-23 10:09:51.945998888+00:00
complete,Completed,case_12,positive,2026-02-23 10:09:51.946098888+00:00
complete,Unmatched,case_12,positive,2026-02-23 10:09:51.946198888+00:00
complete,Queued,case_13,positive,2024-08-12 15:14:37.790274609+00:00
complete,Queued,case_13,positive,2024-08-12 15:14:37.790374609+00:00
