case:concept:name,concept:name,time:timestamp
1752835765,Accepted,2024-08-12 14:11:58.643679+00:00
1752835765,Completed,2024-12-09 08:17:02.248167+00:00
1752835766,Accepted,2024-08-12 16:38:09.214502+00:00
1752835766,Completed,2024-09-25 08:48:52.253184+00:00
1752835767,Accepted,2024-08-13 02:47:09.344085+00:00
1752835767,Completed,2025-01-17 08:40:40.190542+00:00
1752835768,Accepted,2024-08-12 14:59:02.271343+00:00
1752835768,Completed,2024-09-30 08:24:18.552937+00:00
1752835769,Accepted,2024-08-12 14:16:12.657465+00:00
1752835769,Completed,2024-08-12 14:16:12.657565+00:00
1752835770,Accepted,2024-08-12 21:22:34.530099+00:00
1752835770,Completed,2024-08-19 19:14:53.772494+00:00
1752835771,Accepted,2024-08-12 13:51:21.876351+00:00
1752835771,Completed,2025-01-13 08:38:26.966417+00:00
1752835772,Accepted,2024-08-13 10:24:15.016453+00:00
1752835772,Completed,2024-10-07 20:09:07.734638+00:00
1752835773,Accepted,2024-08-12 15:11:51.670378+00:00
1752835773,Completed,2024-10-28 08:56:32.547861+00:00
1752835774,Accepted,2024-08-12 15:27:35.267418+00:00
1752835774,Completed,2024-08-12 15:27:35.267518+00:00
1752835775,Accepted,2024-08-12 17:22:12.923755+00:00
1752835775,Completed,2024-12-24 09:45:18.698816+00:00
1752835776,Accepted,2024-08-12 15:58:10.843627+00:00
1752835776,Completed,2025-06-30 19:40:04.577657+00:00
1752835777,Accepted,2024-08-12 18:00:29.392582+00:00
1752835777,Completed,2025-05-02 15:17:30.603666+00:00
1752835778,Accepted,2024-08-12 15:14:37.456301+00:00
1752835778,Completed,2024-08-12 15:14:37.456401+00:00
1752835779,Accepted,2024-08-12 21:18:22.998259+00:00
1752835779,Completed,2025-01-20 17:25:39.822182+00:00
1752835780,Accepted,2024-08-12 14:02:19.751923+00:00
1752835780,Completed,2024-12-03 10:37:00.529111+00:00
1752835781,Accepted,2024-08-15 09:01:52.175058+00:00
1752835781,Completed,2025-01-01 08:39:00.997125+00:00
1752835782,Accepted,2024-08-12 15:58:49.998779+00:00
1752835782,Completed,2024-12-23 08:41:03.669134+00:00
1752835783,Accepted,2024-08-13 00:19:39.611880+00:00
1752835783,Completed,2025-04-16 08:41:21.916720+00:00
1752835784,Accepted,2024-08-12 14:43:51.207282+00:00
1752835784,Completed,2024-08-23 08:30:49.485136+00:00
1752835785,Accepted,2024-08-12 14:11:12.540333+00:00
1752835785,Completed,2024-12-05 13:14:00.643228+00:00
1752835786,Accepted,2024-08-12 14:59:35.265705+00:00
1752835786,Completed,2025-03-24 08:31:05.030995+00:00
1752835787,Accepted,2024-08-12 15:29:01.382087+00:00
1752835787,Completed,2024-11-04 08:54:57.754165+00:00
1752835788,Accepted,2024-08-15 10:17:59.644211+00:00
1752835788,Completed,2024-08-15 10:17:59.644311+00:00
1752835789,Accepted,2024-08-14 13:36:15.250000+00:00
1752835789,Completed,2025-04-16 10:18:51.465606+00:00
1752835790,Accepted,2024-08-12 21:18:34.802083+00:00
1752835790,Completed,2025-02-24 14:40:44.712534+00:00
1752835791,Accepted,2024-08-12 14:23:52.980536+00:00
1752835791,Completed,2024-08-12 14:23:52.980636+00:00
1752835792,Accepted,2024-08-12 14:23:33.130094+00:00
1752835792,Completed,2025-05-19 08:36:26.428510+00:00
1752835793,Accepted,2024-08-12 16:33:04.822398+00:00
1752835793,Completed,2024-12-31 11:14:38.079474+00:00
1752835794,Accepted,2024-08-13 10:39:29.109572+00:00
1752835794,Completed,2025-05-12 08:44:40.371363+00:00
1752835795,Accepted,2024-08-12 15:06:50.204031+00:00
1752835795,Completed,2024-09-23 12:01:57.921750+00:00
1752835796,Accepted,2024-08-12 14:15:26.827850+00:00
1752835796,Completed,2024-08-12 14:15:26.827950+00:00
1752835797,Accepted,2024-08-12 14:00:08.183911+00:00
1752835797,Completed,2025-04-23 14:24:40.208508+00:00
1752835798,Accepted,2024-08-13 05:16:15.935385+00:00
1752835798,Completed,2024-08-13 08:16:15.935485+00:00
1752835799,Accepted,2024-08-12 14:38:12.644211+00:00
1752835799,Completed,2024-11-12 20:47:32.733489+00:00
1752835800,Accepted,2024-08-13 00:48:39.203963+00:00
1752835800,Completed,2025-03-10 08:51:50.082268+00:00
1752835801,Accepted,2024-08-13 05:06:01.110788+00:00
1752835801,Completed,2024-08-30 08:15:16.618411+00:00
1752835802,Accepted,2024-08-12 16:24:35.477234+00:00
1752835802,Completed,2024-08-12 16:24:35.477334+00:00
1752835803,Accepted,2024-08-13 14:44:31.089302+00:00
1752835803,Completed,2025-10-07 09:16:53.635066+00:00
1752835804,Accepted,2024-08-12 15:51:30.730981+00:00
1752835804,Completed,2024-08-12 15:51:30.731081+00:00
1752835805,Accepted,2024-08-13 02:05:03.390658+00:00
1752835805,Completed,2024-10-18 08:46:34.134007+00:00
1752835806,Accepted,2024-08-13 19:39:31.881144+00:00
1752835806,Completed,2024-08-13 19:39:31.881244+00:00
1752835807,Accepted,2024-08-12 14:55:22.671950+00:00
1752835807,Completed,2024-08-12 14:55:22.672050+00:00
1752835808,Accepted,2024-08-13 04:34:50.859681+00:00
1752835808,Completed,2024-08-13 08:34:50.859781+00:00
1752835809,Accepted,2024-08-13 04:36:22.018381+00:00
1752835809,Completed,2024-09-16 19:34:28.806515+00:00
1752835810,Accepted,2024-08-12 19:29:04.094034+00:00
1752835810,Completed,2025-06-09 08:39:49.375093+00:00
1752835811,Accepted,2024-08-12 14:07:57.756990+00:00
1752835811,Completed,2025-05-06 08:55:12.432984+00:00
1752835812,Accepted,2024-08-12 14:30:35.418365+00:00
1752835812,Completed,2024-08-12 14:30:35.418465+00:00
1752835813,Accepted,2024-08-12 15:46:08.666118+00:00
1752835813,Completed,2025-05-26 08:05:19.116426+00:00
1752835814,Accepted,2024-08-14 00:31:47.621698+00:00
1752835814,Completed,2024-08-14 08:31:47.621798+00:00
1752835815,Accepted,2024-08-12 16:55:37.803081+00:00
1752835815,Completed,2024-12-03 08:27:27.805457+00:00
1752835816,Accepted,2024-08-12 15:02:00.993183+00:00
1752835816,Completed,2024-12-19 14:27:33.461481+00:00
1752835817,Accepted,2024-08-12 15:14:27.760253+00:00
1752835817,Completed,2024-08-27 10:16:28.604899+00:00
1752835818,Accepted,2024-08-14 08:52:08.200232+00:00
1752835818,Completed,2024-12-31 08:31:02.717301+00:00
1752835819,Accepted,2024-08-12 22:27:02.013253+00:00
1752835819,Completed,2025-03-03 08:32:27.658419+00:00
1752835820,Accepted,2024-08-13 08:05:38.065625+00:00
1752835820,Completed,2024-08-13 08:05:38.065725+00:00
1752835821,Accepted,2024-08-13 20:58:12.236851+00:00
1752835821,Completed,2025-04-07 20:08:04.937799+00:00
1752835822,Accepted,2024-08-13 07:56:30.854709+00:00
1752835822,Completed,2024-10-09 08:25:50.598852+00:00
1752835823,Accepted,2024-08-12 15:40:08.721968+00:00
1752835823,Completed,2024-08-12 15:40:08.722068+00:00
1752835824,Accepted,2024-08-12 15:10:57.395272+00:00
1752835824,Completed,2024-11-14 19:22:18.611205+00:00
1752835825,Accepted,2024-08-13 08:45:19.711682+00:00
1752835825,Completed,2024-09-09 13:58:05.248932+00:00
1752835826,Accepted,2024-08-12 14:04:50.644736+00:00
1752835826,Completed,2024-08-12 14:04:50.644836+00:00
1752835827,Accepted,2024-08-12 17:12:35.330959+00:00
1752835827,Completed,2024-08-12 17:12:35.331059+00:00
1752835828,Accepted,2024-08-12 14:42:30.354285+00:00
1752835828,Completed,2025-01-27 08:44:47.399761+00:00
1752835829,Accepted,2024-08-14 15:29:05.719627+00:00
1752835829,Completed,2024-11-25 15:58:12.422387+00:00
