lifecycle:transition,concept:name,case:concept:name,case:label,time:timestamp
complete,Accepted,case_0,positive,2024-08-12 14:32:01.137567+00:00
complete,Accepted,case_0,positive,2025-02-03 18:40:20.911956688+00:00
complete,Accepted,case_0,positive,2025-04-11 10:25:46.467823033+00:00
complete,Accepted,case_0,positive,2025-10-28 08:05:15.766776689+00:00
complete,Completed,case_0,positive,2026-06-19 14:09:39.700750025+00:00
complete,Unmatched,case_0,positive,2026-11-02 15:04:25.606250541+00:00
complete,Unmatched,case_0,positive,2027-03-16 16:01:23.961772721+00:00
complete,Unmatched,case_0,positive,2028-01-14 08:37:40.592243137+00:00
complete,Queued,case_1,positive,2024-08-12 16:58:11.708390149+00:00
complete,Accepted,case_1,positive,2024-12-02 08:11:09.626779251+00:00
complete,Accepted,case_1,positive,2024-12-13 08:59:39.716886210+00:00
complete,Accepted,case_1,positive,2025-06-13 08:26:18.837253722+00:00
complete,Accepted,case_1,positive,2025-06-25 08:51:34.908510085+00:00
complete,Accepted,case_1,positive,2025-07-07 13:53:06.843760494+00:00
complete,Accepted,case_1,positive,2025-11-17 14:46:51.250915286+00:00
complete,Completed,case_1,positive,2025-11-17 14:46:51.251015286+00:00
complete,Queued,case_2,positive,2024-08-13 02:22:53.837973265+00:00
complete,Accepted,case_2,positive,2024-11-28 12:03:02.931859989+00:00
complete,Accepted,case_2,positive,2025-06-10 18:21:53.562698837+00:00
complete,Accepted,case_2,positive,2025-06-10 18:21:53.562798837+00:00
complete,Accepted,case_2,positive,2026-03-11 17:07:49.028354709+00:00
complete,Accepted,case_2,positive,2026-03-11 17:07:49.028454709+00:00
complete,Completed,case_2,positive,2026-08-10 19:43:17.375747597+00:00
complete,Unmatched,case_2,positive,2027-02-17 08:26:32.429308457+00:00
complete,Queued,case_3,positive,2024-08-12 15:03:36.765231849+00:00
complete,Accepted,case_3,positive,2024-08-12 15:03:36.765331849+00:00
complete,Accepted,case_3,positive,2024-08-16 15:44:27.986081522+00:00
