lifecycle:transition,concept:name,case:concept:name,case:label,time:timestamp
complete,01_HOOFD_010,case_0,positive,2024-08-13 06:18:55.499336+00:00
complete,01_HOOFD_080,case_0,positive,2024-08-19 12:41:53.406127135+00:00
complete,01_HOOFD_020,case_0,positive,2024-09-14 10:54:14.704655760+00:00
complete,01_HOOFD_510_2,case_0,positive,2024-10-12 19:33:42.221629243+00:00
complete,01_HOOFD_080,case_0,positive,2024-11-01 18:07:45.744378180+00:00
complete,01_HOOFD_090,case_0,positive,2024-11-01 18:07:50.744378180+00:00
complete,01_HOOFD_580_2,case_0,positive,2024-11-11 15:47:51.313322158+00:00
complete,01_HOOFD_090,case_0,positive,2024-11-25 20:13:40.671285273+00:00
complete,01_HOOFD_080,case_0,positive,2024-12-06 04:48:54.281800974+00:00
complete,01_HOOFD_100_0,case_0,positive,2024-12-31 14:32:17.971806708+00:00
complete,01_HOOFD_530a,case_0,positive,2025-01-12 14:12:16.042030184+00:00
complete,01_HOOFD_080,case_0,positive,2025-01-18 20:38:22.605144364+00:00
complete,01_HOOFD_080,case_0,positive,2025-01-24 13:06:37.452093907+00:00
complete,01_HOOFD_101,case_0,positive,2025-02-20 01:38:46.771826210+00:00
complete,08_AWB45_050,case_0,positive,2025-02-20 06:54:18.450691627+00:00
complete,01_HOOFD_100_0,case_0,positive,2025-02-23 04:05:32.839549996+00:00
complete,14_VRIJ_060_3,case_0,positive,2025-03-05 15:34:46.128140488+00:00
complete,01_HOOFD_080,case_0,positive,2025-03-10 20:17:35.300220089+00:00
complete,01_HOOFD_080,case_0,positive,2025-03-18 04:16:09.233772806+00:00
complete,01_HOOFD_080,case_0,positive,2025-03-22 22:20:17.231483646+00:00
complete,01_HOOFD_080,case_0,positive,2025-03-26 14:51:56.133448040+00:00
complete,01_HOOFD_065_0,case_0,positive,2025-03-28 03:52:08.405439054+00:00
complete,10_UOV_041b,case_0,positive,2025-04-01 21:36:51.924801621+00:00
complete,01_HOOFD_080,case_0,positive,2025-04-09 06:20:26.307775372+00:00
complete,01_HOOFD_080,case_0,positive,2025-04-12 22:14:16.113244483+00:00
complete,11_AH_II_080_2,case_0,positive,2025-05-08 05:08:16.460557712+00:00
complete,01_HOOFD_015,case_0,positive,2025-05-15 18:45:49.602023940+00:00
complete,01_HOOFD_180,case_0,positive,2025-05-15 18:45:49.602123940+00:00
complete,01_HOOFD_080,case_0,positive,2025-05-19 11:14:35.994860558+00:00
complete,01_HOOFD_080,case_0,positive,2025-05-24 20:52:51.881093935+00:00
complete,01_HOOFD_080,case_0,positive,2025-05-30 22:10:00.021152009+00:00
complete,07_OPS_060_2,case_0,positive,2025-06-25 02:54:22.832263405+00:00
complete,01_HOOFD_080,case_0,positive,2025-07-07 19:45:43.004479158+00:00
complete,01_HOOFD_080,case_0,positive,2025-07-14 11:08:16.808651358+00:00
complete,01_HOOFD_080,case_0,positive,2025-07-18 21:37:31.276911685+00:00
complete,01_HOOFD_080,case_0,positive,2025-07-27 07:20:46.929917988+00:00
complete,01_HOOFD_080,case_0,positive,2025-07-31 09:34:16.182595229+00:00
complete,01_HOOFD_080,case_0,positive,2025-08-07 12:12:34.706915050+00:00
complete,01_HOOFD_080,case_0,positive,2025-08-10 01:00:48.173524639+00:00
complete,01_HOOFD_080,case_0,positive,2025-08-13 21:48:04.879520669+00:00
complete,04_BPT_021,case_0,positive,2025-09-09 08:38:15.023601753+00:00
complete,01_HOOFD_090,case_0,positive,2025-11-09 03:17:12.523601753+00:00
complete,01_HOOFD_080,case_0,positive,2025-11-19 05:22:29.720886691+00:00
complete,01_HOOFD_110_0,case_0,positive,2025-11-29 04:08:52.343928304+00:00
complete,01_HOOFD_065_0,case_0,positive,2025-11-30 20:23:39.295152255+00:00
complete,01_HOOFD_010,case_1,positive,2024-08-13 16:19:03.232059140+00:00
complete,01_HOOFD_080,case_1,positive,2024-08-13 16:19:03.232159140+00:00
complete,01_HOOFD_250,case_1,positive,2024-09-07 16:36:17.482267938+00:00
complete,01_HOOFD_080,case_1,positive,2024-09-09 03:18:22.251720240+00:00
complete,01_HOOFD_080,case_1,positive,2024-09-18 00:54:30.150146435+00:00
complete,01_HOOFD_020,case_1,positive,2024-10-14 17:16:31.858912566+00:00
complete,08_AWB45_090_4,case_1,positive,2024-10-21 18:17:08.807208624+00:00
complete,14_VRIJ_060_0,case_1,positive,2024-10-29 10:57:08.784757004+00:00
complete,01_HOOFD_065_0,case_1,positive,2024-11-04 05:02:02.307557475+00:00
complete,01_HOOFD_080,case_1,positive,2024-11-08 19:27:43.568472850+00:00
complete,01_HOOFD_080,case_1,positive,2024-11-16 18:30:09.959923190+00:00
complete,01_HOOFD_270,case_1,positive,2024-12-14 12:46:33.529279433+00:00
complete,10_UOV_040,case_1,positive,2024-12-19 12:40:23.651732489+00:00
complete,01_HOOFD_080,case_1,positive,2024-12-19 12:40:23.651832489+00:00
complete,01_HOOFD_110_0,case_1,positive,2024-12-28 11:55:09.434256051+00:00
complete,01_HOOFD_080,case_1,positive,2024-12-31 06:50:24.174397339+00:00
complete,01_HOOFD_065_0,case_1,positive,2025-01-01 11:52:53.756413746+00:00
complete,01_HOOFD_015,case_1,positive,2025-01-01 11:52:53.756513746+00:00
complete,01_HOOFD_065_0,case_1,positive,2025-01-05 06:04:56.340925080+00:00
complete,01_HOOFD_065_0,case_1,positive,2025-01-09 17:21:10.629453138+00:00
complete,01_HOOFD_110_0,case_1,positive,2025-01-09 17:21:10.629553138+00:00
complete,01_HOOFD_410_0,case_1,positive,2025-01-13 08:34:27.225665766+00:00
complete,01_HOOFD_065_0,case_1,positive,2025-01-22 01:57:34.304935660+00:00
complete,01_HOOFD_065_0,case_1,positive,2025-01-26 20:50:08.162217153+00:00
complete,01_HOOFD_510_2a,case_1,positive,2025-01-31 23:37:12.672582016+00:00
complete,11_AH_II_040a,case_1,positive,2025-02-09 16:50:28.451828032+00:00
complete,14_VRIJ_030_1a,case_1,positive,2025-02-09 16:50:28.914500900+00:00
complete,01_HOOFD_080,case_1,positive,2025-02-17 13:53:28.387910371+00:00
complete,01_HOOFD_065_0,case_1,positive,2025-02-19 04:04:14.109363918+00:00
complete,01_HOOFD_080,case_1,positive,2025-02-23 23:12:45.793938697+00:00
complete,01_HOOFD_080,case_1,positive,2025-03-05 22:31:13.890569166+00:00
complete,01_HOOFD_410_0,case_1,positive,2025-03-27 23:12:15.184447096+00:00
complete,01_HOOFD_196,case_1,positive,2025-04-04 12:32:22.951478347+00:00
complete,01_HOOFD_080,case_1,positive,2025-04-04 12:32:24.888824784+00:00
complete,01_HOOFD_410_2,case_1,positive,2025-04-30 04:41:17.043990119+00:00
complete,01_HOOFD_110_0,case_1,positive,2025-05-08 05:51:15.816026931+00:00
complete,01_HOOFD_080,case_1,positive,2025-05-08 05:51:15.816126931+00:00
complete,01_HOOFD_080,case_1,positive,2025-05-14 10:47:16.243792535+00:00
complete,01_HOOFD_090,case_1,positive,2025-05-14 10:47:21.243792535+00:00
complete,01_HOOFD_080,case_1,positive,2025-05-25 03:07:21.342111672+00:00
complete,01_HOOFD_090,case_1,positive,2025-05-25 03:07:26.342111672+00:00
complete,09_AH_I_040,case_1,positive,2025-06-03 18:31:42.636879063+00:00
complete,01_HOOFD_080,case_1,positive,2025-06-10 22:11:01.345245026+00:00
complete,01_HOOFD_080,case_1,positive,2025-06-19 12:36:28.350721847+00:00
complete,01_HOOFD_080,case_1,positive,2025-06-26 21:19:06.866997547+00:00
complete,01_HOOFD_010,case_2,positive,2024-08-15 00:40:11.133317482+00:00
complete,05_EIND_050,case_2,positive,2024-08-19 15:53:10.117589597+00:00
complete,01_HOOFD_065_0,case_2,positive,2024-08-19 22:39:46.984398160+00:00
complete,08_AWB45_051_0,case_2,positive,2024-08-24 14:43:58.829179547+00:00
complete,08_AWB45_180,case_2,positive,2024-08-26 23:49:05.372062828+00:00
complete,01_HOOFD_020,case_2,positive,2024-08-30 20:30:15.627183163+00:00
complete,11_AH_II_070_3a,case_2,positive,2024-09-29 07:30:08.271077362+00:00
complete,01_HOOFD_065_0,case_2,positive,2024-10-08 15:50:27.135655007+00:00
complete,01_HOOFD_191,case_2,positive,2024-10-13 20:31:20.791735400+00:00
complete,01_HOOFD_080,case_2,positive,2024-10-20 16:57:03.980560247+00:00
complete,01_HOOFD_080,case_2,positive,2024-10-25 19:53:11.104786452+00:00
complete,01_HOOFD_015,case_2,positive,2024-11-22 16:36:43.232273150+00:00
complete,01_HOOFD_065_0,case_2,positive,2024-11-28 01:57:00.062980575+00:00
complete,01_HOOFD_065_0,case_2,positive,2024-12-02 09:59:44.126935768+00:00
complete,01_HOOFD_061,case_2,positive,2024-12-02 09:59:44.127035768+00:00
complete,01_HOOFD_110_0,case_2,positive,2024-12-24 00:35:22.026012025+00:00
