case:concept:name,concept:name,time:timestamp
2742737,01_HOOFD_010,2011-05-31 22:00:00+00:00
2742737,01_HOOFD_015,2011-06-16 10:17:11+00:00
2742737,01_HOOFD_020,2011-06-16 10:17:14+00:00
2742737,01_HOOFD_040,2011-06-16 10:17:16+00:00
2742737,01_HOOFD_050,2011-06-16 10:17:17+00:00
2742737,01_HOOFD_055,2011-06-16 10:17:22+00:00
2742737,01_HOOFD_060,2011-06-16 10:17:24+00:00
2760925,01_HOOFD_010,2010-10-04 22:00:00+00:00
2760925,01_HOOFD_015,2010-10-07 12:57:14+00:00
2771451,01_HOOFD_010,2010-10-05 22:00:00+00:00
2771451,01_HOOFD_190_2,2010-10-18 22:00:00+00:00
2771451,01_HOOFD_030_2,2010-11-17 23:00:00+00:00
2771451,08_AWB45_020_2,2010-11-17 23:00:00+00:00
2771451,08_AWB45_040,2010-11-21 23:00:00+00:00
2771451,01_HOOFD_065_2,2010-11-23 23:00:00+00:00
2771451,01_HOOFD_100,2010-11-24 23:00:00+00:00
2771451,01_HOOFD_190_2,2010-11-25 23:00:00+00:00
2771451,01_HOOFD_015,2010-11-30 15:21:56+00:00
2771451,01_HOOFD_020,2010-11-30 15:22:02+00:00
2771451,01_HOOFD_030_1,2010-11-30 15:22:26+00:00
2771451,01_HOOFD_040,2010-11-30 15:22:44+00:00
2771451,01_HOOFD_060,2010-11-30 15:50:14+00:00
2771451,01_HOOFD_065_1,2010-11-30 15:50:30+00:00
2771451,06_VD_010,2010-11-30 15:50:50+00:00
2771451,01_HOOFD_100,2010-11-30 15:50:56+00:00
2771451,01_HOOFD_130,2010-11-30 15:51:22+00:00
2771451,01_HOOFD_050,2010-11-30 15:51:36+00:00
2771451,05_EIND_010,2010-11-30 15:51:49+00:00
2771451,01_HOOFD_110,2010-11-30 15:52:23+00:00
2771451,01_HOOFD_120,2010-11-30 15:52:28+00:00
2771451,01_HOOFD_180,2010-11-30 15:53:02+00:00
2771451,01_HOOFD_190_1,2010-11-30 15:53:04+00:00
2771451,01_HOOFD_200,2010-11-30 15:53:24+00:00
2771451,08_AWB45_010,2010-11-30 15:54:00+00:00
2771451,08_AWB45_020_1,2010-11-30 15:54:10+00:00
2771451,08_AWB45_030,2010-11-30 15:55:36+00:00
2771451,08_AWB45_170,2010-12-01 09:52:59+00:00
2771451,01_HOOFD_130,2010-12-01 09:53:03+00:00
2771451,01_HOOFD_110,2010-12-01 09:53:11+00:00
2771451,01_HOOFD_120,2010-12-01 09:53:14+00:00
2771451,01_HOOFD_180,2010-12-01 09:53:19+00:00
2771451,01_HOOFD_190_1,2010-12-01 09:53:21+00:00
2771451,01_HOOFD_200,2010-12-01 09:54:00+00:00
2771451,01_HOOFD_205,2010-12-01 09:54:00+00:00
2771451,01_HOOFD_270,2010-12-01 09:54:05+00:00
