case:concept:name,concept:name,time:timestamp
3,Assign seriousness,2010-10-29 10:14:06
3,Take in charge ticket,2010-11-03 16:16:11
3,Resolve ticket,2010-11-03 16:21:17
3,Closed,2010-11-30 11:20:18
4,Assign seriousness,2010-12-15 14:31:53
4,Take in charge ticket,2010-12-16 08:01:07
4,Resolve ticket,2010-12-16 08:08:19
4,Closed,2011-02-12 14:40:42
6,Assign seriousness,2011-10-25 15:13:58
6,Take in charge ticket,2011-10-25 15:58:55
6,Resolve ticket,2011-10-26 09:54:46
6,Closed,2011-12-10 16:20:56
9,Insert ticket,2010-05-07 13:02:21
9,Assign seriousness,2010-05-07 13:02:34
9,Take in charge ticket,2010-05-24 10:26:28
9,Resolve ticket,2010-05-25 15:35:44
9,Closed,2010-06-09 15:35:56
10,Assign seriousness,2010-02-10 08:50:20
10,Take in charge ticket,2010-03-19 08:47:06
101547,Resolve ticket,2010-03-19 08:47:13
101547,Closed,2010-04-03 07:47:38
111592,Assign seriousness,2011-12-21 15:24:41
111471,Take in charge ticket,2011-12-21 15:25:34
111592,Resolve ticket,2011-12-22 09:55:43
111592,Closed,2012-01-21 15:30:31
14,Assign seriousness,2011-07-05 13:47:08
14,Take in charge ticket,2011-07-05 13:47:22
14,Resolve ticket,2011-07-05 13:52:37
14,Closed,2011-08-05 13:50:21
16598,Assign seriousness,2012-02-22 14:16:52
16598,Take in charge ticket,2012-02-22 16:14:07
16,Take in charge ticket,2012-02-22 16:23:57
16598,Resolve ticket,2012-02-23 09:47:38
16598,Closed,2012-03-24 14:20:19
17,Assign seriousness,2011-10-14 07:10:47
17,Take in charge ticket,2011-11-02 16:17:52
17,Resolve ticket,2011-11-09 13:31:37
17,Closed,2011-11-24 15:57:55
19,Assign seriousness,2010-07-07 07:54:04
19,Take in charge ticket,2010-07-09 10:10:52
19,Resolve ticket,2010-07-09 10:11:18
19,Closed,2010-08-07 08:00:22
21,Assign seriousness,2011-01-14 15:15:21
21750,Take in charge ticket,2011-01-27 08:06:37
21750,Resolve ticket,2011-01-27 10:19:15
21,Closed,2011-02-26 10:19:37
24,Assign seriousness,2010-04-27 09:49:56
24,Take in charge ticket,2010-06-08 11:06:56
24,Resolve ticket,2010-06-08 14:46:16
24,Closed,2010-06-23 14:46:28
25,Assign seriousness,2010-12-30 09:27:17
25,Take in charge ticket,2010-12-30 13:14:04
25,Resolve ticket,2010-12-30 15:16:35
25,Closed,2011-02-16 09:30:28
26,Assign seriousness,2011-03-31 07:28:47
26,Take in charge ticket,2011-03-31 07:31:59
26,Wait,2011-03-31 08:39:41
26,Take in charge ticket,2011-03-31 11:00:28
26,Resolve ticket,2011-03-31 11:00:41
26,Closed,2011-05-05 09:50:46
27,Assign seriousness,2011-11-24 14:02:16
27,Take in charge ticket,2011-11-24 14:02:35
27,Resolve ticket,2011-12-12 09:04:47
27,Closed,2011-12-27 09:05:04
30,Assign seriousness,2011-01-21 09:47:20
30,Take in charge ticket,2011-02-07 09:19:45
30,Resolve ticket,2011-02-10 09:01:20
30,Closed,2011-02-25 09:01:35
32,Assign seriousness,2011-04-27 07:38:44
32,Take in charge ticket,2011-04-27 12:46:13
32,Resolve ticket,2011-04-28 08:18:08
32,Closed,2011-06-04 07:40:30
35,Assign seriousness,2012-01-18 08:15:30
35,Resolve ticket,2012-01-18 09:46:37
35,Closed,2012-03-10 08:20:43
36,Assign seriousness,2011-06-29 10:06:48
36,Take in charge ticket,2011-06-30 12:58:23
36,Resolve ticket,2011-07-05 07:32:43
36,Closed,2011-07-30 10:10:20
37314,Assign seriousness,2011-02-10 11:13:07
37314,Take in charge ticket,2011-02-10 11:13:33
37314,Resolve ticket,2011-02-10 15:20:02
37314,Resolve ticket,2011-03-02 13:23:58
37314,Take in charge ticket,2011-03-02 13:24:07
37314,Wait,2011-03-02 15:27:52
37314,Take in charge ticket,2011-03-04 09:37:50
37314,Resolve ticket,2011-03-04 09:37:55
37314,Closed,2011-04-03 08:38:21
38,Assign seriousness,2012-03-20 07:57:45
38,Take in charge ticket,2012-03-20 07:58:15
38,Resolve ticket,2012-03-20 08:18:56
38,Closed,2012-04-21 16:00:36
41,Assign seriousness,2010-12-14 10:44:26
41,Take in charge ticket,2010-12-14 10:44:57
41,Resolve ticket,2010-12-14 10:45:12
41,Closed,2011-01-27 10:50:31
42,Assign seriousness,2011-06-16 12:23:39
42,Take in charge ticket,2011-06-16 12:51:05
42,Resolve ticket,2011-06-16 13:39:51
42,Closed,2011-07-30 12:30:33
44,Assign seriousness,2010-11-29 16:09:19
44865,Take in charge ticket,2010-11-29 16:19:59
44865,Resolve ticket,2010-11-29 16:20:51
44865,Closed,2010-12-31 16:10:28
451614,Assign seriousness,2012-01-20 14:08:14
451614,Take in charge ticket,2012-01-25 11:46:19
451614,Resolve ticket,2012-03-02 10:40:59
45,Closed,2012-03-17 10:41:18
47,Assign seriousness,2011-05-25 09:48:18
47,Take in charge ticket,2011-05-25 09:48:43
47,Resolve ticket,2011-05-30 15:04:34
47,Closed,2011-07-01 09:50:37
48,Insert ticket,2010-12-01 13:42:59
48,Assign seriousness,2010-12-02 14:07:33
48,Take in charge ticket,2010-12-02 14:07:41
48,Resolve ticket,2010-12-02 14:08:33
48,Closed,2011-01-01 14:08:51
49,Assign seriousness,2011-11-25 14:33:54
49,Take in charge ticket,2011-11-25 14:47:48
49,Wait,2011-11-29 14:47:35
49,Resolve ticket,2011-12-02 16:25:57
49,Closed,2012-01-07 16:20:26
501478,Assign seriousness,2012-01-16 10:53:01
501478,Take in charge ticket,2012-01-16 10:59:51
501478,Resolve ticket,2012-01-16 16:37:54
50,Resolve ticket,2012-01-16 16:37:55
501478,Closed,2012-02-16 11:00:57
53702,Assign seriousness,2010-10-14 13:53:13
53702,Take in charge ticket,2010-10-15 13:02:36
53702,Wait,2010-10-28 15:12:55
53702,Wait,2010-10-28 15:12:55
53702,Take in charge ticket,2010-10-29 13:42:01
53702,Resolve ticket,2010-11-04 08:48:12
53702,Closed,2010-12-04 08:48:57
55,Assign seriousness,2011-10-26 15:51:42
55,Take in charge ticket,2011-10-31 15:19:03
55,Wait,2011-11-07 08:44:52
55,Resolve ticket,2011-11-21 08:21:23
55,Closed,2011-12-06 08:21:36
56,Assign seriousness,2012-01-30 11:32:58
56,Resolve ticket,2012-01-30 11:33:23
56,Closed,2012-03-14 11:40:25
57,Assign seriousness,2010-10-29 09:39:23
57,Take in charge ticket,2010-11-02 14:56:13
57,Resolve ticket,2010-11-02 15:39:05
57,Closed,2010-11-30 10:40:55
60,Assign seriousness,2011-04-06 15:35:49
60,Take in charge ticket,2011-04-06 15:36:04
60,Wait,2011-04-07 15:41:23
60,Take in charge ticket,2011-04-13 08:49:14
60,Resolve ticket,2011-04-13 08:49:22
60,Closed,2011-05-28 08:50:26
61,Assign seriousness,2011-09-16 07:04:39
61,Take in charge ticket,2011-09-16 07:18:12
61,Resolve ticket,2011-09-16 15:04:46
61,Closed,2011-11-10 08:10:45
64,Assign seriousness,2011-04-14 15:54:28
64,Assign seriousness,2011-04-14 15:54:46
64,Wait,2011-04-15 10:41:19
64,Take in charge ticket,2011-04-27 10:30:04
64,Wait,2011-04-27 10:30:13
64,Take in charge ticket,2011-05-06 09:42:13
64,Resolve ticket,2011-05-06 09:42:28
64,Closed,2011-05-21 09:42:52
67,Assign seriousness,2010-12-30 15:03:15
67,Take in charge ticket,2011-01-11 08:40:08
67,Resolve ticket,2011-01-13 11:45:18
