case:concept:name,concept:name,time:timestamp
case_0,Assign seriousness,2024-07-31 23:10:08.974070+00:00
case_0,Take in charge ticket,2024-08-06 09:00:52.548283125+00:00
case_0,Resolve ticket,2024-08-08 08:10:59.282291201+00:00
case_0,Closed,2024-09-17 10:03:33.983719779+00:00
case_1,Assign seriousness,2024-07-31 23:25:27.265554504+00:00
case_1,Take in charge ticket,2024-08-12 08:29:20.372469805+00:00
case_1,Resolve ticket,2024-08-13 16:43:29.799879340+00:00
case_1,Closed,2024-09-12 10:55:58.203506679+00:00
case_2,Assign seriousness,2024-08-01 02:03:40.162924252+00:00
case_2,Take in charge ticket,2024-08-01 08:03:40.163024252+00:00
case_2,Resolve ticket,2024-08-05 08:40:27.360209154+00:00
case_2,Closed,2024-09-12 17:51:10.740686633+00:00
case_3,Assign seriousness,2024-07-31 23:13:52.340204234+00:00
case_3,Take in charge ticket,2024-08-06 08:04:48.514123407+00:00
case_3,Resolve ticket,2024-08-06 08:04:48.514223407+00:00
case_3,Closed,2024-09-02 08:22:33.306557539+00:00
case_4,Assign seriousness,2024-07-31 23:16:24.974070+00:00
case_4,Take in charge ticket,2024-08-05 08:38:56.182449199+00:00
case_4,Resolve ticket,2024-08-13 08:41:19.639269350+00:00
case_4,Closed,2024-09-27 12:21:12.367327654+00:00
case_5,Assign seriousness,2024-08-01 00:34:25.190436189+00:00
case_5,Take in charge ticket,2024-08-09 20:51:43.141880283+00:00
case_5,Resolve ticket,2024-08-12 20:38:39.007155847+00:00
case_5,Closed,2024-09-23 20:53:19.795919159+00:00
case_6,Assign seriousness,2024-07-31 23:36:10.974070+00:00
case_6,Take in charge ticket,2024-08-01 08:36:10.974170+00:00
case_6,Resolve ticket,2024-08-12 16:55:45.609121919+00:00
case_6,Closed,2024-09-13 08:33:04.095152386+00:00
case_7,Assign seriousness,2024-08-01 04:11:43.795234969+00:00
case_7,Take in charge ticket,2024-08-02 08:41:38.761311903+00:00
case_7,Resolve ticket,2024-08-05 14:37:43.913454155+00:00
case_7,Closed,2024-09-09 13:58:38.617606791+00:00
case_8,Assign seriousness,2024-07-31 23:38:55.112909370+00:00
case_8,Take in charge ticket,2024-08-01 08:19:52.226864191+00:00
case_8,Resolve ticket,2024-08-01 20:43:00.416475689+00:00
case_8,Closed,2024-09-02 12:21:52.796410484+00:00
case_9,Assign seriousness,2024-07-31 23:38:27.994145508+00:00
case_9,Take in charge ticket,2024-08-01 19:12:07.099044112+00:00
case_9,Resolve ticket,2024-08-12 13:48:47.936478844+00:00
case_9,Closed,2024-09-20 08:28:53.426107637+00:00
case_10,Assign seriousness,2024-07-31 23:58:11.260420130+00:00
case_10,Take in charge ticket,2024-08-12 12:39:20.672678555+00:00
case_10,Resolve ticket,2024-08-20 08:25:17.149667097+00:00
case_10,Closed,2024-09-16 08:31:57.869801572+00:00
case_11,Assign seriousness,2024-07-31 23:30:54.590846618+00:00
case_11,Take in charge ticket,2024-08-01 08:30:54.590946618+00:00
case_11,Resolve ticket,2024-08-01 08:30:54.591046618+00:00
case_11,Closed,2024-09-05 16:55:26.968992281+00:00
