concept:name,time:timestamp,case:concept:name
Assign seriousness,2024-08-01 02:58:06,case_2214
Take in charge ticket,2024-08-12 08:46:51,case_2214
RESOLVED,2024-08-19 13:11:23,case_2214
RESOLVED,2024-08-26 08:51:27,case_2214
Insert ticket,2024-08-28 20:04:28,case_2214
Resolve ticket,2024-09-03 17:45:08,case_2214
Closed,2024-10-09 12:09:16,case_2214
Assign seriousness,2024-07-31 23:59:44,case_2215
Take in charge ticket,2024-08-01 08:59:44,case_2215
Resolve SW anomaly,2024-08-22 12:34:47,case_2215
Insert ticket,2024-08-30 08:26:42,case_2215
Insert ticket,2024-09-02 08:23:52,case_2215
Resolve ticket,2024-09-06 08:06:27,case_2215
Closed,2024-10-14 08:33:30,case_2215
Assign seriousness,2024-08-01 04:07:15,case_2216
Take in charge ticket,2024-08-01 08:07:15,case_2216
RESOLVED,2024-08-12 08:11:28,case_2216
Wait,2024-08-16 08:07:27,case_2216
Require upgrade,2024-08-19 15:01:08,case_2216
Resolve ticket,2024-08-19 15:01:08,case_2216
Closed,2024-09-19 10:17:18,case_2216
Assign seriousness,2024-08-01 03:22:36,case_2217
Take in charge ticket,2024-08-01 08:21:04,case_2217
Insert ticket,2024-08-07 08:48:10,case_2217
Insert ticket,2024-08-09 08:16:59,case_2217
Insert ticket,2024-08-09 08:16:59,case_2217
Resolve ticket,2024-08-12 08:28:09,case_2217
Closed,2024-09-10 08:36:03,case_2217
Assign seriousness,2024-08-01 01:26:22,case_2218
Take in charge ticket,2024-08-07 08:51:42,case_2218
Wait,2024-08-07 08:51:42,case_2218
Insert ticket,2024-08-28 08:03:27,case_2218
INVALID,2024-08-28 08:03:27,case_2218
Resolve ticket,2024-09-04 19:03:02,case_2218
Closed,2024-10-04 16:00:58,case_2218
Assign seriousness,2024-08-01 02:55:17,case_2219
Take in charge ticket,2024-08-08 13:59:25,case_2219
Schedule intervention,2024-08-12 18:48:28,case_2219
Create SW anomaly,2024-08-19 08:01:36,case_2219
Insert ticket,2024-08-22 08:12:50,case_2219
Resolve ticket,2024-08-22 08:12:50,case_2219
Closed,2024-10-10 11:08:33,case_2219
Assign seriousness,2024-07-31 23:58:18,case_2220
Take in charge ticket,2024-08-01 08:58:18,case_2220
Wait,2024-08-07 19:22:41,case_2220
Resolve SW anomaly,2024-08-12 08:44:22,case_2220
RESOLVED,2024-08-23 08:19:28,case_2220
Resolve ticket,2024-08-26 08:48:49,case_2220
Closed,2024-09-10 08:25:49,case_2220
Assign seriousness,2024-08-01 00:09:55,case_2221
Take in charge ticket,2024-08-01 08:09:55,case_2221
Resolve SW anomaly,2024-08-22 11:44:58,case_2221
Insert ticket,2024-09-06 08:51:41,case_2221
Insert ticket,2024-09-09 08:39:42,case_2221
Resolve ticket,2024-09-13 08:15:45,case_2221
Closed,2024-10-14 09:35:21,case_2221
Assign seriousness,2024-07-31 23:52:18,case_2222
Take in charge ticket,2024-08-12 08:21:29,case_2222
Resolve SW anomaly,2024-09-02 11:56:32,case_2222
Resolve SW anomaly,2024-09-03 09:40:33,case_2222
VERIFIED,2024-09-18 19:22:33,case_2222
Resolve ticket,2024-10-01 19:04:13,case_2222
Closed,2024-11-21 12:50:14,case_2222
Assign seriousness,2024-07-31 23:56:51,case_2223
Take in charge ticket,2024-08-01 08:56:51,case_2223
INVALID,2024-08-13 08:51:03,case_2223
Resolve SW anomaly,2024-08-20 19:50:39,case_2223
INVALID,2024-09-02 08:49:14,case_2223
Resolve ticket,2024-09-09 19:48:50,case_2223
Closed,2024-10-07 08:02:53,case_2223
Assign seriousness,2024-07-31 23:07:02,case_2224
Take in charge ticket,2024-08-01 08:07:02,case_2224
RESOLVED,2024-08-05 08:54:43,case_2224
Insert ticket,2024-08-08 08:24:26,case_2224
VERIFIED,2024-08-15 08:59:13,case_2224
Resolve ticket,2024-08-30 08:25:33,case_2224
Closed,2024-10-07 10:48:24,case_2224
Assign seriousness,2024-08-01 00:11:41,case_2225
Take in charge ticket,2024-08-01 08:11:41,case_2225
Insert ticket,2024-08-05 08:58:30,case_2225
Insert ticket,2024-08-15 08:00:51,case_2225
Create SW anomaly,2024-08-15 14:39:49,case_2225
Resolve ticket,2024-09-24 17:46:50,case_2225
Closed,2024-10-24 09:28:55,case_2225
Assign seriousness,2024-07-31 23:20:18,case_2226
Take in charge ticket,2024-08-05 14:06:54,case_2226
Insert ticket,2024-08-15 08:44:44,case_2226
Create SW anomaly,2024-08-23 08:53:02,case_2226
Resolve SW anomaly,2024-08-23 15:22:51,case_2226
Resolve ticket,2024-09-11 10:17:44,case_2226
Closed,2024-10-14 08:33:26,case_2226
Assign seriousness,2024-07-31 23:50:42,case_2227
Take in charge ticket,2024-08-05 12:09:19,case_2227
INVALID,2024-08-14 10:43:46,case_2227
Create SW anomaly,2024-08-22 08:43:22,case_2227
Wait,2024-08-29 08:13:34,case_2227
Resolve ticket,2024-09-23 11:41:15,case_2227
Closed,2024-10-30 10:44:56,case_2227
Assign seriousness,2024-08-01 16:13:39,case_2228
Take in charge ticket,2024-08-06 08:58:10,case_2228
Resolve SW anomaly,2024-08-27 12:33:13,case_2228
Insert ticket,2024-08-29 08:56:10,case_2228
Insert ticket,2024-09-03 08:44:36,case_2228
Resolve ticket,2024-09-06 08:37:02,case_2228
Closed,2024-10-02 20:00:12,case_2228
Assign seriousness,2024-08-01 15:47:20,case_2229
Take in charge ticket,2024-08-05 15:17:24,case_2229
VERIFIED,2024-08-12 19:12:41,case_2229
Insert ticket,2024-08-29 08:50:45,case_2229
Schedule intervention,2024-09-02 18:10:14,case_2229
Resolve ticket,2024-09-11 16:35:57,case_2229
Closed,2024-10-25 18:39:48,case_2229
Assign seriousness,2024-07-31 23:51:48,case_2230
Take in charge ticket,2024-08-01 08:51:48,case_2230
Require upgrade,2024-08-07 08:36:50,case_2230
Wait,2024-08-21 09:21:29,case_2230
Wait,2024-08-27 20:44:33,case_2230
Resolve ticket,2024-09-03 15:33:08,case_2230
Closed,2024-09-16 15:45:42,case_2230
Assign seriousness,2024-08-01 00:23:30,case_2231
Take in charge ticket,2024-08-01 08:09:09,case_2231
Create SW anomaly,2024-08-06 15:52:17,case_2231
Insert ticket,2024-08-09 17:24:14,case_2231
INVALID,2024-08-12 20:29:52,case_2231
Resolve ticket,2024-08-20 08:29:27,case_2231
Closed,2024-09-13 12:29:39,case_2231
Assign seriousness,2024-07-31 23:55:02,case_2232
Take in charge ticket,2024-08-01 08:55:02,case_2232
INVALID,2024-08-06 08:17:29,case_2232
Insert ticket,2024-08-13 19:17:05,case_2232
Schedule intervention,2024-08-13 19:17:05,case_2232
Resolve ticket,2024-08-23 08:30:46,case_2232
Closed,2024-09-30 14:31:25,case_2232
Assign seriousness,2024-07-31 23:31:31,case_2233
Take in charge ticket,2024-08-05 12:43:54,case_2233
Resolve SW anomaly,2024-08-26 16:18:57,case_2233
Require upgrade,2024-09-13 12:01:55,case_2233
Resolve SW anomaly,2024-09-26 08:33:41,case_2233
Resolve ticket,2024-10-21 08:22:17,case_2233
Closed,2024-11-18 08:19:17,case_2233
Assign seriousness,2024-07-31 23:29:28,case_2234
Take in charge ticket,2024-08-01 08:29:28,case_2234
Create SW anomaly,2024-08-01 08:29:28,case_2234
Wait,2024-08-05 17:12:09,case_2234
Wait,2024-08-12 10:46:48,case_2234
Resolve ticket,2024-09-12 08:31:19,case_2234
Closed,2024-10-07 11:22:55,case_2234
Assign seriousness,2024-08-01 01:42:15,case_2235
Take in charge ticket,2024-08-01 08:39:20,case_2235
Insert ticket,2024-08-06 12:19:04,case_2235
VERIFIED,2024-08-12 08:48:00,case_2235
Insert ticket,2024-08-27 08:26:22,case_2235
Resolve ticket,2024-09-04 08:41:15,case_2235
Closed,2024-09-09 11:10:53,case_2235
Assign seriousness,2024-08-01 00:27:18,case_2236
Take in charge ticket,2024-08-01 08:27:18,case_2236
Resolve SW anomaly,2024-08-22 12:02:21,case_2236
VERIFIED,2024-09-06 17:30:11,case_2236
Resolve SW anomaly,2024-09-18 10:11:25,case_2236
Resolve ticket,2024-09-18 10:11:25,case_2236
Closed,2024-10-28 14:34:42,case_2236
Assign seriousness,2024-08-01 02:01:52,case_2237
Take in charge ticket,2024-08-05 08:32:58,case_2237
Insert ticket,2024-08-06 10:22:43,case_2237
INVALID,2024-08-06 10:22:43,case_2237
VERIFIED,2024-08-06 10:29:08,case_2237
Resolve ticket,2024-08-21 08:06:23,case_2237
Closed,2024-09-16 12:10:03,case_2237
Assign seriousness,2024-08-01 02:23:18,case_2238
Take in charge ticket,2024-08-06 11:52:27,case_2238
Wait,2024-08-06 11:52:27,case_2238
Require upgrade,2024-08-06 13:00:24,case_2238
Insert ticket,2024-08-16 08:24:24,case_2238
Resolve ticket,2024-08-19 10:35:43,case_2238
Closed,2024-09-16 15:26:49,case_2238
Assign seriousness,2024-07-31 23:51:51,case_2239
Take in charge ticket,2024-08-08 08:33:28,case_2239
RESOLVED,2024-08-08 08:33:28,case_2239
