case:concept:name,concept:name,time:timestamp
case_0,Assign seriousness,2024-07-31 20:12:02.151622+00:00
case_0,Take in charge ticket,2024-08-06 08:02:45.725835125+00:00
case_0,Resolve ticket,2024-08-08 08:12:52.459843201+00:00
case_0,Closed,2024-09-17 10:05:27.161271779+00:00
case_1,Assign seriousness,2024-07-31 20:27:20.443106504+00:00
case_1,Resolve ticket,2024-08-05 08:45:04.506343840+00:00
case_1,Resolve ticket,2024-08-05 08:45:04.506443840+00:00
case_1,Closed,2024-09-04 08:57:32.910071179+00:00
case_2,Assign seriousness,2024-07-31 21:59:17.356153252+00:00
case_2,Take in charge ticket,2024-08-01 08:59:17.356253252+00:00
case_2,Resolve ticket,2024-08-05 08:36:04.553438154+00:00
case_2,Closed,2024-09-12 17:46:47.933915633+00:00
case_3,Assign seriousness,2024-07-31 19:54:46.533433234+00:00
case_3,Resolve ticket,2024-07-31 19:54:46.533533234+00:00
case_3,Resolve ticket,2024-08-02 08:29:47.649332243+00:00
case_3,Closed,2024-08-26 08:27:45.797539146+00:00
case_4,Assign seriousness,2024-07-31 19:20:23.167299+00:00
case_4,Resolve ticket,2024-07-31 19:20:23.167399+00:00
case_4,Resolve ticket,2024-08-02 08:21:42.668285314+00:00
case_4,Closed,2024-09-12 08:19:06.794176196+00:00
case_5,Assign seriousness,2024-07-31 21:18:29.383665189+00:00
case_5,Resolve ticket,2024-08-02 11:06:06.682490479+00:00
case_5,Resolve ticket,2024-08-06 16:40:00.265985376+00:00
case_5,Closed,2024-08-14 08:04:56.758833331+00:00
case_6,Assign seriousness,2024-07-31 19:55:17.167299+00:00
case_6,Resolve ticket,2024-08-05 11:10:44.764701861+00:00
case_6,Resolve ticket,2024-08-06 08:29:33.274890780+00:00
case_6,Closed,2024-09-18 08:13:02.300496007+00:00
case_7,Assign seriousness,2024-08-01 00:09:46.988463969+00:00
case_7,Resolve ticket,2024-08-05 16:34:17.375145193+00:00
case_7,Resolve ticket,2024-08-05 16:34:17.375245193+00:00
case_7,Closed,2024-09-16 11:26:56.269135969+00:00
case_8,Assign seriousness,2024-07-31 19:34:01.306138370+00:00
case_8,Resolve SW anomaly,2024-07-31 19:34:01.306238370+00:00
case_8,Resolve ticket,2024-09-02 08:22:55.168939265+00:00
case_8,Closed,2024-10-09 08:40:12.907414096+00:00
case_9,Assign seriousness,2024-07-31 20:23:47.187374508+00:00
case_9,Assign seriousness,2024-08-09 14:27:38.988897775+00:00
case_9,Resolve ticket,2024-08-09 14:27:38.988997775+00:00
case_9,Closed,2024-09-02 09:47:31.598671066+00:00
case_10,Assign seriousness,2024-07-31 20:07:00.453649130+00:00
case_10,RESOLVED,2024-08-12 08:18:46.874937213+00:00
case_10,Resolve ticket,2024-08-16 14:37:55.914170602+00:00
case_10,Closed,2024-09-12 14:44:36.634305077+00:00
case_11,Assign seriousness,2024-07-31 20:21:34.784075618+00:00
case_11,Resolve ticket,2024-07-31 20:21:34.784175618+00:00
case_11,Resolve ticket,2024-07-31 20:21:34.784275618+00:00
case_11,Closed,2024-09-05 08:46:07.162221281+00:00
case_12,Assign seriousness,2024-07-31 20:04:00.473535870+00:00
case_12,Resolve ticket,2024-08-01 08:38:25.075134734+00:00
case_12,Resolve ticket,2024-08-01 08:38:25.075234734+00:00
case_12,Closed,2024-08-19 09:17:44.208254482+00:00
case_13,Assign seriousness,2024-07-31 19:31:10.697539913+00:00
case_13,Resolve ticket,2024-08-02 16:24:51.380544583+00:00
case_13,Resolve ticket,2024-08-05 08:48:10.011460385+00:00
case_13,Closed,2024-09-16 08:09:49.146587582+00:00
case_14,Assign seriousness,2024-07-31 20:53:22.630660550+00:00
case_14,Insert ticket,2024-08-01 08:40:30.339411906+00:00
case_14,Resolve ticket,2024-08-05 08:39:54.468382817+00:00
case_14,Closed,2024-09-09 17:43:51.762166455+00:00
case_15,Assign seriousness,2024-07-31 20:09:37.167299+00:00
case_15,Create SW anomaly,2024-08-01 08:18:58.489616244+00:00
case_15,Resolve ticket,2024-08-12 08:40:52.445675494+00:00
case_15,Closed,2024-09-03 08:34:53.611719218+00:00
case_16,Assign seriousness,2024-08-01 13:19:40.167299+00:00
case_16,Resolve ticket,2024-08-01 13:19:40.167399+00:00
case_16,Resolve ticket,2024-08-02 10:07:59.304190688+00:00
case_16,Closed,2024-09-04 08:26:20.450131111+00:00
case_17,Assign seriousness,2024-07-31 20:23:14.072244740+00:00
case_17,Assign seriousness,2024-08-05 08:58:05.513736972+00:00
case_17,Resolve ticket,2024-08-06 08:10:23.113245702+00:00
case_17,Closed,2024-09-02 08:41:00.295440939+00:00
case_18,Assign seriousness,2024-07-31 21:49:56.811724055+00:00
case_18,Resolve SW anomaly,2024-08-01 08:49:56.811824055+00:00
case_18,Resolve ticket,2024-08-27 08:26:24.835186603+00:00
case_18,Closed,2024-10-02 08:33:18.104301613+00:00
case_19,Assign seriousness,2024-07-31 20:05:50.232947371+00:00
case_19,Assign seriousness,2024-08-19 08:38:58.537797342+00:00
case_19,Resolve ticket,2024-08-21 14:41:49.788874223+00:00
case_19,Closed,2024-09-09 11:34:57.972531397+00:00
case_20,Assign seriousness,2024-07-31 19:35:03.167299+00:00
case_20,Create SW anomaly,2024-08-12 08:53:14.053010848+00:00
case_20,Resolve ticket,2024-09-09 08:03:09.816708985+00:00
case_20,Closed,2024-10-09 08:51:39.130807939+00:00
case_21,Assign seriousness,2024-07-31 19:52:54.479528924+00:00
case_21,Schedule intervention,2024-07-31 19:52:54.479628924+00:00
case_21,Resolve ticket,2024-08-12 10:12:41.876530990+00:00
case_21,Closed,2024-09-13 08:00:38.075248209+00:00
case_22,Assign seriousness,2024-07-31 19:40:01.155477393+00:00
case_22,Wait,2024-08-05 08:44:07.997021607+00:00
case_22,Resolve ticket,2024-08-07 20:59:09.652914299+00:00
case_22,Closed,2024-09-11 11:51:33.470036396+00:00
