concept:name,time:timestamp,case:concept:name
Assign seriousness,2024-07-25 08:29:17,case_0
Resolve ticket,2024-07-29 11:10:37,case_0
INVALID,2024-08-05 17:40:30,case_0
Resolve SW anomaly,2024-08-13 08:40:05,case_0
Resolve ticket,2024-09-16 08:52:50,case_0
Closed,2024-10-16 08:05:02,case_0
Assign seriousness,2024-07-25 08:44:35,case_1
Resolve ticket,2024-07-25 18:24:34,case_1
INVALID,2024-08-09 12:00:56,case_1
Take in charge ticket,2024-08-19 08:00:31,case_1
Resolve ticket,2024-08-19 08:00:31,case_1
Closed,2024-09-27 08:21:31,case_1
Assign seriousness,2024-07-25 11:46:05,case_2
Assign seriousness,2024-07-30 08:37:03,case_2
RESOLVED,2024-07-30 08:37:03,case_2
Resolve ticket,2024-07-30 08:37:03,case_2
Resolve ticket,2024-08-02 11:30:27,case_2
Closed,2024-09-16 08:38:45,case_2
Assign seriousness,2024-07-25 08:29:35,case_3
Assign seriousness,2024-07-25 08:29:35,case_3
Schedule intervention,2024-07-25 08:29:35,case_3
Resolve SW anomaly,2024-07-30 15:04:50,case_3
Resolve ticket,2024-08-26 08:24:33,case_3
Closed,2024-09-30 20:03:06,case_3
Assign seriousness,2024-07-25 08:53:03,case_4
VERIFIED,2024-07-25 08:53:03,case_4
VERIFIED,2024-08-08 10:23:39,case_4
Assign seriousness,2024-08-19 19:57:02,case_4
Resolve ticket,2024-08-20 16:08:57,case_4
Closed,2024-09-27 10:31:06,case_4
Assign seriousness,2024-07-25 10:20:42,case_5
Assign seriousness,2024-07-25 10:20:42,case_5
INVALID,2024-07-29 08:21:38,case_5
VERIFIED,2024-07-29 08:28:03,case_5
Resolve ticket,2024-08-13 08:28:26,case_5
Closed,2024-09-02 11:26:09,case_5
Assign seriousness,2024-07-25 08:25:11,case_6
Assign seriousness,2024-07-29 13:26:34,case_6
Create SW anomaly,2024-07-29 13:26:34,case_6
Wait,2024-07-29 13:26:34,case_6
Resolve ticket,2024-08-12 08:39:54,case_6
Closed,2024-09-23 08:58:57,case_6
Assign seriousness,2024-07-25 13:03:54,case_7
Resolve ticket,2024-07-29 08:12:37,case_7
RESOLVED,2024-07-29 10:15:45,case_7
Require upgrade,2024-07-31 08:29:43,case_7
Resolve ticket,2024-07-31 08:29:43,case_7
Closed,2024-09-03 20:11:35,case_7
Assign seriousness,2024-07-25 08:48:25,case_8
Take in charge ticket,2024-07-25 08:48:25,case_8
Assign seriousness,2024-07-26 08:19:37,case_8
Insert ticket,2024-07-26 08:19:37,case_8
Resolve ticket,2024-07-31 08:49:54,case_8
Closed,2024-09-02 10:36:28,case_8
Assign seriousness,2024-07-25 08:58:35,case_9
INVALID,2024-07-25 08:58:35,case_9
Resolve ticket,2024-08-01 19:58:10,case_9
Create SW anomaly,2024-08-06 08:16:19,case_9
Resolve ticket,2024-08-06 08:16:19,case_9
Closed,2024-09-09 08:06:00,case_9
Assign seriousness,2024-07-25 09:25:36,case_10
Resolve ticket,2024-07-25 09:25:36,case_10
RESOLVED,2024-07-25 11:29:45,case_10
VERIFIED,2024-07-29 19:15:59,case_10
Resolve ticket,2024-08-12 08:16:45,case_10
Closed,2024-08-26 15:47:18,case_10
Assign seriousness,2024-07-25 08:32:35,case_11
VERIFIED,2024-07-25 15:52:49,case_11
VERIFIED,2024-08-09 08:58:04,case_11
Resolve ticket,2024-08-23 15:44:09,case_11
Resolve ticket,2024-08-26 08:10:08,case_11
Closed,2024-09-18 19:01:47,case_11
Assign seriousness,2024-07-25 09:23:59,case_12
Resolve ticket,2024-07-29 08:29:06,case_12
Create SW anomaly,2024-07-29 19:03:23,case_12
Take in charge ticket,2024-07-30 17:07:29,case_12
Resolve ticket,2024-08-07 08:22:42,case_12
Closed,2024-09-10 20:20:05,case_12
Assign seriousness,2024-07-25 08:48:32,case_13
Resolve ticket,2024-07-25 08:48:32,case_13
INVALID,2024-07-26 11:23:50,case_13
Take in charge ticket,2024-08-05 08:23:26,case_13
Resolve ticket,2024-08-19 08:42:27,case_13
Closed,2024-09-30 19:28:01,case_13
Assign seriousness,2024-07-25 10:11:32,case_14
Assign seriousness,2024-07-30 16:22:59,case_14
Resolve ticket,2024-08-02 12:58:43,case_14
Take in charge ticket,2024-08-13 08:04:01,case_14
Resolve ticket,2024-08-13 08:04:01,case_14
Closed,2024-09-13 08:05:48,case_14
Assign seriousness,2024-07-25 08:18:22,case_15
Take in charge ticket,2024-07-25 08:18:22,case_15
Create SW anomaly,2024-07-25 20:31:54,case_15
VERIFIED,2024-07-29 08:53:21,case_15
Resolve ticket,2024-08-13 08:43:00,case_15
Closed,2024-09-30 13:09:41,case_15
Assign seriousness,2024-07-26 01:32:40,case_16
INVALID,2024-07-29 08:42:52,case_16
RESOLVED,2024-08-05 19:42:28,case_16
RESOLVED,2024-08-09 08:32:01,case_16
Resolve ticket,2024-08-12 16:23:22,case_16
Closed,2024-09-11 13:40:06,case_16
Assign seriousness,2024-07-25 08:32:05,case_17
Assign seriousness,2024-08-05 08:22:45,case_17
Take in charge ticket,2024-08-06 09:00:15,case_17
Resolve SW anomaly,2024-08-27 12:35:18,case_17
Resolve ticket,2024-09-23 20:25:10,case_17
Closed,2024-10-30 08:53:35,case_17
Assign seriousness,2024-07-25 10:40:51,case_18
Assign seriousness,2024-07-25 10:40:51,case_18
Resolve ticket,2024-07-29 08:15:50,case_18
Take in charge ticket,2024-07-29 08:15:50,case_18
Resolve ticket,2024-08-02 10:34:00,case_18
Closed,2024-09-18 08:36:30,case_18
Assign seriousness,2024-07-25 08:18:55,case_19
Require upgrade,2024-07-25 08:18:55,case_19
VERIFIED,2024-08-05 08:42:50,case_19
Assign seriousness,2024-08-14 08:09:08,case_19
Resolve ticket,2024-08-19 09:29:59,case_19
Closed,2024-09-26 08:11:52,case_19
Assign seriousness,2024-07-25 09:03:51,case_20
Take in charge ticket,2024-07-29 08:32:18,case_20
Insert ticket,2024-08-05 16:02:00,case_20
Assign seriousness,2024-08-08 08:14:37,case_20
Resolve ticket,2024-08-09 19:38:39,case_20
Closed,2024-09-23 08:30:46,case_20
Assign seriousness,2024-07-25 08:44:43,case_21
Wait,2024-08-05 08:52:09,case_21
VERIFIED,2024-08-14 08:30:39,case_21
VERIFIED,2024-08-28 08:09:24,case_21
Resolve ticket,2024-09-09 08:02:16,case_21
Closed,2024-10-08 18:14:06,case_21
Assign seriousness,2024-07-25 08:27:09,case_22
Take in charge ticket,2024-07-29 09:10:49,case_22
Resolve ticket,2024-07-29 09:10:49,case_22
VERIFIED,2024-08-02 08:17:46,case_22
Resolve ticket,2024-08-16 11:53:21,case_22
Closed,2024-09-23 08:04:51,case_22
Assign seriousness,2024-07-25 10:00:25,case_23
Assign seriousness,2024-07-25 10:00:25,case_23
Schedule intervention,2024-07-25 10:00:25,case_23
VERIFIED,2024-07-30 14:24:16,case_23
Resolve ticket,2024-08-15 08:37:51,case_23
Closed,2024-09-09 08:49:49,case_23
Assign seriousness,2024-07-26 01:58:50,case_24
INVALID,2024-08-05 19:27:31,case_24
Require upgrade,2024-08-13 08:27:06,case_24
Assign seriousness,2024-08-27 14:28:32,case_24
Resolve ticket,2024-08-29 08:05:40,case_24
Closed,2024-10-28 19:54:24,case_24
Assign seriousness,2024-07-25 21:32:38,case_25
Resolve ticket,2024-07-26 08:32:38,case_25
INVALID,2024-08-05 08:04:33,case_25
Schedule intervention,2024-08-12 19:04:08,case_25
Resolve ticket,2024-08-21 19:22:50,case_25
Closed,2024-09-19 10:48:28,case_25
Assign seriousness,2024-07-25 10:23:33,case_26
Schedule intervention,2024-07-26 08:52:29,case_26
Resolve ticket,2024-08-05 08:14:19,case_26
VERIFIED,2024-08-12 20:49:21,case_26
Resolve ticket,2024-08-27 11:09:43,case_26
Closed,2024-09-10 08:11:17,case_26
Assign seriousness,2024-07-25 08:52:32,case_27
Assign seriousness,2024-08-05 18:34:33,case_27
VERIFIED,2024-08-07 18:52:18,case_27
Resolve ticket,2024-08-22 08:43:08,case_27
Resolve ticket,2024-08-27 08:22:42,case_27
