,case:concept:name,concept:name,time:timestamp
0,Case 1,Assign seriousness,2012-10-09 14:50:17
1,Case 1,Take in charge ticket,2012-10-09 14:51:01
2,Case 1,Take in charge ticket,2012-10-12 15:02:56
3,Case 1,Resolve ticket,2012-10-25 11:54:26
4,Case 1,Closed,2012-11-09 12:54:39
5,Case 2,Assign seriousness,2012-04-03 08:55:38
6,Case 2,Take in charge ticket,2012-04-03 08:55:53
7,Case 2,Resolve ticket,2012-04-05 09:15:52
8,Case 2,Closed,2012-05-19 09:00:28
9,Case 3,Assign seriousness,2010-10-29 10:14:06
10,Case 3,Take in charge ticket,2010-11-03 16:16:11
11,Case 3,Resolve ticket,2010-11-03 16:21:17
12,Case 3,Closed,2010-11-30 11:20:18
13,Case 4,Assign seriousness,2010-12-15 14:31:53
14,Case 4,Take in charge ticket,2010-12-16 08:01:07
15,Case 4,Resolve ticket,2010-12-16 08:08:19
16,Case 4,Closed,2011-02-12 14:40:42
17,Case 5,Assign seriousness,2012-04-03 13:08:32
18,Case 5,Take in charge ticket,2012-04-03 13:45:33
19,Case 5,Resolve ticket,2012-04-03 13:47:22
20,Case 5,Take in charge ticket,2012-04-03 14:15:02
21,Case 5,Resolve ticket,2012-04-03 16:07:28
22,Case 5,Closed,2012-05-25 13:10:28
23,Case 6,Assign seriousness,2011-10-25 15:13:58
24,Case 6,Take in charge ticket,2011-10-25 15:58:55
25,Case 6,Resolve ticket,2011-10-26 09:54:46
26,Case 6,Closed,2011-12-10 16:20:56
27,Case 7,Assign seriousness,2013-11-06 10:47:35
28,Case 7,Assign seriousness,2013-11-06 10:48:53
29,Case 7,Assign seriousness,2013-11-22 08:00:08
30,Case 7,Take in charge ticket,2013-11-25 08:18:07
31,Case 7,Resolve ticket,2013-11-25 08:57:19
32,Case 7,Closed,2013-12-10 08:57:37
33,Case 8,Assign seriousness,2012-07-05 08:30:32
34,Case 8,Take in charge ticket,2012-07-05 09:25:45
35,Case 8,Resolve ticket,2012-07-05 09:44:46
36,Case 8,Closed,2012-09-02 08:40:27
37,Case 9,Insert ticket,2010-05-07 13:02:21
38,Case 9,Assign seriousness,2010-05-07 13:02:34
39,Case 9,Take in charge ticket,2010-05-24 10:26:28
40,Case 9,Resolve ticket,2010-05-25 15:35:44
41,Case 9,Closed,2010-06-09 15:35:56
42,Case 10,Assign seriousness,2010-02-10 08:50:20
43,Case 10,Take in charge ticket,2010-03-19 08:47:06
44,Case 10,Resolve ticket,2010-03-19 08:47:13
45,Case 10,Closed,2010-04-03 07:47:38
46,Case 11,Assign seriousness,2011-12-21 15:24:41
47,Case 11,Take in charge ticket,2011-12-21 15:25:34
48,Case 11,Resolve ticket,2011-12-22 09:55:43
49,Case 11,Closed,2012-01-21 15:30:31
50,Case 12,Assign seriousness,2013-03-18 10:47:34
51,Case 12,Take in charge ticket,2013-03-18 15:03:49
52,Case 12,Resolve ticket,2013-04-03 07:13:38
53,Case 12,Closed,2013-04-18 07:13:53
54,Case 13,Assign seriousness,2012-12-17 09:47:49
55,Case 13,Take in charge ticket,2013-01-02 09:22:43
56,Case 13,Resolve ticket,2013-01-04 10:29:36
57,Case 13,Closed,2013-01-19 10:29:51
58,Case 14,Assign seriousness,2011-07-05 13:47:08
59,Case 14,Take in charge ticket,2011-07-05 13:47:22
60,Case 14,Resolve ticket,2011-07-05 13:52:37
61,Case 14,Closed,2011-08-05 13:50:21
62,Case 15,Assign seriousness,2013-02-20 09:58:27
63,Case 15,Assign seriousness,2013-03-08 08:25:42
64,Case 15,Take in charge ticket,2013-03-08 08:30:43
65,Case 15,Resolve ticket,2013-03-08 08:34:08
66,Case 15,Closed,2013-03-23 08:34:25
67,Case 16,Assign seriousness,2012-02-22 14:16:52
68,Case 16,Take in charge ticket,2012-02-22 16:14:07
69,Case 16,Take in charge ticket,2012-02-22 16:23:57
70,Case 16,Resolve ticket,2012-02-23 09:47:38
71,Case 16,Closed,2012-03-24 14:20:19
72,Case 17,Assign seriousness,2011-10-14 07:10:47
73,Case 17,Take in charge ticket,2011-11-02 16:17:52
74,Case 17,Resolve ticket,2011-11-09 13:31:37
75,Case 17,Closed,2011-11-24 15:57:55
76,Case 18,Assign seriousness,2013-03-01 16:06:11
77,Case 18,Take in charge ticket,2013-03-18 14:04:03
78,Case 18,Resolve ticket,2013-03-19 10:22:40
79,Case 18,Resolve ticket,2013-03-19 10:22:40
80,Case 18,Closed,2013-04-03 09:23:01
81,Case 19,Assign seriousness,2010-07-07 07:54:04
82,Case 19,Take in charge ticket,2010-07-09 10:10:52
83,Case 19,Resolve ticket,2010-07-09 10:11:18
84,Case 19,Closed,2010-08-07 08:00:22
85,Case 20,Assign seriousness,2013-05-09 07:10:37
86,Case 20,Take in charge ticket,2013-06-04 13:33:01
87,Case 20,Wait,2013-06-10 09:06:43
88,Case 20,Resolve ticket,2013-06-19 09:12:02
89,Case 20,Closed,2013-07-04 09:12:15
90,Case 21,Assign seriousness,2011-01-14 15:15:21
91,Case 21,Take in charge ticket,2011-01-27 08:06:37
92,Case 21,Resolve ticket,2011-01-27 10:19:15
93,Case 21,Closed,2011-02-26 10:19:37
94,Case 22,Assign seriousness,2012-07-23 07:49:04
95,Case 22,Take in charge ticket,2012-07-23 07:49:14
96,Case 22,Wait,2012-07-23 08:51:59
97,Case 22,Resolve ticket,2012-08-27 10:05:23
