lifecycle:transition,concept:name,case:concept:name,case:label,time:timestamp
complete,ER Registration,case_0,positive,2024-08-10 11:31:48.580580+00:00
complete,ER Triage,case_0,positive,2024-08-10 11:46:59.090046101+00:00
complete,ER Sepsis Triage,case_0,positive,2024-08-10 11:46:59.090146101+00:00
complete,IV Antibiotics,case_0,positive,2024-08-10 12:48:08.574597668+00:00
complete,Leucocytes,case_0,positive,2024-08-10 17:59:35.900718973+00:00
complete,CRP,case_0,positive,2024-08-10 19:20:20.500361549+00:00
complete,CRP,case_0,positive,2024-08-12 11:41:06.446312027+00:00
complete,LacticAcid,case_0,positive,2024-08-12 19:53:36.217318073+00:00
complete,Leucocytes,case_0,positive,2024-08-13 05:39:20.025750119+00:00
complete,Release E,case_0,positive,2024-08-15 22:00:59.630179072+00:00
complete,IV Antibiotics,case_0,positive,2024-08-17 06:32:54.091733153+00:00
complete,ER Registration,case_1,positive,2024-08-10 15:54:47.764424684+00:00
complete,ER Triage,case_1,positive,2024-08-10 16:00:42.933631161+00:00
complete,ER Sepsis Triage,case_1,positive,2024-08-10 16:00:42.933731161+00:00
complete,Leucocytes,case_1,positive,2024-08-10 16:23:53.724882514+00:00
complete,IV Antibiotics,case_1,positive,2024-08-10 16:23:53.724982514+00:00
complete,CRP,case_1,positive,2024-08-10 16:23:53.725082514+00:00
complete,Return ER,case_1,positive,2024-08-11 03:21:03.281017390+00:00
complete,LacticAcid,case_1,positive,2024-08-11 03:21:03.281117390+00:00
complete,Leucocytes,case_1,positive,2024-08-11 09:03:44.198909307+00:00
complete,Leucocytes,case_1,positive,2024-08-11 13:59:13.989275794+00:00
complete,Leucocytes,case_1,positive,2024-08-11 13:59:13.989375794+00:00
complete,ER Registration,case_2,positive,2024-08-11 05:38:02.665288092+00:00
complete,ER Triage,case_2,positive,2024-08-11 05:51:31.748301508+00:00
complete,ER Sepsis Triage,case_2,positive,2024-08-11 06:05:33.138211242+00:00
complete,Leucocytes,case_2,positive,2024-08-11 06:55:35.652129709+00:00
complete,LacticAcid,case_2,positive,2024-08-11 11:15:07.998019883+00:00
complete,Release B,case_2,positive,2024-08-11 22:36:43.142383820+00:00
complete,Release C,case_2,positive,2024-08-12 10:32:16.267681409+00:00
complete,CRP,case_2,positive,2024-08-13 09:19:45.647725033+00:00
