case:concept:name,concept:name,time:timestamp
82,ER Registration,2014-02-09 18:29:29+00:00
82,ER Triage,2014-02-09 19:05:23+00:00
82,ER Sepsis Triage,2014-02-09 19:05:33+00:00
82,Leucocytes,2014-02-09 19:06:00+00:00
82,CRP,2014-02-09 19:06:00+00:00
82,IV Liquid,2014-02-09 19:07:12+00:00
82,IV Antibiotics,2014-02-09 19:07:19+00:00
82,Admission NC,2014-02-09 21:53:46+00:00
82,Admission NC,2014-02-11 07:14:11+00:00
82,Leucocytes,2014-02-11 07:57:00+00:00
82,CRP,2014-02-11 07:57:00+00:00
82,Leucocytes,2014-02-14 07:00:00+00:00
82,CRP,2014-02-14 07:00:00+00:00
82,Release A,2014-02-15 09:00:00+00:00
123,ER Registration,2014-07-10 09:52:00+00:00
123,ER Triage,2014-07-10 10:06:24+00:00
123,ER Sepsis Triage,2014-07-10 10:16:54+00:00
123,CRP,2014-07-10 10:50:00+00:00
123,LacticAcid,2014-07-10 10:50:00+00:00
123,Leucocytes,2014-07-10 10:50:00+00:00
123,IV Liquid,2014-07-10 10:56:57+00:00
123,IV Antibiotics,2014-07-10 10:57:05+00:00
123,Admission NC,2014-07-10 12:07:02+00:00
123,Leucocytes,2014-07-12 06:00:00+00:00
123,CRP,2014-07-13 06:00:00+00:00
123,Release A,2014-07-15 16:00:00+00:00
123,Return ER,2014-07-28 15:36:41+00:00
205,ER Registration,2014-05-07 16:56:57+00:00
205,ER Triage,2014-05-07 16:57:49+00:00
205,ER Sepsis Triage,2014-05-07 16:58:08+00:00
205,Leucocytes,2014-05-07 17:11:00+00:00
205,CRP,2014-05-07 17:11:00+00:00
205,LacticAcid,2014-05-07 17:11:00+00:00
205,IV Antibiotics,2014-05-07 20:01:28+00:00
205,IV Liquid,2014-05-07 20:01:28+00:00
205,Admission NC,2014-05-07 20:03:00+00:00
205,Release A,2014-05-09 09:00:00+00:00
287,ER Registration,2014-03-11 08:50:02+00:00
287,ER Triage,2014-03-11 08:51:06+00:00
287,ER Sepsis Triage,2014-03-11 08:51:26+00:00
287,CRP,2014-03-11 09:22:00+00:00
287,LacticAcid,2014-03-11 09:22:00+00:00
287,Leucocytes,2014-03-11 09:22:00+00:00
287,Admission IC,2014-03-11 12:54:26+00:00
287,Admission NC,2014-03-12 06:00:00+00:00
287,CRP,2014-03-13 06:00:00+00:00
287,Leucocytes,2014-03-15 06:00:00+00:00
287,CRP,2014-03-15 06:00:00+00:00
287,Admission NC,2014-03-15 10:36:15+00:00
287,Release B,2014-03-16 00:00:00+00:00
328,ER Registration,2013-11-09 08:21:03+00:00
328,ER Triage,2013-11-09 08:34:28+00:00
328,ER Sepsis Triage,2013-11-09 08:34:41+00:00
328,IV Antibiotics,2013-11-09 08:34:56+00:00
328,Leucocytes,2013-11-09 08:42:00+00:00
328,CRP,2013-11-09 08:42:00+00:00
328,LacticAcid,2013-11-09 08:42:00+00:00
328,Admission NC,2013-11-09 09:56:59+00:00
328,Leucocytes,2013-11-11 07:00:00+00:00
328,CRP,2013-11-11 07:00:00+00:00
328,Release A,2013-11-16 12:05:00+00:00
369,ER Registration,2014-01-02 15:45:45+00:00
369,ER Triage,2014-01-02 15:47:18+00:00
369,ER Sepsis Triage,2014-01-02 15:55:51+00:00
369,CRP,2014-01-02 15:57:00+00:00
369,Leucocytes,2014-01-02 15:57:00+00:00
369,LacticAcid,2014-01-02 15:57:00+00:00
369,IV Liquid,2014-01-02 16:30:00+00:00
369,IV Antibiotics,2014-01-02 17:00:00+00:00
369,Admission NC,2014-01-02 19:09:47+00:00
369,CRP,2014-01-04 07:00:00+00:00
369,Release A,2014-01-06 10:00:00+00:00
410,ER Registration,2014-02-23 20:43:13+00:00
410,ER Triage,2014-02-23 20:58:31+00:00
410,ER Sepsis Triage,2014-02-23 20:58:54+00:00
410,LacticAcid,2014-02-23 21:15:00+00:00
410,CRP,2014-02-23 21:15:00+00:00
410,Leucocytes,2014-02-23 21:15:00+00:00
410,IV Antibiotics,2014-02-23 23:39:44+00:00
410,Admission NC,2014-02-23 23:49:53+00:00
410,Leucocytes,2014-02-24 06:00:00+00:00
410,CRP,2014-02-24 06:00:00+00:00
410,Admission NC,2014-02-24 06:52:49+00:00
410,IV Liquid,2014-02-24 20:39:32+00:00
410,CRP,2014-02-25 12:00:00+00:00
