lifecycle:transition,concept:name,case:concept:name,case:label,time:timestamp
complete,ER Registration,case_0,positive,2024-08-10 18:43:31.688483+00:00
complete,Leucocytes,case_0,positive,2024-08-10 19:07:01.734148978+00:00
complete,Leucocytes,case_0,positive,2024-08-12 02:21:58.443875971+00:00
complete,Leucocytes,case_0,positive,2024-08-14 12:29:35.638915841+00:00
complete,CRP,case_0,positive,2024-08-15 21:54:34.258292169+00:00
complete,CRP,case_0,positive,2024-08-17 14:15:18.415704778+00:00
complete,CRP,case_0,positive,2024-08-19 06:36:04.361655256+00:00
complete,CRP,case_0,positive,2024-08-23 05:49:15.036069353+00:00
complete,CRP,case_0,positive,2024-08-26 04:28:31.320120709+00:00
complete,CRP,case_0,positive,2024-08-27 13:41:59.813654414+00:00
complete,CRP,case_0,positive,2024-08-30 05:32:58.447349830+00:00
complete,CRP,case_0,positive,2024-08-31 14:57:26.751702410+00:00
complete,ER Triage,case_0,positive,2024-08-31 15:00:18.789310436+00:00
complete,ER Sepsis Triage,case_0,positive,2024-08-31 15:09:37.838757541+00:00
complete,Return ER,case_0,positive,2024-08-31 15:09:37.838857541+00:00
complete,Admission IC,case_0,positive,2024-08-31 15:09:37.838957541+00:00
complete,Release B,case_0,positive,2024-08-31 17:28:49.986183476+00:00
complete,Release C,case_0,positive,2024-08-31 17:28:49.986283476+00:00
complete,Release E,case_0,positive,2024-09-17 21:50:24.433808404+00:00
complete,ER Registration,case_1,positive,2024-08-10 23:06:30.872327684+00:00
complete,Leucocytes,case_1,positive,2024-08-10 23:15:56.866981666+00:00
complete,Leucocytes,case_1,positive,2024-08-10 23:15:56.867081666+00:00
complete,Leucocytes,case_1,positive,2024-08-14 13:21:55.051985230+00:00
complete,CRP,case_1,positive,2024-08-14 14:51:50.059164773+00:00
complete,CRP,case_1,positive,2024-08-16 16:20:19.142358655+00:00
complete,CRP,case_1,positive,2024-08-16 20:39:20.948730964+00:00
complete,CRP,case_1,positive,2024-08-18 03:36:48.993777988+00:00
complete,CRP,case_1,positive,2024-08-20 06:24:05.423089101+00:00
complete,CRP,case_1,positive,2024-08-20 19:00:09.815639063+00:00
complete,CRP,case_1,positive,2024-08-23 05:48:10.647143384+00:00
complete,CRP,case_1,positive,2024-08-24 11:03:30.216825676+00:00
complete,CRP,case_1,positive,2024-08-26 01:39:45.976413696+00:00
complete,LacticAcid,case_1,positive,2024-08-26 01:39:45.976513696+00:00
complete,ER Triage,case_1,positive,2024-08-26 01:52:50.548299441+00:00
complete,ER Sepsis Triage,case_1,positive,2024-08-26 01:55:28.802233605+00:00
