case:concept:name,concept:name,time:timestamp
2742737,01_HOOFD_010,2011/05/31 22:00:00.000000
2742737,01_HOOFD_015,2011/06/16 10:17:11.000000
2742737,01_HOOFD_020,2011/06/16 10:17:14.000000
2742737,01_HOOFD_040,2011/06/16 10:17:16.000000
2742737,01_HOOFD_050,2011/06/16 10:17:17.000000
2742737,01_HOOFD_055,2011/06/16 10:17:22.000000
2742737,01_HOOFD_060,2011/06/16 10:17:24.000000
2742737,[EOC],2011/06/16 10:17:24.000000
2760925,01_HOOFD_010,2010/10/04 22:00:00.000000
2760925,01_HOOFD_015,2010/10/07 12:57:14.000000
2760925,[EOC],2010/10/07 12:57:14.000000
2771451,01_HOOFD_010,2010/10/05 22:00:00.000000
2771451,01_HOOFD_190_2,2010/10/18 22:00:00.000000
2771451,01_HOOFD_030_2,2010/11/17 23:00:00.000000
2771451,08_AWB45_020_2,2010/11/17 23:00:00.000000
2771451,08_AWB45_040,2010/11/21 23:00:00.000000
2771451,01_HOOFD_065_2,2010/11/23 23:00:00.000000
2771451,01_HOOFD_100,2010/11/24 23:00:00.000000
2771451,01_HOOFD_190_2,2010/11/25 23:00:00.000000
2771451,01_HOOFD_015,2010/11/30 15:21:56.000000
2771451,01_HOOFD_020,2010/11/30 15:22:02.000000
2771451,01_HOOFD_030_1,2010/11/30 15:22:26.000000
2771451,01_HOOFD_040,2010/11/30 15:22:44.000000
2771451,01_HOOFD_060,2010/11/30 15:50:14.000000
2771451,01_HOOFD_065_1,2010/11/30 15:50:30.000000
2771451,06_VD_010,2010/11/30 15:50:50.000000
2771451,01_HOOFD_100,2010/11/30 15:50:56.000000
2771451,01_HOOFD_130,2010/11/30 15:51:22.000000
2771451,01_HOOFD_050,2010/11/30 15:51:36.000000
2771451,05_EIND_010,2010/11/30 15:51:49.000000
2771451,01_HOOFD_110,2010/11/30 15:52:23.000000
2771451,01_HOOFD_120,2010/11/30 15:52:28.000000
2771451,01_HOOFD_180,2010/11/30 15:53:02.000000
2771451,01_HOOFD_190_1,2010/11/30 15:53:04.000000
2771451,01_HOOFD_200,2010/11/30 15:53:24.000000
2771451,08_AWB45_010,2010/11/30 15:54:00.000000
2771451,08_AWB45_020_1,2010/11/30 15:54:10.000000
2771451,08_AWB45_030,2010/11/30 15:55:36.000000
2771451,08_AWB45_170,2010/12/01 09:52:59.000000
2771451,01_HOOFD_130,2010/12/01 09:53:03.000000
2771451,01_HOOFD_110,2010/12/01 09:53:11.000000
2771451,01_HOOFD_120,2010/12/01 09:53:14.000000
2771451,01_HOOFD_180,2010/12/01 09:53:19.000000
2771451,01_HOOFD_190_1,2010/12/01 09:53:21.000000
2771451,01_HOOFD_200,2010/12/01 09:54:00.000000
2771451,01_HOOFD_205,2010/12/01 09:54:00.000000
2771451,01_HOOFD_270,2010/12/01 09:54:05.000000
2771451,01_HOOFD_250,2010/12/01 09:54:08.000000
2771451,01_HOOFD_260,2010/12/01 09:54:12.000000
2771451,09_AH_I_010,2010/12/01 09:54:17.000000
2771451,01_HOOFD_375,2010/12/01 09:54:19.000000
2771451,01_HOOFD_370,2010/12/01 09:54:19.000000
2771451,01_HOOFD_380,2010/12/01 09:54:22.000000
2771451,01_HOOFD_430,2010/12/01 09:54:39.000000
2771451,01_HOOFD_470,2010/12/01 09:54:45.000000
2771451,01_HOOFD_480,2010/12/01 09:54:47.000000
2771451,01_HOOFD_490_1,2010/12/01 09:54:47.000000
2771451,01_HOOFD_490_3,2010/12/05 23:00:00.000000
2771451,01_HOOFD_510_2,2010/12/05 23:00:00.000000
2771451,01_HOOFD_490_2,2010/12/06 08:06:21.000000
2771451,01_HOOFD_500,2010/12/06 08:09:03.000000
2771451,01_HOOFD_510_1,2010/12/06 09:00:26.000000
2771451,01_HOOFD_520,2010/12/06 09:03:59.000000
2771451,01_HOOFD_530,2010/12/14 23:00:00.000000
2771451,[EOC],2010/12/14 23:00:00.000000
2782209,01_HOOFD_010,2010/10/05 22:00:00.000000
2782209,01_HOOFD_015,2010/10/12 07:54:56.000000
2782209,01_HOOFD_020,2010/10/12 07:56:10.000000
2782209,01_HOOFD_040,2010/10/12 07:56:15.000000
2782209,01_HOOFD_060,2010/10/12 07:56:28.000000
2782209,01_HOOFD_065_2,2010/10/17 22:00:00.000000
2782209,01_HOOFD_065_1,2010/10/18 13:56:37.000000
2782209,01_HOOFD_050,2010/10/18 13:56:54.000000
2782209,01_HOOFD_100,2010/10/18 13:57:23.000000
2782209,01_HOOFD_100,2010/10/26 22:00:00.000000
2782209,01_HOOFD_110,2010/11/15 08:03:28.000000
2782209,01_HOOFD_130,2010/11/15 08:04:27.000000
2782209,05_EIND_010,2010/11/15 08:04:43.000000
2782209,06_VD_010,2010/11/15 08:05:04.000000
2782209,01_HOOFD_120,2010/11/15 08:20:23.000000
2782209,01_HOOFD_180,2010/11/15 10:47:28.000000
2782209,01_HOOFD_190_1,2010/11/15 10:53:09.000000
2782209,01_HOOFD_200,2010/11/15 10:54:18.000000
2782209,01_HOOFD_205,2010/11/15 10:54:19.000000
2782209,01_HOOFD_270,2010/11/15 10:54:26.000000
2782209,01_HOOFD_250,2010/11/15 10:54:34.000000
2782209,01_HOOFD_260,2010/11/15 10:54:39.000000
2782209,09_AH_I_010,2010/11/15 10:55:18.000000
2782209,01_HOOFD_370,2010/11/15 10:56:17.000000
2782209,01_HOOFD_375,2010/11/15 10:56:18.000000
2782209,01_HOOFD_380,2010/11/15 10:56:23.000000
2782209,01_HOOFD_430,2010/11/15 11:06:58.000000
2782209,01_HOOFD_470,2010/11/15 11:07:03.000000
2782209,01_HOOFD_480,2010/11/15 11:07:07.000000
2782209,01_HOOFD_490_1,2010/11/15 11:07:09.000000
2782209,01_HOOFD_490_2,2010/11/15 11:20:39.000000
2782209,01_HOOFD_490_3,2010/11/15 23:00:00.000000
2782209,01_HOOFD_500,2010/11/16 09:58:25.000000
2782209,01_HOOFD_510_1,2010/11/16 10:30:00.000000
