case:concept:name,concept:name,time:timestamp
3,Assign seriousness,2010/10/29 10:14:06.000000
3,Take in charge ticket,2010/11/03 16:16:11.000000
3,Resolve ticket,2010/11/03 16:21:17.000000
3,Closed,2010/11/30 11:20:18.000000
3,[EOC],2010/11/30 11:20:18.000000
4,Assign seriousness,2010/12/15 14:31:53.000000
4,Take in charge ticket,2010/12/16 08:01:07.000000
4,Resolve ticket,2010/12/16 08:08:19.000000
4,Closed,2011/02/12 14:40:42.000000
4,[EOC],2011/02/12 14:40:42.000000
6,Assign seriousness,2011/10/25 15:13:58.000000
6,Take in charge ticket,2011/10/25 15:58:55.000000
6,Resolve ticket,2011/10/26 09:54:46.000000
6,Closed,2011/12/10 16:20:56.000000
6,[EOC],2011/12/10 16:20:56.000000
9,Insert ticket,2010/05/07 13:02:21.000000
9,Assign seriousness,2010/05/07 13:02:34.000000
9,Take in charge ticket,2010/05/24 10:26:28.000000
9,Resolve ticket,2010/05/25 15:35:44.000000
9,Closed,2010/06/09 15:35:56.000000
9,[EOC],2010/06/09 15:35:56.000000
10,Assign seriousness,2010/02/10 08:50:20.000000
10,Take in charge ticket,2010/03/19 08:47:06.000000
10,Resolve ticket,2010/03/19 08:47:13.000000
10,Closed,2010/04/03 07:47:38.000000
10,[EOC],2010/04/03 07:47:38.000000
11,Assign seriousness,2011/12/21 15:24:41.000000
11,Take in charge ticket,2011/12/21 15:25:34.000000
11,Resolve ticket,2011/12/22 09:55:43.000000
11,Closed,2012/01/21 15:30:31.000000
11,[EOC],2012/01/21 15:30:31.000000
14,Assign seriousness,2011/07/05 13:47:08.000000
14,Take in charge ticket,2011/07/05 13:47:22.000000
14,Resolve ticket,2011/07/05 13:52:37.000000
14,Closed,2011/08/05 13:50:21.000000
14,[EOC],2011/08/05 13:50:21.000000
16,Assign seriousness,2012/02/22 14:16:52.000000
16,Take in charge ticket,2012/02/22 16:14:07.000000
16,Take in charge ticket,2012/02/22 16:23:57.000000
16,Resolve ticket,2012/02/23 09:47:38.000000
16,Closed,2012/03/24 14:20:19.000000
16,[EOC],2012/03/24 14:20:19.000000
17,Assign seriousness,2011/10/14 07:10:47.000000
17,Take in charge ticket,2011/11/02 16:17:52.000000
17,Resolve ticket,2011/11/09 13:31:37.000000
17,Closed,2011/11/24 15:57:55.000000
17,[EOC],2011/11/24 15:57:55.000000
19,Assign seriousness,2010/07/07 07:54:04.000000
19,Take in charge ticket,2010/07/09 10:10:52.000000
19,Resolve ticket,2010/07/09 10:11:18.000000
19,Closed,2010/08/07 08:00:22.000000
19,[EOC],2010/08/07 08:00:22.000000
21,Assign seriousness,2011/01/14 15:15:21.000000
21,Take in charge ticket,2011/01/27 08:06:37.000000
21,Resolve ticket,2011/01/27 10:19:15.000000
21,Closed,2011/02/26 10:19:37.000000
21,[EOC],2011/02/26 10:19:37.000000
24,Assign seriousness,2010/04/27 09:49:56.000000
24,Take in charge ticket,2010/06/08 11:06:56.000000
24,Resolve ticket,2010/06/08 14:46:16.000000
24,Closed,2010/06/23 14:46:28.000000
24,[EOC],2010/06/23 14:46:28.000000
25,Assign seriousness,2010/12/30 09:27:17.000000
25,Take in charge ticket,2010/12/30 13:14:04.000000
25,Resolve ticket,2010/12/30 15:16:35.000000
25,Closed,2011/02/16 09:30:28.000000
25,[EOC],2011/02/16 09:30:28.000000
26,Assign seriousness,2011/03/31 07:28:47.000000
