case:concept:name,concept:name,time:timestamp
82,ER Registration,2014/02/09 18:29:29.000000
82,ER Triage,2014/02/09 19:05:23.000000
82,ER Sepsis Triage,2014/02/09 19:05:33.000000
82,Leucocytes,2014/02/09 19:06:00.000000
82,CRP,2014/02/09 19:06:00.000000
82,IV Liquid,2014/02/09 19:07:12.000000
82,IV Antibiotics,2014/02/09 19:07:19.000000
82,Admission NC,2014/02/09 21:53:46.000000
82,Admission NC,2014/02/11 07:14:11.000000
82,Leucocytes,2014/02/11 07:57:00.000000
82,CRP,2014/02/11 07:57:00.000000
82,Leucocytes,2014/02/14 07:00:00.000000
82,CRP,2014/02/14 07:00:00.000000
82,Release A,2014/02/15 09:00:00.000000
82,[EOC],2014/02/15 09:00:00.000000
123,ER Registration,2014/07/10 09:52:00.000000
123,ER Triage,2014/07/10 10:06:24.000000
123,ER Sepsis Triage,2014/07/10 10:16:54.000000
123,CRP,2014/07/10 10:50:00.000000
123,LacticAcid,2014/07/10 10:50:00.000000
123,Leucocytes,2014/07/10 10:50:00.000000
123,IV Liquid,2014/07/10 10:56:57.000000
123,IV Antibiotics,2014/07/10 10:57:05.000000
123,Admission NC,2014/07/10 12:07:02.000000
123,Leucocytes,2014/07/12 06:00:00.000000
123,CRP,2014/07/13 06:00:00.000000
123,Release A,2014/07/15 16:00:00.000000
123,Return ER,2014/07/28 15:36:41.000000
123,[EOC],2014/07/28 15:36:41.000000
205,ER Registration,2014/05/07 16:56:57.000000
205,ER Triage,2014/05/07 16:57:49.000000
205,ER Sepsis Triage,2014/05/07 16:58:08.000000
205,Leucocytes,2014/05/07 17:11:00.000000
205,CRP,2014/05/07 17:11:00.000000
205,LacticAcid,2014/05/07 17:11:00.000000
205,IV Antibiotics,2014/05/07 20:01:28.000000
205,IV Liquid,2014/05/07 20:01:28.000000
205,Admission NC,2014/05/07 20:03:00.000000
205,Release A,2014/05/09 09:00:00.000000
205,[EOC],2014/05/09 09:00:00.000000
287,ER Registration,2014/03/11 08:50:02.000000
287,ER Triage,2014/03/11 08:51:06.000000
287,ER Sepsis Triage,2014/03/11 08:51:26.000000
287,CRP,2014/03/11 09:22:00.000000
287,LacticAcid,2014/03/11 09:22:00.000000
287,Leucocytes,2014/03/11 09:22:00.000000
287,Admission IC,2014/03/11 12:54:26.000000
287,Admission NC,2014/03/12 06:00:00.000000
287,CRP,2014/03/13 06:00:00.000000
287,Leucocytes,2014/03/15 06:00:00.000000
287,CRP,2014/03/15 06:00:00.000000
287,Admission NC,2014/03/15 10:36:15.000000
287,Release B,2014/03/16 00:00:00.000000
287,[EOC],2014/03/16 00:00:00.000000
328,ER Registration,2013/11/09 08:21:03.000000
328,ER Triage,2013/11/09 08:34:28.000000
328,ER Sepsis Triage,2013/11/09 08:34:41.000000
328,IV Antibiotics,2013/11/09 08:34:56.000000
328,Leucocytes,2013/11/09 08:42:00.000000
328,[EOC],2013/11/09 08:42:00.000000
328225356,CRP,2013/11/09 08:42:00.000000
328225356,Admission NC,2013/11/09 09:56:59.000000
328225356,Leucocytes,2013/11/11 07:00:00.000000
328225356,CRP,2013/11/11 07:00:00.000000
328225356,Release A,2013/11/16 12:05:00.000000
328225356,CRP,2013/11/09 08:42:00.000000
328225356,Admission NC,2013/11/09 09:56:59.000000
328225356,Leucocytes,2013/11/11 07:00:00.000000
328225356,CRP,2013/11/11 07:00:00.000000
328225356,Release A,2013/11/16 12:05:00.000000
328225356,CRP,2013/11/09 08:42:00.000000
328225356,Admission NC,2013/11/09 09:56:59.000000
328225356,Leucocytes,2013/11/11 07:00:00.000000
328225356,CRP,2013/11/11 07:00:00.000000
328225356,Release A,2013/11/16 12:05:00.000000
328225356,[EOC],2013/11/16 12:05:00.000000
328225,LacticAcid,2013/11/09 08:42:00.000000
328225,LacticAcid,2013/11/09 08:42:00.000000
328225,[EOC],2013/11/09 08:42:00.000000
369,ER Registration,2014/01/02 15:45:45.000000
369,ER Triage,2014/01/02 15:47:18.000000
369,ER Sepsis Triage,2014/01/02 15:55:51.000000
369,CRP,2014/01/02 15:57:00.000000
369,Leucocytes,2014/01/02 15:57:00.000000
369,LacticAcid,2014/01/02 15:57:00.000000
369,IV Liquid,2014/01/02 16:30:00.000000
369,IV Antibiotics,2014/01/02 17:00:00.000000
369,Admission NC,2014/01/02 19:09:47.000000
369,CRP,2014/01/04 07:00:00.000000
369,Release A,2014/01/06 10:00:00.000000
369,[EOC],2014/01/06 10:00:00.000000
410,ER Registration,2014/02/23 20:43:13.000000
410,ER Triage,2014/02/23 20:58:31.000000
410,ER Sepsis Triage,2014/02/23 20:58:54.000000
410,LacticAcid,2014/02/23 21:15:00.000000
410,CRP,2014/02/23 21:15:00.000000
410,Leucocytes,2014/02/23 21:15:00.000000
410,IV Antibiotics,2014/02/23 23:39:44.000000
410,Admission NC,2014/02/23 23:49:53.000000
410,Leucocytes,2014/02/24 06:00:00.000000
410,CRP,2014/02/24 06:00:00.000000
410,Admission NC,2014/02/24 06:52:49.000000
410,IV Liquid,2014/02/24 20:39:32.000000
410,CRP,2014/02/25 12:00:00.000000
410,Leucocytes,2014/02/25 12:00:00.000000
410,Release A,2014/02/26 09:00:00.000000
410,Return ER,2014/06/10 20:27:24.000000
410,[EOC],2014/06/10 20:27:24.000000
532,ER Registration,2014/06/16 08:34:58.000000
532,ER Triage,2014/06/16 08:39:41.000000
532,ER Sepsis Triage,2014/06/16 08:40:44.000000
532,CRP,2014/06/16 09:07:00.000000
532,LacticAcid,2014/06/16 09:07:00.000000
532,Leucocytes,2014/06/16 09:07:00.000000
532,Admission NC,2014/06/16 11:01:19.000000
532,IV Liquid,2014/06/16 11:02:05.000000
532,IV Antibiotics,2014/06/16 11:02:14.000000
532,CRP,2014/06/18 06:00:00.000000
532,Leucocytes,2014/06/18 06:00:00.000000
532,Release A,2014/06/21 12:30:00.000000
532,[EOC],2014/06/21 12:30:00.000000
612,ER Registration,2014/04/22 07:39:36.000000
612,ER Triage,2014/04/22 08:04:49.000000
612,ER Sepsis Triage,2014/04/22 09:01:16.000000
612,[EOC],2014/04/22 09:01:16.000000
652,ER Registration,2013/12/15 13:17:05.000000
652,ER Triage,2013/12/15 13:18:49.000000
652,ER Sepsis Triage,2013/12/15 13:19:07.000000
652,[EOC],2013/12/15 13:19:07.000000
731,ER Registration,2014/01/21 11:16:14.000000
731,ER Triage,2014/01/21 11:18:55.000000
731,Return ER,2014/08/30 12:54:18.000000
731,[EOC],2014/08/30 12:54:18.000000
731346,ER Sepsis Triage,2014/01/21 11:19:08.000000
731346,Leucocytes,2014/01/21 11:22:00.000000
731346,CRP,2014/01/21 11:22:00.000000
731346,LacticAcid,2014/01/21 11:22:00.000000
731346,IV Liquid,2014/01/21 13:27:49.000000
731346,IV Antibiotics,2014/01/21 13:27:54.000000
731346,Admission NC,2014/01/21 14:24:18.000000
731346,Admission IC,2014/01/21 15:45:32.000000
731346,LacticAcid,2014/01/22 06:00:00.000000
731346,Leucocytes,2014/01/22 06:00:00.000000
731346,CRP,2014/01/22 06:00:00.000000
731346,Admission NC,2014/01/22 10:30:00.000000
731346,Leucocytes,2014/01/23 07:00:00.000000
731346,CRP,2014/01/23 07:00:00.000000
731346,Leucocytes,2014/01/25 07:00:00.000000
731346,Release A,2014/01/28 17:00:00.000000
731346,ER Sepsis Triage,2014/01/21 11:19:08.000000
731346,Leucocytes,2014/01/21 11:22:00.000000
731346,CRP,2014/01/21 11:22:00.000000
