prefix_length;ground_truth;predicted;prediction_probs
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;0;2;[0.,0.,1.,0.,0.]
4;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;0;2;[0.,0.,1.,0.,0.]
3;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;3;2;[0.,0.,1.,0.,0.]
5;3;2;[0.,0.,1.,0.,0.]
6;3;2;[0.,0.,1.,0.,0.]
7;1;2;[0.,0.,1.,0.,0.]
8;3;2;[0.,0.,1.,0.,0.]
9;3;2;[0.,0.,1.,0.,0.]
10;3;2;[0.,0.,1.,0.,0.]
11;3;2;[0.,0.,1.,0.,0.]
12;1;2;[0.,0.,1.,0.,0.]
13;3;2;[0.,0.,1.,0.,0.]
14;3;2;[0.,0.,1.,0.,0.]
15;0;2;[0.,0.,1.,0.,0.]
15;2;2;[0.,0.,1.,0.,0.]
2;0;2;[0.,0.,1.,0.,0.]
2;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;0;2;[0.,0.,1.,0.,0.]
4;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;0;2;[0.,0.,1.,0.,0.]
2;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;0;2;[0.,0.,1.,0.,0.]
4;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;1;2;[0.,0.,1.,0.,0.]
4;3;2;[0.,0.,1.,0.,0.]
5;0;2;[0.,0.,1.,0.,0.]
5;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;0;2;[0.,0.,1.,0.,0.]
2;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;1;2;[0.,0.,1.,0.,0.]
5;3;2;[0.,0.,1.,0.,0.]
6;3;2;[0.,0.,1.,0.,0.]
7;3;2;[0.,0.,1.,0.,0.]
8;1;2;[0.,0.,1.,0.,0.]
9;3;2;[0.,0.,1.,0.,0.]
10;3;2;[0.,0.,1.,0.,0.]
11;0;2;[0.,0.,1.,0.,0.]
11;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;1;2;[0.,0.,1.,0.,0.]
4;3;2;[0.,0.,1.,0.,0.]
5;3;2;[0.,0.,1.,0.,0.]
6;3;2;[0.,0.,1.,0.,0.]
7;0;2;[0.,0.,1.,0.,0.]
7;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;0;2;[0.,0.,1.,0.,0.]
3;2;2;[0.,0.,1.,0.,0.]
2;1;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;0;2;[0.,0.,1.,0.,0.]
4;2;2;[0.,0.,1.,0.,0.]
2;0;2;[0.,0.,1.,0.,0.]
2;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;0;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;0;2;[0.,0.,1.,0.,0.]
3;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;0;2;[0.,0.,1.,0.,0.]
2;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;1;2;[0.,0.,1.,0.,0.]
5;3;2;[0.,0.,1.,0.,0.]
6;3;2;[0.,0.,1.,0.,0.]
7;3;2;[0.,0.,1.,0.,0.]
8;3;2;[0.,0.,1.,0.,0.]
9;3;2;[0.,0.,1.,0.,0.]
10;0;2;[0.,0.,1.,0.,0.]
10;2;2;[0.,0.,1.,0.,0.]
2;1;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;0;2;[0.,0.,1.,0.,0.]
4;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;0;2;[0.,0.,1.,0.,0.]
3;2;2;[0.,0.,1.,0.,0.]
2;1;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;1;2;[0.,0.,1.,0.,0.]
5;3;2;[0.,0.,1.,0.,0.]
6;3;2;[0.,0.,1.,0.,0.]
7;0;2;[0.,0.,1.,0.,0.]
7;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;3;2;[0.,0.,1.,0.,0.]
5;0;2;[0.,0.,1.,0.,0.]
5;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;3;2;[0.,0.,1.,0.,0.]
5;0;2;[0.,0.,1.,0.,0.]
5;2;2;[0.,0.,1.,0.,0.]
2;0;2;[0.,0.,1.,0.,0.]
2;2;2;[0.,0.,1.,0.,0.]
2;0;2;[0.,0.,1.,0.,0.]
2;2;2;[0.,0.,1.,0.,0.]
2;0;2;[0.,0.,1.,0.,0.]
2;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
1;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;0;2;[0.,0.,1.,0.,0.]
3;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;0;2;[0.,0.,1.,0.,0.]
3;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;3;2;[0.,0.,1.,0.,0.]
4;0;2;[0.,0.,1.,0.,0.]
4;3;2;[0.,0.,1.,0.,0.]
5;0;2;[0.,0.,1.,0.,0.]
5;2;2;[0.,0.,1.,0.,0.]
2;3;2;[0.,0.,1.,0.,0.]
3;1;2;[0.,0.,1.,0.,0.]
4;3;2;[0.,0.,1.,0.,0.]
5;1;2;[0.,0.,1.,0.,0.]
6;3;2;[0.,0.,1.,0.,0.]
7;3;2;[0.,0.,1.,0.,0.]
