prefix_length;ground_truth;predicted;prediction_probs
2;0;0;[0.9580379 ,0.02343601,0.00233325,0.0108886 ,0.00530421]
2;0;0;[0.96147764,0.02063502,0.00190978,0.01084498,0.00513265]
2;0;0;[0.93640834,0.0411294 ,0.00533812,0.0110752 ,0.00604889]
2;1;1;[0.00549099,0.48528454,0.05720896,0.44988087,0.00213456]
3;1;1;[0.0023206 ,0.48012453,0.03571687,0.47924754,0.00259046]
4;3;3;[0.00189466,0.4774541 ,0.01688301,0.49924445,0.00452379]
5;0;0;[8.3062345e-01,2.5619182e-03,7.9633937e-06,7.8175006e-05,1.6672856e-01]
2;1;1;[0.00541408,0.6232608 ,0.147754  ,0.22119072,0.00238035]
3;3;1;[0.00358716,0.61556184,0.18062177,0.19906285,0.00116639]
4;0;0;[9.3025333e-01,1.9270821e-03,1.2023067e-04,4.7845076e-04,6.7220762e-02]
2;0;0;[0.9461238 ,0.03312653,0.00397824,0.0109951 ,0.00577635]
2;1;1;[6.4377085e-04,9.6228582e-01,3.5666257e-02,1.3749393e-03,2.9305709e-05]
3;1;1;[2.9937124e-03,4.2936540e-01,2.0113263e-01,3.6642706e-01,8.1213831e-05]
4;1;1;[1.9376266e-03,6.2732154e-01,9.6081652e-02,2.7455851e-01,1.0068699e-04]
5;1;3;[1.5205193e-03,3.3004707e-01,2.3077114e-01,4.3756744e-01,9.3790033e-05]
6;1;1;[8.6057419e-04,4.2703107e-01,1.7007560e-01,4.0186459e-01,1.6810311e-04]
7;2;3;[8.8860304e-04,4.1126755e-01,1.0954369e-01,4.7808665e-01,2.1349436e-04]
8;1;1;[1.7212661e-03,9.6405178e-01,3.0813944e-02,3.2940614e-03,1.1895586e-04]
9;1;1;[8.5996377e-04,7.8547746e-01,1.0637013e-01,1.0724814e-01,4.4315060e-05]
10;1;1;[6.53962314e-04,7.09973395e-01,1.17124684e-01,1.72215924e-01,3.19970022e-05]
11;1;1;[9.8354870e-04,5.2603769e-01,1.9346166e-01,2.7946278e-01,5.4291599e-05]
12;2;1;[5.7729147e-04,6.7847967e-01,1.4389241e-01,1.7699710e-01,5.3481977e-05]
13;1;1;[1.3639234e-03,9.4090086e-01,4.3146744e-02,1.4490664e-02,9.7763761e-05]
14;1;1;[7.4560288e-04,6.0939628e-01,1.4050518e-01,2.4931072e-01,4.2130079e-05]
15;3;1;[7.9099403e-04,4.8881632e-01,1.9056031e-01,3.1979015e-01,4.2170552e-05]
16;0;0;[0.8650554 ,0.12277571,0.00420068,0.0030307 ,0.00493755]
2;3;1;[4.0960699e-04,9.3411106e-01,1.1671590e-02,5.3602196e-02,2.0558841e-04]
3;0;0;[0.73292553,0.24546376,0.00164715,0.00225733,0.01770624]
2;0;0;[0.9544826 ,0.02633393,0.00279549,0.01092428,0.00546359]
2;0;0;[0.94518673,0.03389789,0.00410304,0.01100548,0.00580691]
2;0;0;[0.9540875 ,0.02665576,0.00284861,0.01092781,0.00548036]
2;1;1;[0.00529691,0.47999892,0.05057145,0.46213153,0.00200123]
3;1;1;[0.00259963,0.5862247 ,0.16541177,0.24337329,0.00239062]
4;3;1;[0.00228765,0.564657  ,0.01873703,0.41134536,0.00297302]
5;0;0;[8.3458793e-01,1.4094273e-03,2.0117133e-05,2.1210243e-04,1.6377045e-01]
2;0;0;[0.9654129 ,0.01745327,0.00147043,0.01075946,0.00490395]
2;3;1;[0.00615527,0.5498829 ,0.13834818,0.303024  ,0.00258974]
3;0;0;[9.3451273e-01,1.0025838e-03,1.5568684e-04,6.7699840e-04,6.3651882e-02]
2;1;1;[0.00537769,0.6116652 ,0.1042183 ,0.27586544,0.00287338]
3;1;1;[0.00286088,0.5858341 ,0.08215339,0.32770592,0.00144567]
4;3;1;[0.00236971,0.7090069 ,0.07894629,0.20799716,0.00167992]
5;0;0;[9.3844134e-01,2.1920106e-03,2.9513528e-04,7.1995374e-04,5.8351558e-02]
2;1;1;[1.0140447e-03,8.9472538e-01,1.0263145e-01,1.5890558e-03,4.0112551e-05]
3;2;1;[7.1648991e-04,8.7382591e-01,1.0241969e-01,2.3007451e-02,3.0502351e-05]
4;1;1;[7.8821077e-04,9.1319078e-01,8.4155068e-02,1.8388934e-03,2.7048520e-05]
5;3;1;[2.0689056e-03,5.4388821e-01,1.8934411e-01,2.6464567e-01,5.3035550e-05]
6;0;0;[0.94253665,0.04164629,0.00099742,0.01354274,0.001277  ]
2;0;0;[0.9572652 ,0.02406642,0.00243163,0.01089649,0.00534029]
2;3;3;[0.00501943,0.46591678,0.04047312,0.4867911 ,0.00179967]
3;0;0;[8.5268903e-01,2.0317887e-03,2.7646570e-04,3.2656279e-04,1.4467628e-01]
2;0;0;[0.853833  ,0.11636414,0.01672707,0.00919518,0.00388057]
2;0;0;[0.9119105 ,0.06067995,0.00947595,0.01183968,0.00609394]
2;0;0;[0.96046156,0.02146183,0.0020315 ,0.01085995,0.00518514]
2;1;1;[7.7087595e-04,9.4334620e-01,5.4418217e-02,1.4314724e-03,3.3230637e-05]
3;1;1;[2.9557748e-03,4.2779756e-01,1.8491313e-01,3.8423821e-01,9.5401068e-05]
4;2;1;[2.2595648e-03,6.6604149e-01,5.1202018e-02,2.8038317e-01,1.1374111e-04]
5;1;1;[2.04648543e-03,8.67466390e-01,1.23704754e-01,6.66569034e-03,1.16598276e-04]
6;1;1;[1.0495997e-03,6.0134077e-01,3.0365780e-01,9.3935117e-02,1.6680133e-05]
7;1;1;[7.7662728e-04,6.3284886e-01,2.3401546e-01,1.3233593e-01,2.3064325e-05]
8;2;2;[8.1119064e-04,4.3690151e-01,4.4383886e-01,1.1843195e-01,1.6488466e-05]
9;1;1;[7.1216776e-04,8.8098300e-01,1.1477433e-01,3.5181444e-03,1.2420527e-05]
10;1;1;[6.4739538e-04,5.6146872e-01,3.4796354e-01,8.9909062e-02,1.1256607e-05]
11;3;2;[5.9377134e-04,2.4799104e-01,6.0472625e-01,1.4668112e-01,7.8266885e-06]
12;0;0;[0.9413124 ,0.04629633,0.00292784,0.00597328,0.00349016]
2;0;0;[0.842807  ,0.12520583,0.01823464,0.00982594,0.00392663]
2;0;0;[0.7301758 ,0.21566832,0.03311702,0.01639054,0.00464838]
2;1;1;[6.3004327e-04,9.6745032e-01,3.0399088e-02,1.4908367e-03,2.9789662e-05]
3;2;1;[2.9106005e-03,4.7523701e-01,1.8580973e-01,3.3596304e-01,7.9652811e-05]
4;1;1;[7.4047496e-04,8.9575315e-01,9.9572457e-02,3.8905230e-03,4.3449585e-05]
5;1;1;[1.4265953e-03,5.7895207e-01,2.4585982e-01,1.7371421e-01,4.7321682e-05]
6;1;2;[9.6396630e-04,2.9238367e-01,3.7152895e-01,3.3510455e-01,1.8880815e-05]
7;3;1;[9.7855879e-04,3.4817314e-01,3.1870145e-01,3.3209950e-01,4.7278758e-05]
8;0;0;[9.9203062e-01,3.1427750e-03,6.4239604e-04,2.7082560e-03,1.4760483e-03]
2;0;0;[0.9523226 ,0.02809186,0.00309003,0.01094244,0.00555314]
2;1;1;[0.00163107,0.63650453,0.35361835,0.00341425,0.00483182]
3;3;1;[3.9063842e-04,9.3739867e-01,2.9975820e-02,3.1963799e-02,2.7110821e-04]
4;0;0;[0.65614665,0.21974856,0.00627276,0.00620755,0.11162444]
2;2;1;[6.0735788e-04,9.1162664e-01,4.1353010e-02,4.6252973e-02,1.5991795e-04]
3;1;1;[2.9626436e-04,9.5238447e-01,4.6538338e-02,7.4205478e-04,3.8909260e-05]
4;3;1;[9.9174469e-04,6.9898415e-01,1.6342668e-01,1.3652012e-01,7.7292156e-05]
5;0;0;[0.4875729 ,0.47946477,0.02071314,0.01081805,0.00143115]
2;3;1;[0.00544434,0.616375  ,0.15366752,0.22215074,0.00236238]
3;0;0;[9.5959646e-01,7.5967785e-04,1.3088637e-04,8.9158316e-04,3.8621373e-02]
2;0;0;[0.94876486,0.03098083,0.00359624,0.01096935,0.00568882]
2;0;0;[0.80383366,0.15246324,0.02334026,0.01449638,0.0058665 ]
2;3;1;[0.00618939,0.5195264 ,0.10558649,0.3660977 ,0.0026    ]
3;1;0;[9.3628049e-01,6.3574570e-03,1.1828894e-03,5.0288817e-04,5.5676207e-02]
4;3;2;[0.03315241,0.39734763,0.41917273,0.14702019,0.00330705]
5;0;0;[9.6837538e-01,1.1211624e-02,3.8802522e-04,2.3681885e-03,1.7656831e-02]
2;0;0;[0.7411707 ,0.20697789,0.03083871,0.01590593,0.00510678]
2;3;3;[0.00484263,0.43492943,0.02587305,0.53274536,0.00160957]
3;0;0;[8.2288128e-01,1.1296514e-03,9.2656228e-05,3.1013243e-04,1.7558633e-01]
2;0;0;[0.95951104,0.02223565,0.00214801,0.01087237,0.00523287]
2;0;0;[0.9166528 ,0.05685088,0.00871218,0.01167871,0.00610548]
2;1;1;[7.9966761e-04,9.3904752e-01,5.8665745e-02,1.4530539e-03,3.4052428e-05]
3;1;1;[9.0344594e-04,8.7647194e-01,8.9048065e-02,3.3534497e-02,4.2028798e-05]
4;2;1;[5.9441640e-04,7.6325858e-01,1.8678029e-01,4.9334306e-02,3.2380744e-05]
5;1;1;[8.3756587e-04,9.4015855e-01,5.7360128e-02,1.5918660e-03,5.1845469e-05]
6;1;1;[1.3186455e-03,6.5153891e-01,2.2253774e-01,1.2455335e-01,5.1270155e-05]
7;1;2;[1.0642714e-03,3.8215357e-01,4.3418923e-01,1.8255083e-01,4.2088755e-05]
8;1;1;[9.5995673e-04,4.4357926e-01,3.8854101e-01,1.6684331e-01,7.6419477e-05]
9;1;1;[6.7521445e-04,5.1304626e-01,3.5933921e-01,1.2688281e-01,5.6526438e-05]
10;3;1;[6.5275177e-04,5.5538905e-01,3.3349362e-01,1.1041680e-01,4.7790847e-05]
11;0;0;[9.9193746e-01,2.3302231e-03,1.8169994e-04,4.0367218e-03,1.5139142e-03]
2;2;1;[0.00536109,0.6351499 ,0.13350779,0.22357395,0.00240737]
3;1;1;[7.2612957e-04,9.3485391e-01,6.3404061e-02,8.9407712e-04,1.2177198e-04]
4;3;1;[6.60454738e-04,8.46853912e-01,1.12400465e-01,4.00467291e-02,3.84329178e-05]
5;0;1;[2.3487809e-01,6.6186798e-01,8.9148112e-02,1.3484735e-02,6.2110089e-04]
2;0;0;[0.95189285,0.02844127,0.00314984,0.01094574,0.00557036]
2;0;0;[0.9155074 ,0.05777658,0.00889589,0.01171815,0.0061021 ]
2;1;1;[7.9824758e-04,9.3926233e-01,5.8453362e-02,1.4520121e-03,3.4012697e-05]
3;3;1;[2.9219829e-03,4.4028410e-01,1.8433572e-01,3.7236130e-01,9.6932585e-05]
4;0;0;[0.9179938 ,0.07003313,0.00261862,0.0064809 ,0.00287357]
2;2;1;[0.0051408 ,0.4749271 ,0.04558703,0.47244713,0.0018979 ]
3;1;1;[5.0572655e-04,9.7519386e-01,2.3170263e-02,9.8057429e-04,1.4962821e-04]
4;2;1;[7.6507544e-04,7.3143083e-01,1.8509240e-01,8.2668625e-02,4.3190110e-05]
5;1;1;[3.5653258e-04,9.5768654e-01,3.5825670e-02,6.1127637e-03,1.8530503e-05]
6;1;1;[4.05901112e-04,7.27970839e-01,1.50101125e-01,1.21507019e-01,1.52293505e-05]
7;3;1;[3.0829312e-04,6.7732000e-01,1.6708176e-01,1.5527183e-01,1.8178100e-05]
8;0;0;[0.87028414,0.07430398,0.0020235 ,0.04875528,0.00463311]
2;1;1;[6.4978126e-04,9.6087611e-01,3.7080072e-02,1.3646322e-03,2.9334364e-05]
3;1;1;[1.0687876e-03,8.6419874e-01,8.8625900e-02,4.6060935e-02,4.5484860e-05]
4;1;1;[5.8367755e-04,7.8838009e-01,1.5456897e-01,5.6434967e-02,3.2229556e-05]
5;3;3;[1.3358946e-03,3.2358873e-01,1.1628773e-01,5.5866814e-01,1.1947978e-04]
6;0;0;[9.9546671e-01,2.5571161e-03,7.6079290e-05,4.6305222e-04,1.4370615e-03]
2;0;0;[0.7650602 ,0.18735698,0.02893403,0.01445271,0.00419605]
2;0;0;[0.75422114,0.19615498,0.03027338,0.01511922,0.00423125]
2;0;0;[0.95491356,0.02598296,0.00273798,0.01092032,0.00544511]
2;1;1;[6.3331594e-04,9.6584678e-01,3.2046683e-02,1.4437488e-03,2.9633155e-05]
3;1;1;[2.9112413e-03,4.8360875e-01,1.9321151e-01,3.2018965e-01,7.8880010e-05]
4;1;3;[1.6978715e-03,3.6507523e-01,2.5939947e-01,3.7374753e-01,7.9872603e-05]
5;3;1;[9.3428476e-04,5.2319717e-01,1.8417953e-01,2.9156190e-01,1.2708362e-04]
6;0;0;[9.8616797e-01,9.3367966e-03,6.8828446e-04,6.3574611e-04,3.1712095e-03]
2;3;1;[0.00536472,0.63402814,0.13507509,0.22312994,0.00240216]
3;0;0;[0.9293214 ,0.01006657,0.00323388,0.00152934,0.0558488 ]
2;3;1;[0.005444  ,0.6166313 ,0.15352263,0.22203946,0.00236252]
3;0;0;[9.5980883e-01,7.5097563e-04,1.2882965e-04,8.9280971e-04,3.8418610e-02]
2;3;1;[0.00547038,0.60774577,0.15792   ,0.2265224 ,0.0023414 ]
3;0;0;[0.90725464,0.00716293,0.00183746,0.00107839,0.0826667 ]
2;0;0;[0.9444385 ,0.03451379,0.00420342,0.01101343,0.00583086]
2;0;0;[0.9353336 ,0.04198705,0.00552125,0.01110023,0.00605782]
2;1;1;[0.0062423 ,0.5391512 ,0.13146295,0.32052585,0.0026177 ]
3;3;3;[0.00299864,0.41934872,0.02236047,0.5534402 ,0.00185205]
4;0;0;[9.2496985e-01,7.9228979e-04,6.0358321e-05,1.5708042e-04,7.4020453e-02]
2;1;1;[6.0893287e-04,9.7290695e-01,2.4744257e-02,1.7092731e-03,3.0603831e-05]
3;3;1;[1.4979966e-03,7.8723460e-01,1.0235160e-01,1.0885330e-01,6.2546242e-05]
4;0;0;[0.8836225 ,0.09411445,0.00185908,0.01879934,0.00160456]
2;1;1;[7.9629821e-04,9.3955678e-01,5.8162317e-02,1.4505797e-03,3.3958135e-05]
3;1;1;[5.4818660e-04,9.0984035e-01,6.7212179e-02,2.2371881e-02,2.7450451e-05]
4;3;1;[3.7695456e-04,8.7696743e-01,9.4955564e-02,2.7678508e-02,2.1510898e-05]
5;1;0;[0.711381  ,0.2530217 ,0.00859567,0.00486851,0.02213302]
6;3;1;[2.9017336e-03,6.5311837e-01,1.4990878e-01,1.9376041e-01,3.1064329e-04]
7;0;0;[0.8767413 ,0.0876195 ,0.00088476,0.02854944,0.00620504]
2;1;1;[1.3497639e-03,8.5879850e-01,1.3781048e-01,1.9924832e-03,4.8834023e-05]
3;2;1;[7.7349955e-04,8.1482273e-01,1.5591499e-01,2.8450157e-02,3.8706159e-05]
4;1;1;[6.3793553e-04,9.1217625e-01,8.5503966e-02,1.6470257e-03,3.4751309e-05]
5;2;1;[1.1675736e-03,6.7207199e-01,2.7744627e-01,4.9294844e-02,1.9321717e-05]
6;1;1;[9.4155018e-04,8.8713646e-01,1.0844850e-01,3.4560761e-03,1.7408580e-05]
7;1;1;[1.0291549e-03,7.1703774e-01,2.1424396e-01,6.7671902e-02,1.7255543e-05]
8;3;1;[9.0022618e-04,4.1581205e-01,3.2461518e-01,2.5865224e-01,2.0358852e-05]
9;0;0;[9.7185528e-01,1.9811312e-02,9.6703053e-04,3.4383850e-03,3.9279531e-03]
2;0;0;[0.96416414,0.01846141,0.00160501,0.01078936,0.00498005]
2;1;1;[6.2881410e-04,9.6801591e-01,2.9817022e-02,1.5084351e-03,2.9841547e-05]
3;2;1;[1.0589380e-03,8.6079204e-01,8.3736196e-02,5.4363821e-02,4.8990438e-05]
4;1;1;[4.2774444e-04,9.5440555e-01,4.3297634e-02,1.8434211e-03,2.5573663e-05]
5;2;3;[1.8193658e-03,3.8661551e-01,1.4667204e-01,4.6484265e-01,5.0413066e-05]
6;1;1;[9.9365087e-04,9.3653566e-01,5.1995210e-02,1.0435362e-02,4.0153671e-05]
7;1;1;[1.5394161e-03,4.4653755e-01,1.4222400e-01,4.0966117e-01,3.7921291e-05]
8;2;3;[1.1462717e-03,4.2837870e-01,1.2564729e-01,4.4479832e-01,2.9433622e-05]
9;1;1;[2.1650989e-03,9.3529016e-01,4.8886921e-02,1.3608780e-02,4.9113558e-05]
10;2;3;[1.4374271e-03,3.4908903e-01,1.7588559e-01,4.7354984e-01,3.8075330e-05]
