prefix_length;ground_truth;predicted;prediction_probs
1;2;2;[0.00721941,0.0046506 ,0.9371253 ,0.00463433,0.04637023]
1;2;2;[0.00693017,0.00378683,0.94461   ,0.00507457,0.03959846]
1;2;2;[0.00791795,0.01049571,0.89514613,0.00307513,0.08336501]
2;4;4;[0.35027167,0.087761  ,0.00081625,0.00067258,0.5604785 ]
3;4;4;[4.4122717e-01,5.2949544e-02,1.9639073e-04,1.7022967e-04,5.0545663e-01]
4;0;0;[5.8159578e-01,3.1109445e-02,8.1552498e-05,6.8797945e-04,3.8652524e-01]
4;2;2;[5.3355619e-05,1.3685272e-04,9.9240088e-01,5.2962583e-03,2.1126803e-03]
2;4;4;[0.17392328,0.15306655,0.00180126,0.00085274,0.67035615]
3;0;4;[1.7949827e-01,1.6788919e-01,6.0708763e-04,8.4222658e-05,6.5192121e-01]
3;2;2;[0.00237882,0.00114807,0.9726064 ,0.00260062,0.02126608]
1;2;2;[0.00777395,0.00779552,0.91361666,0.00367613,0.06713776]
2;4;4;[3.9145984e-03,3.1486616e-02,8.9467625e-04,4.7710461e-07,9.6370357e-01]
3;4;0;[4.4791976e-01,1.3417506e-01,6.5823487e-04,6.3402297e-07,4.1724631e-01]
4;4;4;[2.9832137e-01,8.6258791e-02,1.6378150e-03,1.5437296e-06,6.1378050e-01]
5;4;0;[5.3594238e-01,1.4837682e-01,1.2981010e-03,3.7630457e-06,3.1437889e-01]
6;4;4;[3.3802286e-01,1.5171655e-01,3.9198756e-04,3.5175219e-06,5.0986511e-01]
7;1;0;[4.4066387e-01,1.2130810e-01,3.1320823e-04,4.5928646e-06,4.3771020e-01]
8;4;4;[6.5339375e-03,4.4256579e-02,3.9836109e-04,9.4606958e-07,9.4881016e-01]
9;4;4;[1.4690599e-01,1.3088854e-01,1.7454191e-04,1.2455095e-06,7.2202975e-01]
10;4;4;[1.6769587e-01,2.0463184e-01,1.1165704e-03,2.2645638e-06,6.2655348e-01]
11;4;4;[1.7339191e-01,3.0093068e-01,1.1470580e-03,2.0431596e-06,5.2452832e-01]
12;1;4;[1.6968299e-01,2.8412300e-01,8.6678512e-04,2.0770963e-06,5.4532516e-01]
13;4;4;[1.8363640e-02,4.8077494e-02,2.1775505e-03,1.6237135e-06,9.3137968e-01]
14;4;4;[2.3728593e-01,2.7191517e-01,5.2234565e-04,5.5507076e-07,4.9027595e-01]
15;0;4;[2.9312328e-01,2.9309562e-01,9.4145251e-04,1.3494413e-06,4.1283831e-01]
15;2;2;[4.1553448e-03,4.6819355e-03,9.2653143e-01,2.7855885e-05,6.4603403e-02]
2;0;4;[9.0267792e-02,2.9241661e-02,7.2634959e-04,5.6276818e-05,8.7970793e-01]
2;2;2;[1.8569287e-03,3.7614803e-03,7.9999185e-01,5.7544198e-04,1.9381432e-01]
1;2;2;[0.00744964,0.00557149,0.92982006,0.00428979,0.05286907]
1;2;2;[0.00779678,0.00805612,0.91183627,0.00361479,0.06869604]
1;2;2;[0.00747332,0.0056765 ,0.9290027 ,0.00425643,0.05359109]
2;4;4;[0.36951378,0.07504624,0.00076482,0.00060289,0.55407226]
3;4;4;[2.7323774e-01,1.6540825e-01,2.8147962e-04,2.0398085e-04,5.6086856e-01]
4;0;4;[4.5874843e-01,5.4143533e-02,1.5535906e-04,3.3282154e-04,4.8661986e-01]
4;2;2;[0.00259077,0.00154592,0.8931358 ,0.08034372,0.02238383]
1;2;2;[0.0065761 ,0.00289378,0.9526746 ,0.00575393,0.03210162]
2;0;4;[0.25250936,0.15136366,0.00137937,0.00132504,0.59342253]
2;2;2;[0.00264054,0.00180573,0.936039  ,0.03955955,0.01995526]
2;4;4;[0.15970773,0.12703174,0.00196156,0.0008959 ,0.710403  ]
3;4;4;[3.8084668e-01,7.3375970e-02,5.2379444e-04,6.8297013e-05,5.4518521e-01]
4;0;4;[2.2974555e-01,9.4689004e-02,3.8773721e-04,9.3105788e-05,6.7508459e-01]
4;2;2;[0.00226879,0.00108575,0.97659165,0.00549455,0.01455929]
2;4;4;[3.4267751e-03,6.6278748e-02,1.2528264e-03,5.7088977e-07,9.2904103e-01]
3;1;4;[3.5750024e-02,1.3739623e-01,4.2629844e-04,2.1119065e-07,8.2642722e-01]
4;4;4;[4.2985301e-03,6.1049204e-02,6.2434271e-04,4.8613650e-08,9.3402785e-01]
5;0;4;[3.3459872e-01,1.9987160e-01,6.0712342e-04,9.2669758e-08,4.6492252e-01]
5;2;2;[1.0906300e-02,4.0640249e-03,9.1663247e-01,1.1515536e-06,6.8395898e-02]
1;2;2;[0.00727185,0.0048458 ,0.93554854,0.00455304,0.04778078]
2;0;4;[4.0092325e-01,5.7015270e-02,6.9354795e-04,5.0306751e-04,5.4086488e-01]
2;2;2;[0.00356943,0.00595499,0.88819826,0.05773614,0.04454122]
1;2;2;[7.3468070e-03,3.0918339e-02,7.6719612e-01,4.8639724e-04,1.9405238e-01]
1;2;2;[0.00803004,0.02073836,0.82590866,0.00174078,0.14358214]
1;2;2;[0.00701495,0.00403508,0.94241506,0.00492504,0.0416099 ]
2;4;4;[3.3153191e-03,4.1651111e-02,1.0517576e-03,3.9831281e-07,9.5398146e-01]
3;4;0;[4.5462853e-01,1.3568063e-01,5.8674975e-04,5.7350076e-07,4.0910351e-01]
4;1;4;[3.3694065e-01,6.9322206e-02,1.3342919e-03,2.3393809e-06,5.9240055e-01]
5;4;4;[1.3432216e-02,4.6533894e-02,2.8298867e-03,1.7667497e-06,9.3720227e-01]
6;4;4;[1.24278545e-01,2.24081621e-01,5.55784325e-04,5.09470397e-07,6.51083529e-01]
7;4;4;[2.4199340e-01,1.5292645e-01,2.6203594e-03,2.1234557e-06,6.0245770e-01]
8;1;4;[1.5168080e-01,3.2481286e-01,2.2123873e-03,2.6709702e-06,5.2129132e-01]
9;4;4;[1.2035371e-02,3.6912587e-02,1.1382053e-03,6.8232526e-07,9.4991314e-01]
10;4;4;[9.9401832e-02,1.9014657e-01,1.4866322e-03,8.1505664e-07,7.0896411e-01]
11;0;4;[2.8993496e-01,2.5718632e-01,2.1540485e-03,1.1668809e-06,4.5072344e-01]
11;2;2;[9.1626551e-03,5.0725928e-03,9.4049501e-01,3.9650444e-05,4.5230098e-02]
1;2;2;[7.3024225e-03,3.1404313e-02,7.6401269e-01,4.6833925e-04,1.9681230e-01]
1;2;2;[7.8800907e-03,3.9986089e-02,7.2229385e-01,4.3544851e-04,2.2940455e-01]
2;4;4;[4.7230185e-03,2.8952694e-02,8.5718854e-04,6.8589759e-07,9.6546638e-01]
3;1;4;[4.2838585e-01,1.3307303e-01,7.1359164e-04,8.2267195e-07,4.3782675e-01]
4;4;4;[1.9088488e-02,7.1467176e-02,8.4396912e-04,2.3723298e-07,9.0860015e-01]
5;4;4;[3.0516765e-01,1.2604128e-01,1.5389244e-04,7.2852362e-07,5.6863648e-01]
6;4;0;[5.1883101e-01,2.1274771e-01,1.0629327e-03,2.0453674e-06,2.6735634e-01]
7;0;0;[3.8085362e-01,3.0725834e-01,9.0535829e-04,1.3350990e-06,3.1098136e-01]
7;2;2;[9.2025399e-03,2.0513288e-03,9.6876627e-01,4.6044152e-05,1.9933769e-02]
1;2;2;[0.00757782,0.00614601,0.92537105,0.0041178 ,0.05678738]
2;4;4;[0.00750878,0.27324176,0.00440637,0.00126328,0.71357983]
3;0;4;[4.8542637e-02,3.2931816e-02,2.9037561e-04,3.5535177e-06,9.1823167e-01]
3;2;2;[0.01671018,0.00626726,0.75216854,0.0170817 ,0.20777227]
2;1;4;[9.2831142e-02,7.1928978e-02,1.1128323e-03,1.1131248e-04,8.3401573e-01]
3;4;4;[5.9288563e-03,6.6687524e-02,4.0022322e-04,1.1086241e-06,9.2698222e-01]
4;0;4;[2.1626601e-01,2.3945558e-01,4.1774250e-04,1.7119128e-06,5.4385889e-01]
4;2;4;[1.4481895e-02,4.7101840e-02,3.4564531e-01,1.2477673e-05,5.9275848e-01]
2;0;4;[0.18262786,0.15645371,0.00174813,0.00087881,0.65829146]
