prefix_length;ground_truth;predicted;prediction_probs
2;3;3;[3.1661833e-04,1.8023144e-02,6.4956825e-03,9.3752927e-01,3.7635226e-02]
2;3;3;[2.8787067e-04,1.8264554e-02,6.0629384e-03,9.4036734e-01,3.5017256e-02]
2;3;3;[4.8207602e-04,1.6939269e-02,8.7680118e-03,9.2227656e-01,5.1534019e-02]
2;4;4;[0.00067583,0.33119765,0.08296252,0.00326216,0.58190185]
3;4;4;[2.4284932e-04,4.0606421e-01,5.1377092e-02,2.8834618e-03,5.3943241e-01]
4;1;4;[1.9815184e-04,4.0506342e-01,5.3405449e-02,3.4007581e-03,5.3793216e-01]
5;3;3;[9.5914038e-05,5.5800863e-03,2.3385931e-03,9.5580041e-01,3.6184944e-02]
2;4;4;[0.0022626 ,0.16631182,0.18015087,0.00400017,0.64727455]
3;1;4;[0.0009373 ,0.18310542,0.09280276,0.0020988 ,0.72105575]
4;3;3;[2.0134207e-04,9.2482306e-03,4.7723362e-03,9.5554018e-01,3.0237937e-02]
2;3;3;[4.0890288e-04,1.7383425e-02,7.8133764e-03,9.2877370e-01,4.5620576e-02]
2;4;4;[5.5453874e-04,3.7900005e-03,4.4949546e-02,1.3117009e-03,9.4939423e-01]
3;4;4;[3.9988890e-04,2.4633224e-01,1.4022492e-01,1.4228873e-03,6.1162007e-01]
4;4;4;[4.90677659e-04,1.93424478e-01,1.13563396e-01,2.75100372e-03,6.89770520e-01]
5;4;1;[3.8730359e-04,4.5117897e-01,9.9123329e-02,4.0263315e-03,4.4528407e-01]
6;4;4;[3.1524099e-04,3.2314003e-01,9.3371198e-02,3.3529398e-03,5.7982057e-01]
7;2;4;[3.0157896e-04,3.1638598e-01,9.3420461e-02,3.3607553e-03,5.8653128e-01]
8;4;4;[1.9836146e-04,1.3745438e-02,4.7607981e-02,6.5149176e-03,9.3193322e-01]
9;4;4;[2.6603340e-04,8.7492704e-02,1.6814543e-01,2.3763590e-03,7.4171942e-01]
10;4;4;[3.4416519e-04,1.1282247e-01,1.6466080e-01,4.1368748e-03,7.1803564e-01]
11;4;4;[3.7315011e-04,1.1866520e-01,1.6170989e-01,4.6547712e-03,7.1459699e-01]
12;2;4;[3.6332977e-04,1.3083908e-01,1.5659219e-01,4.3335184e-03,7.0787191e-01]
13;4;4;[2.1400745e-04,2.5997706e-02,6.8473868e-02,4.9934308e-03,9.0032101e-01]
14;4;4;[2.0655255e-04,1.6650824e-01,1.5300377e-01,2.4868813e-03,6.7779452e-01]
15;1;4;[2.2851327e-04,2.0019288e-01,1.3007708e-01,3.5366390e-03,6.6596484e-01]
16;3;3;[3.1638119e-04,1.8117882e-02,1.8558664e-02,7.6152170e-01,2.0148531e-01]
2;1;1;[0.00058103,0.5128146 ,0.19508213,0.00372497,0.28779724]
3;3;3;[2.1284856e-04,1.3183283e-02,7.1072434e-03,9.5231545e-01,2.7181091e-02]
2;3;3;[3.4519957e-04,1.7803879e-02,6.9149067e-03,9.3476021e-01,4.0175840e-02]
2;3;3;[4.1585011e-04,1.7334605e-02,7.9085287e-03,9.2814201e-01,4.6198893e-02]
2;3;3;[3.4832745e-04,1.7780995e-02,6.9601908e-03,9.3445933e-01,4.0451169e-02]
2;4;4;[0.00061174,0.35348186,0.07717618,0.00329834,0.56543195]
3;4;4;[4.3687996e-04,2.2308604e-01,6.8839341e-02,2.7400996e-03,7.0489770e-01]
4;1;4;[2.9211873e-04,3.7819415e-01,5.9679341e-02,3.3208672e-03,5.5851352e-01]
5;3;3;[5.9227845e-05,6.1300821e-03,2.0872729e-03,9.7414058e-01,1.7582839e-02]
2;3;3;[2.5426797e-04,1.8578621e-02,5.5413302e-03,9.4375271e-01,3.1873159e-02]
2;1;4;[0.00146449,0.21290247,0.13661158,0.00360465,0.64541686]
3;3;3;[2.0355532e-04,9.5769009e-03,4.5884042e-03,9.5438057e-01,3.1250671e-02]
2;4;4;[0.00272912,0.14255305,0.2020845 ,0.00425629,0.648377  ]
3;4;4;[0.0006094 ,0.36160636,0.06920786,0.00259935,0.56597704]
