prefix_length;ground_truth;predicted;prediction_probs
2;5;12;[2.66954978e-03,8.63590220e-04,8.55839928e-04,6.19090686e-04,1.05460975e-04,1.62348468e-02,1.24566490e-03,9.73341404e-04,2.22256452e-01,4.39900614e-04,1.07048161e-03,1.94867502e-03,7.49628365e-01,6.63962855e-04,4.24825761e-04]
3;12;8;[1.8485279e-03,1.6762310e-04,8.9356664e-04,7.0656609e-04,8.7472421e-05,7.8251861e-02,4.2126742e-03,3.1852534e-03,5.4458201e-01,3.3945378e-04,1.2872901e-03,2.1993292e-03,3.5826895e-01,3.6127187e-04,3.6081572e-03]
4;1;1;[1.4803055e-03,9.2508340e-01,2.3078820e-04,1.6504027e-04,5.3320196e-04,1.5891071e-02,3.6426221e-07,1.1051880e-04,1.3842956e-02,4.5789355e-05,2.0900942e-04,5.1884109e-04,4.1508645e-02,2.5819681e-04,1.2201182e-04]
5;13;13;[4.73338832e-06,1.20157921e-07,4.58363252e-12,3.22988558e-06,9.93801264e-10,1.54401596e-06,1.38262984e-10,1.92118849e-10,1.17386063e-03,1.16892095e-11,3.65765072e-06,2.95558721e-07,3.11800454e-06,9.98809338e-01,6.66736568e-08]
2;6;5;[0.00179443,0.00629732,0.00098562,0.00098524,0.0030755 ,0.86784446,0.05726035,0.00376207,0.01041434,0.00116423,0.00109717,0.00254581,0.03882756,0.00258602,0.00136   ]
3;5;5;[0.01370742,0.00967403,0.00331621,0.00400556,0.00326716,0.7332981 ,0.03519409,0.01183243,0.0293199 ,0.00846777,0.00722409,0.00397832,0.11660935,0.00418543,0.01592011]
4;12;8;[1.1552612e-02,2.7864643e-03,3.4018892e-03,6.4375764e-03,3.5064088e-04,5.3634677e-02,2.0008782e-02,1.6319260e-02,5.7410693e-01,3.8199218e-03,1.7992565e-02,4.6342504e-03,2.6726225e-01,5.1428430e-04,1.7177982e-02]
5;1;1;[5.2266085e-04,9.4889784e-01,8.7731576e-05,9.9885598e-05,5.2857649e-04,1.1196957e-02,4.0187381e-08,1.4546829e-04,1.4955979e-03,1.8129418e-05,2.3790127e-04,3.3867967e-04,3.6010448e-02,3.5156141e-04,6.8468667e-05]
6;13;13;[5.3409744e-06,4.4101103e-08,6.5687728e-13,7.6046481e-06,9.9588582e-10,1.2334677e-07,1.2958598e-11,6.6296693e-09,1.8701816e-03,3.8279250e-12,2.3612118e-05,2.5043613e-07,1.3850962e-07,9.9809247e-01,2.2392844e-07]
2;12;12;[5.0704284e-03,2.6014505e-04,2.2271450e-03,1.5363916e-03,8.7479646e-05,1.3537554e-02,9.0119708e-03,1.8787577e-03,1.6500001e-01,9.4508840e-04,1.7419171e-03,3.2349839e-03,7.9334629e-01,5.9360743e-04,1.5282286e-03]
