prefix_length;ground_truth;predicted;prediction_probs
2;10;4;[1.0367504e-03,3.7456353e-05,1.8156804e-01,8.6389773e-04,7.9422939e-01,9.1294054e-04,9.2380587e-04,2.8996675e-03,6.3308078e-04,5.4453086e-04,1.4468481e-02,3.8576638e-04,3.0538903e-04,3.4438539e-04,8.4645674e-04]
3;4;4;[2.1881696e-03,7.4233547e-05,2.3019248e-01,4.6422216e-03,5.6803453e-01,3.1487984e-03,4.1568200e-03,6.7594447e-03,4.0694047e-03,1.3834181e-03,1.6435255e-01,1.2998026e-03,3.0181135e-04,1.0907156e-03,8.3054937e-03]
4;6;6;[5.75813348e-04,2.34515574e-05,3.05307168e-03,2.23153518e-04,9.98484790e-02,2.73492915e-04,8.85495067e-01,4.81931551e-04,2.61441834e-04,1.62139055e-04,8.66232347e-03,2.68217176e-04,5.51911653e-04,1.18111995e-04,1.30445869e-06]
5;12;12;[1.0912265e-03,4.8876787e-09,4.3327309e-04,1.6150670e-04,3.7868842e-04,1.4105093e-04,1.5371678e-04,2.4235537e-03,1.9573153e-03,3.6301339e-05,3.9003901e-03,1.7117237e-04,9.8901224e-01,1.3918459e-04,2.8416716e-07]
2;14;10;[1.0992024e-03,6.9931360e-05,4.0038466e-03,1.5273313e-03,2.5152527e-02,1.5529997e-03,1.9441493e-03,2.8508534e-03,1.2690036e-03,9.5422118e-04,8.6601371e-01,2.6797729e-03,7.0028496e-04,1.3144282e-03,8.8867672e-02]
3;10;10;[1.9158045e-02,1.2162627e-04,8.3273195e-02,1.5842000e-02,1.3079344e-01,1.2047810e-02,5.3162407e-04,1.6857849e-02,2.9805860e-02,1.0425967e-02,6.0519266e-01,1.1912007e-02,2.3565202e-03,1.6035270e-02,4.5646232e-02]
4;4;4;[3.5603307e-03,1.8016166e-05,3.8358453e-01,1.0670794e-02,4.7118911e-01,6.0821068e-03,2.0826170e-04,9.6344780e-03,7.1228589e-03,3.5327119e-03,9.1354474e-02,2.9358885e-03,2.4321223e-04,2.8197863e-03,7.0434012e-03]
5;6;6;[1.3389809e-04,1.3546382e-05,1.4123117e-03,4.9211946e-04,3.2817397e-02,3.0538879e-04,9.3372774e-01,4.1652209e-04,3.1230398e-04,1.9785062e-04,2.8453264e-02,6.9202617e-04,9.1641728e-04,1.0635817e-04,2.8725360e-06]
6;12;12;[1.0955855e-02,1.2919993e-08,3.4245732e-04,4.8844004e-04,4.0884526e-04,2.4461464e-04,1.6310954e-04,6.1258315e-03,5.2206526e-03,1.5923951e-04,4.8126266e-04,3.3273027e-04,9.7418165e-01,8.9525903e-04,2.1201187e-08]
2;4;4;[3.0536368e-03,9.5341864e-05,1.4733045e-01,4.3144799e-03,8.0178714e-01,3.3030615e-03,4.1105028e-04,7.1529080e-03,3.3608831e-03,2.4220014e-03,1.6923854e-02,1.6872027e-03,3.7026164e-04,1.4566891e-03,6.3310848e-03]
