prefix_length;ground_truth;predicted;prediction_probs
2;13;5;[6.1973389e-03,4.5533725e-03,6.5885508e-03,4.5584361e-03,1.3862467e-01,7.8848326e-01,1.1775196e-04,3.3725502e-03,2.8071636e-03,4.4859542e-05,6.0233736e-04,2.8820755e-03,1.7812494e-02,1.3826149e-02,9.5289759e-03]
3;5;5;[2.0040877e-02,1.7030803e-02,2.3248607e-02,1.0616505e-02,1.7993373e-01,4.7683397e-01,2.1352834e-04,1.6370695e-02,1.0360658e-02,5.1034691e-05,6.2563259e-04,1.0863604e-02,5.4883525e-02,1.5821913e-01,2.0707639e-02]
4;6;6;[3.5452123e-03,9.0789673e-04,1.5150211e-03,2.8894010e-03,1.9363256e-03,7.2345749e-02,8.8600063e-01,7.5230649e-04,2.3907884e-03,2.3574933e-06,1.3718588e-04,4.3934511e-04,3.4833455e-04,2.6104828e-02,6.8454858e-04]
5;10;10;[7.7133364e-04,3.3968065e-06,7.8118022e-04,2.4463411e-04,1.2489236e-05,6.1287035e-05,3.7474229e-07,7.2424432e-06,3.1341722e-05,3.6126734e-11,9.9801385e-01,1.1874706e-06,2.4861009e-09,7.3741255e-08,7.1688846e-05]
2;12;13;[6.2103355e-03,4.7166646e-03,7.0158467e-03,9.5588323e-03,9.6193254e-03,5.7253014e-02,3.4334760e-03,5.5579469e-03,5.1003071e-03,2.1479998e-04,2.3915148e-03,5.4122587e-03,6.3820072e-02,8.1031626e-01,9.3793534e-03]
3;13;13;[2.4937266e-02,1.1054740e-02,1.7202107e-02,1.5809461e-02,3.3724025e-02,2.4797009e-01,1.3390592e-03,1.4857979e-02,5.7565202e-03,8.1229155e-05,9.4324406e-03,1.4488600e-02,4.5214299e-02,5.2170527e-01,3.6426857e-02]
4;5;5;[1.5678078e-02,7.1867486e-03,1.5872814e-02,1.7641556e-03,2.4273168e-01,6.5119600e-01,1.2982183e-04,7.0161251e-03,2.9711330e-03,7.8466301e-06,4.9523037e-04,9.0720719e-03,2.4183202e-03,2.4630547e-02,1.8829502e-02]
5;6;6;[2.7801313e-03,1.9308916e-04,5.2872562e-04,6.5236521e-04,1.0753485e-03,3.2104366e-02,9.4339311e-01,2.9872655e-04,5.8519479e-04,6.1511281e-07,1.5506067e-04,1.8165968e-04,5.2559732e-05,1.7705671e-02,2.9351941e-04]
6;10;10;[1.0088824e-03,4.1844078e-06,1.8428341e-03,2.1530986e-04,9.4627530e-06,1.8961286e-05,8.6975326e-08,7.1696891e-06,1.6400800e-05,2.4373670e-11,9.9676991e-01,1.4199403e-06,1.5363942e-09,1.4380584e-08,1.0539359e-04]
2;5;5;[4.7330679e-03,3.6933958e-03,6.4194580e-03,2.7322937e-03,1.4013891e-01,8.0404210e-01,6.7159082e-05,2.5336898e-03,2.6814833e-03,3.1406755e-05,4.0066321e-04,2.3309723e-03,1.3678272e-02,1.0846300e-02,5.6707920e-03]
3;6;6;[1.9410976e-03,5.3060282e-04,8.5645163e-04,1.7698377e-03,1.2281002e-03,4.2526897e-02,9.2803913e-01,6.5952545e-04,1.2097973e-03,3.7220530e-06,1.2719871e-04,4.0259582e-04,6.0867070e-04,1.9794555e-02,3.0193635e-04]
4;10;10;[1.00787112e-03,3.71062970e-06,1.52871944e-03,2.08607918e-04,1.11431855e-05,8.32356891e-05,5.49247886e-07,8.93894594e-06,2.67503401e-05,7.64907582e-11,9.97041047e-01,1.66980726e-06,4.32664393e-09,6.51731540e-08,7.76805900e-05]
2;5;5;[6.4691398e-03,7.1531534e-03,1.2546251e-02,4.3967119e-03,1.4718194e-01,7.5311083e-01,3.6633886e-05,4.3773749e-03,4.2257919e-03,2.4764642e-05,3.3327105e-04,3.9023298e-03,3.0697651e-02,1.8166170e-02,7.3780301e-03]
3;6;6;[2.8025410e-03,6.0711277e-04,1.1163941e-03,1.5740393e-03,1.0497760e-03,5.4697976e-02,9.1687262e-01,5.4714276e-04,1.1634332e-03,1.7570849e-06,9.9007921e-05,3.5985067e-04,5.6379964e-04,1.8289758e-02,2.5474367e-04]
4;10;10;[1.5772851e-03,6.1990759e-06,2.9495582e-03,2.8511084e-04,1.4162705e-05,8.9366476e-05,5.1384865e-07,1.0601915e-05,3.3992488e-05,6.1920406e-11,9.9494451e-01,1.7799514e-06,4.7187450e-09,4.6297917e-08,8.6709944e-05]
2;13;5;[4.2731896e-02,4.2259820e-02,7.5357169e-02,6.4668521e-02,2.6987426e-02,2.7815986e-01,6.3775183e-04,4.0595174e-02,2.8407201e-02,2.0305951e-04,1.2203552e-02,4.8019961e-02,4.1238334e-02,1.8538144e-01,1.1314887e-01]
3;5;5;[5.3144381e-03,3.0313537e-03,5.5996757e-03,9.5825794e-04,1.5942062e-01,7.9703963e-01,7.6571778e-05,3.3774797e-03,1.5412362e-03,7.2590828e-06,3.2370735e-04,3.2545617e-03,1.3810551e-03,8.4519368e-03,1.0222232e-02]
4;6;6;[5.2523060e-04,8.7858461e-05,1.4011534e-04,4.0656643e-04,4.9579056e-04,1.4513181e-02,9.7238141e-01,1.6424771e-04,3.2387031e-04,9.4794655e-07,1.1773121e-04,9.2465329e-05,1.9389827e-05,1.0578266e-02,1.5300783e-04]
5;10;10;[3.9424762e-04,3.0430506e-06,8.2992454e-04,1.8024357e-04,5.9435101e-06,9.9212848e-06,5.0583591e-08,6.5052468e-06,1.3866654e-05,3.6402541e-11,9.9846965e-01,1.4635262e-06,9.0872798e-10,1.0985468e-08,8.5099389e-05]
2;5;5;[6.4844768e-03,7.1960739e-03,1.2607307e-02,4.4124853e-03,1.4672253e-01,7.5307095e-01,3.6317906e-05,4.3974398e-03,4.2393561e-03,2.4604176e-05,3.3180736e-04,3.9187577e-03,3.0912770e-02,1.8247256e-02,7.3977611e-03]
3;5;6;[2.7259670e-03,5.6912290e-04,1.0838779e-03,1.5769324e-03,1.0622410e-03,5.4705005e-02,9.1663218e-01,5.2244391e-04,1.1334320e-03,1.6660848e-06,1.0279517e-04,3.3149746e-04,5.1020377e-04,1.8801976e-02,2.4065937e-04]
4;6;6;[1.7683044e-04,1.3636493e-05,4.7568443e-05,6.5492699e-05,3.5403376e-05,1.7297906e-03,9.9752313e-01,9.7332359e-06,4.9127786e-05,1.8027972e-08,1.6115397e-05,4.7231920e-06,1.8762921e-06,3.1197176e-04,1.4527132e-05]
5;10;10;[1.3945643e-03,8.1066573e-06,8.5982756e-04,7.1946217e-04,4.2679036e-05,7.9935104e-05,1.2398560e-06,1.0054349e-05,1.0012052e-04,9.3042596e-12,9.9644923e-01,2.4256783e-06,1.7162005e-09,6.1794537e-08,3.3227229e-04]
2;4;5;[6.5391362e-03,7.5242817e-03,1.3025949e-02,4.5276657e-03,1.4200839e-01,7.5413507e-01,3.3775799e-05,4.5265905e-03,4.3342607e-03,2.3235365e-05,3.2017924e-04,4.0292325e-03,3.2686450e-02,1.8770419e-02,7.5154146e-03]
