prefix_length;ground_truth;predicted;prediction_probs
2;13;2;[2.5825677e-04,4.8416562e-04,7.0897627e-01,7.9385930e-04,4.9608289e-03,2.4390925e-04,2.9429156e-04,2.4522844e-04,7.4307867e-03,6.2215637e-04,3.9733038e-04,4.2707668e-04,2.3008826e-01,4.4777643e-02]
3;2;2;[9.0395166e-05,2.8309130e-04,6.1865950e-01,1.8271821e-03,9.2107933e-03,1.0946538e-04,1.3363412e-04,1.1820125e-04,3.0226468e-03,2.0589968e-04,1.6111607e-04,1.7396577e-04,2.9565144e-01,7.0352696e-02]
4;4;4;[3.0303984e-06,2.1914106e-05,2.0785872e-02,3.0016459e-03,9.6495771e-01,9.1465790e-06,6.7697952e-06,1.3834004e-05,2.0484884e-04,9.4853931e-06,1.0713369e-05,6.2437812e-06,1.9433821e-03,9.0254005e-03]
5;3;3;[3.7053983e-08,1.3705956e-07,8.6891808e-04,9.9760675e-01,9.7078731e-04,1.9324644e-07,1.2782985e-07,2.3420581e-07,9.5738314e-06,2.7215106e-07,3.9262213e-07,3.9325897e-08,3.7382735e-04,1.6879215e-04]
2;8;13;[5.8824872e-04,9.8290388e-04,2.7584704e-02,2.1760729e-03,6.4293323e-03,1.1415255e-03,9.3178853e-04,9.1857126e-04,6.3489072e-02,2.0444118e-03,1.0612350e-03,1.2546498e-03,1.9808119e-02,8.7158930e-01]
3;13;13;[3.3383103e-04,6.1418529e-04,6.2387649e-02,8.2023777e-03,1.1538665e-02,7.3416572e-04,5.7737599e-04,5.6726357e-04,6.1417680e-02,1.1567962e-03,6.3157361e-04,6.1231025e-04,4.4284593e-02,8.0694151e-01]
4;2;2;[4.0850646e-05,7.3009607e-05,7.0803922e-01,1.1646543e-03,2.4094875e-03,4.6563560e-05,5.4975797e-05,4.3300308e-05,1.9636315e-03,9.8169410e-05,5.6329984e-05,5.3022250e-05,2.7697456e-01,8.9822719e-03]
5;4;4;[2.6638293e-06,1.8114662e-05,1.4559435e-02,2.7494833e-03,9.5795500e-01,9.5009718e-06,7.1690561e-06,1.5410074e-05,2.8490467e-04,9.6429903e-06,9.2909504e-06,5.2886217e-06,1.9315839e-03,2.2442523e-02]
6;3;3;[4.7873254e-08,1.8585804e-07,8.8641676e-04,9.9656963e-01,1.4260919e-03,3.0584772e-07,1.8583022e-07,3.6745155e-07,1.8774177e-05,3.9162265e-07,4.9467610e-07,4.8274323e-08,4.6010406e-04,6.3703518e-04]
2;2;2;[7.4117670e-05,1.5682439e-04,7.3248738e-01,5.7288317e-04,1.8198488e-03,7.3790427e-05,8.8964960e-05,7.4581745e-05,2.4684025e-03,1.6455269e-04,1.1946544e-04,1.3159007e-04,2.4664095e-01,1.5126695e-02]
3;4;4;[4.5017373e-06,3.3126355e-05,3.5929810e-02,4.0345425e-03,9.4242394e-01,1.5632137e-05,1.0526876e-05,2.3983714e-05,3.4100687e-04,1.4664796e-05,1.6654452e-05,9.5239448e-06,2.8481584e-03,1.4293953e-02]
