prefix_length;ground_truth;predicted;prediction_probs
2;1;0;[9.1801542e-01,1.7452918e-02,3.0259218e-07,3.5683781e-02,2.2070714e-04,4.1043578e-04,2.0685636e-02,8.1768412e-05,1.5585460e-05,7.3710596e-04,2.6544735e-03,7.4778953e-05,6.9636269e-07,2.7196354e-03,7.3071057e-04,3.5711925e-04,1.5889041e-04]
3;6;3;[4.3320819e-04,2.2112234e-02,3.9841333e-07,7.0306146e-01,1.1654033e-03,1.2798829e-03,2.5284204e-01,2.9944151e-03,1.2147393e-04,1.0455313e-02,1.0124996e-03,4.3059024e-04,3.2851677e-08,1.0754039e-03,6.0859602e-04,2.7771037e-05,2.3792777e-03]
4;3;3;[1.98376388e-03,9.39010829e-03,7.38997266e-11,9.85958397e-01,8.85813439e-04,7.06587743e-04,1.43885627e-04,1.09869870e-04,1.09317243e-05,1.07604435e-04,1.27628427e-05,3.38702666e-04,1.36908807e-06,1.93168133e-04,1.20371231e-04,1.72303571e-05,1.93872856e-05]
5;0;0;[9.1078556e-01,2.9266055e-03,1.0794771e-06,4.4678273e-03,9.3443319e-05,9.5530500e-04,8.6671737e-04,9.1294292e-05,3.0403553e-06,5.0416276e-02,2.5196955e-02,2.1734626e-05,2.0373598e-05,1.3591930e-04,5.3973316e-05,4.1843441e-04,3.5454794e-03]
5;9;9;[2.5635515e-04,4.4838213e-03,4.9848410e-07,3.7089235e-03,3.0770039e-04,4.2588031e-03,5.5110327e-04,4.0089581e-04,1.4111157e-05,9.1874081e-01,4.1517846e-02,1.8204551e-04,4.3205032e-06,6.1944092e-04,2.3036446e-04,2.2828232e-03,2.2440137e-02]
6;10;10;[1.4489160e-04,2.5454646e-03,9.0628385e-09,4.0251603e-03,2.3098562e-04,2.2419004e-03,2.4498354e-03,3.7989197e-05,2.7810843e-06,9.4686942e-03,9.6446210e-01,3.5347814e-05,2.2960044e-06,1.0651926e-04,2.6572152e-05,2.6540721e-03,1.1565513e-02]
7;16;16;[3.0981025e-07,3.4898348e-02,1.5233702e-09,3.9919708e-02,1.0420718e-02,3.5137709e-02,1.3063132e-02,5.1967596e-04,2.4863799e-05,5.8010570e-04,1.4373331e-02,3.2777787e-04,2.6544880e-05,7.3271594e-04,1.8719818e-04,9.4708605e-03,8.4031701e-01]
8;1;3;[5.7209002e-07,2.3502798e-01,4.6205360e-09,4.6299237e-01,5.1471468e-02,8.7644095e-03,3.9940406e-02,3.6511985e-03,6.5606367e-04,2.5585562e-04,4.1287313e-03,2.7017016e-03,7.1506145e-07,3.6275138e-03,2.0237521e-03,2.5207832e-02,1.5954944e-01]
9;1;3;[6.3384221e-08,9.8464768e-03,3.1412791e-12,9.7804320e-01,4.0376578e-03,7.1362237e-04,1.8893535e-03,3.5962681e-04,1.4260058e-04,2.7323741e-04,3.6872800e-05,1.6612482e-04,2.4995598e-08,1.3171167e-03,5.0461886e-04,1.5842115e-03,1.0852568e-03]
10;4;3;[9.4237542e-08,3.8191028e-02,1.1308035e-12,8.0967188e-01,9.4259180e-02,2.9216055e-02,1.2935249e-03,3.2619960e-03,2.0348295e-04,3.1187034e-03,8.9722686e-04,3.5719626e-04,8.0612441e-09,3.7934354e-03,1.3857414e-03,5.6474176e-03,8.7030120e-03]
11;5;15;[9.4780525e-08,2.7242266e-02,2.4321189e-15,2.2650013e-02,5.7378607e-03,3.1983185e-01,1.4264301e-03,1.4938242e-03,4.1369818e-05,8.2346094e-05,1.2991920e-03,1.7781650e-04,5.4533007e-07,9.1984583e-04,3.0696011e-04,6.1843413e-01,3.5542465e-04]
2;0;0;[9.2136943e-01,1.8166559e-02,5.5953035e-07,3.2884270e-02,2.5505753e-04,4.1100473e-04,1.8386118e-02,1.2081375e-04,2.2280516e-05,8.9271861e-04,3.1635968e-03,1.0909065e-04,1.7745467e-06,2.5992121e-03,9.1881020e-04,4.7892734e-04,2.1981295e-04]
2;9;3;[2.43879811e-04,2.22413227e-01,9.36070683e-06,3.28191042e-01,1.04949838e-02,1.34648744e-03,1.41599521e-01,2.03361921e-02,5.93024911e-03,1.60657555e-01,3.16327997e-02,1.63214561e-02,1.76777269e-06,2.30991635e-02,2.23344732e-02,1.07055053e-03,1.43173095e-02]
3;1;10;[4.9257673e-05,1.6000554e-01,1.0736621e-06,1.0599975e-01,4.0313960e-03,1.2374418e-03,7.2412975e-02,3.6714065e-03,6.7268818e-04,1.7367469e-02,6.2312216e-01,1.9665752e-03,3.7259715e-06,2.7512701e-03,1.0241353e-03,1.1996196e-03,4.4835489e-03]
4;3;3;[6.41002225e-06,1.89950224e-02,6.39536756e-06,7.89555788e-01,3.32412543e-03,1.42004399e-03,1.21477626e-01,9.64230578e-03,2.43534148e-03,5.52291889e-03,2.12503430e-02,1.79132179e-03,1.55373570e-07,1.03538930e-02,3.53663391e-03,1.02757243e-04,1.05789332e-02]
5;6;6;[7.0324226e-05,3.2624088e-02,5.5030290e-05,7.0772514e-02,7.9729138e-03,8.3368775e-03,8.0163962e-01,1.5968611e-02,2.0675582e-03,1.1000659e-03,3.2159097e-02,1.5937953e-03,8.0988120e-06,3.9649345e-03,6.1856085e-03,3.1975954e-04,1.5161084e-02]
6;10;10;[1.1908527e-03,6.5274853e-03,3.3693365e-04,2.1053867e-02,7.4840343e-04,3.3632531e-03,4.2989119e-03,1.7316687e-03,1.9943669e-04,2.2160657e-02,9.1046613e-01,1.0886568e-04,1.8889348e-04,9.0568181e-04,1.0921789e-03,2.1761470e-03,2.3450581e-02]
7;5;16;[3.7506368e-08,4.1234296e-02,6.2045838e-06,5.3830948e-02,5.0152447e-03,1.5561122e-02,2.9827482e-03,2.2038536e-03,1.8947471e-04,4.6389777e-02,2.0319927e-02,7.0067286e-04,1.2571379e-04,1.4264270e-03,5.3882814e-04,1.0299862e-03,8.0844474e-01]
2;0;0;[9.18539703e-01,1.83919948e-02,5.21208790e-07,3.41262855e-02,2.55311781e-04,4.25608247e-04,1.97282955e-02,1.12551163e-04,2.11012994e-05,8.84917972e-04,3.15162423e-03,1.02155536e-04,1.40492386e-06,2.69319722e-03,8.98412894e-04,4.54330991e-04,2.12508749e-04]
2;1;3;[2.24819072e-04,2.39223301e-01,8.24959170e-06,2.82799393e-01,1.02577135e-02,1.48316170e-03,1.60470620e-01,1.70121435e-02,5.32367313e-03,1.85067266e-01,3.10690254e-02,1.21299718e-02,1.11575287e-06,2.10265163e-02,1.93703305e-02,8.49613803e-04,1.36829950e-02]
3;3;3;[1.3712881e-04,1.5506798e-02,8.2062406e-06,5.8195269e-01,1.2817557e-03,1.6554322e-03,3.6844260e-01,2.1107905e-03,1.2237728e-03,1.7190024e-02,1.8862361e-03,1.1548719e-03,7.4532494e-08,2.5946363e-03,1.4612788e-03,7.3278417e-05,3.3203789e-03]
4;5;6;[4.48133796e-03,2.75301766e-02,7.42128701e-04,6.74566925e-02,6.66651409e-03,1.43245375e-02,6.47581160e-01,7.28504872e-03,3.51140159e-03,8.68220627e-02,6.99656159e-02,1.68710737e-03,3.03355700e-05,3.74148018e-03,2.61117099e-03,1.54255726e-03,5.40206544e-02]
2;0;0;[9.1820991e-01,1.7307641e-02,2.8087666e-07,3.5925936e-02,2.1641438e-04,4.0859307e-04,2.0532874e-02,7.9285637e-05,1.5059803e-05,7.1589951e-04,2.5833398e-03,7.1890092e-05,6.5090643e-07,2.7177054e-03,7.1461272e-04,3.4782695e-04,1.5203509e-04]
2;9;3;[8.5556028e-05,1.8030046e-01,3.8929916e-06,3.7434527e-01,1.3801142e-02,1.6652789e-03,1.1320050e-01,2.1674348e-02,5.1263492e-03,1.8598127e-01,3.3130124e-02,1.5372756e-02,5.5735529e-07,2.0961840e-02,1.9823261e-02,7.3079660e-04,1.3796586e-02]
3;6;10;[3.69114605e-05,1.51811346e-01,5.14179192e-07,1.21936955e-01,4.28486196e-03,1.38242927e-03,8.34557191e-02,3.45777092e-03,8.15448991e-04,1.61259901e-02,6.06045485e-01,1.63992355e-03,1.70376484e-06,2.78547709e-03,1.12296315e-03,9.38147365e-04,4.15834552e-03]
4;3;3;[1.16275636e-07,2.80522138e-01,3.56270853e-08,6.05416536e-01,1.21340323e-02,1.92769116e-03,3.00731161e-03,1.66799054e-02,8.00523162e-03,3.64945945e-03,3.70167270e-02,6.58438727e-03,6.19588491e-07,1.42892506e-02,7.55279977e-03,2.19051100e-04,2.99477181e-03]
5;1;1;[1.1638754e-08,9.3807667e-01,2.2983654e-08,1.6635759e-02,9.4109855e-04,1.7246160e-03,2.0558097e-04,1.9052107e-02,3.7115361e-03,7.4285211e-04,1.0924480e-02,3.4921761e-03,3.6148705e-08,1.6055595e-03,1.5440006e-03,4.0112023e-05,1.3033167e-03]
6;10;10;[6.0746101e-05,5.5297064e-03,1.8187075e-05,9.2188399e-03,1.1754492e-03,5.0264207e-04,1.2687601e-03,4.4410410e-03,1.5349070e-03,1.7356394e-02,8.4254175e-01,3.5649611e-04,3.1874640e-06,5.1344966e-04,4.6247896e-04,3.1645237e-03,1.1185148e-01]
7;16;16;[7.2929454e-09,1.7278640e-02,1.6191228e-07,4.3113947e-02,2.5187335e-03,1.6639622e-02,6.2852702e-03,1.9079504e-03,2.4361064e-04,4.1653775e-02,1.4141792e-02,6.7762332e-04,3.7863385e-05,4.1590646e-04,3.9329514e-04,1.7458518e-04,8.5451716e-01]
8;1;3;[6.5562285e-11,3.5771212e-01,3.1145831e-08,4.5499384e-01,2.1041600e-02,9.5616076e-03,9.4601708e-03,1.7131401e-02,6.6846632e-03,6.3705863e-04,9.9449279e-04,9.5050819e-03,1.8294546e-07,1.7204324e-03,8.1857434e-03,2.5692824e-03,9.9802271e-02]
9;4;3;[3.7611250e-10,2.7857063e-02,1.4912689e-10,9.5298892e-01,7.6161637e-03,1.4980378e-03,1.6346733e-03,1.5006573e-03,8.5625437e-04,2.8724250e-04,7.7202843e-05,4.8111292e-04,3.7369524e-08,5.0869159e-04,1.4302585e-03,6.2267995e-04,2.6408294e-03]
10;5;5;[1.8462007e-10,2.9973915e-02,8.0736761e-14,2.9855076e-02,1.3624873e-02,4.9824077e-01,8.1162696e-04,6.7581101e-03,4.3034821e-04,1.4449881e-05,1.0306946e-03,4.8572500e-04,1.2564585e-07,4.2907760e-04,9.7968278e-04,4.1686249e-01,5.0291198e-04]
2;0;0;[9.1600180e-01,1.8307565e-02,4.1182392e-07,3.5416551e-02,2.4345639e-04,4.3196970e-04,2.1346014e-02,9.6800839e-05,1.8464176e-05,8.4121717e-04,2.9918444e-03,8.9022455e-05,9.4632412e-07,2.7901940e-03,8.2913466e-04,4.0620222e-04,1.8839279e-04]
2;10;3;[1.4888242e-04,2.1310267e-01,5.7816032e-06,3.1535536e-01,1.2081465e-02,1.5669557e-03,1.3690574e-01,1.8785577e-02,5.2596400e-03,1.9471094e-01,3.3375144e-02,1.3430573e-02,7.7229828e-07,2.1188436e-02,1.9505503e-02,7.8098435e-04,1.3795508e-02]
