prefix_length;ground_truth;predicted;prediction_probs
2;14;9;[1.1599025e-03,3.6758661e-02,3.2471053e-02,4.2683407e-04,2.2428542e-02,1.3898952e-03,2.9775301e-02,5.5794222e-03,1.7564865e-02,7.3869812e-01,1.3796822e-03,1.3671084e-03,2.7961582e-02,4.1332837e-02,4.0553592e-02,2.4325887e-04,9.0936618e-04]
3;6;2;[4.0326118e-05,7.7449263e-04,7.6697379e-01,7.8687147e-04,3.1989866e-03,2.2205655e-03,1.2787107e-01,2.2961041e-03,2.0860548e-03,4.2748344e-03,9.0637654e-03,2.5292797e-04,5.2719088e-03,1.5094028e-02,5.9233826e-02,4.0409254e-06,5.5640755e-04]
4;2;2;[1.08867125e-05,1.78369246e-05,9.66387272e-01,3.53730320e-05,3.17439320e-04,3.96694348e-04,2.23975582e-03,1.81495416e-04,1.51834001e-05,1.26237217e-02,2.31837694e-04,3.63206709e-06,4.84420889e-04,3.80139868e-03,1.28943631e-02,4.01424186e-05,3.18606064e-04]
5;9;9;[8.3294380e-03,6.6767243e-04,8.7455930e-03,5.4644331e-02,6.4004713e-04,1.8028546e-02,4.6619787e-03,3.5677163e-04,2.3781099e-04,8.9234948e-01,5.0337485e-04,1.1758630e-04,3.8469982e-04,2.8523253e-03,5.8054486e-03,4.9711572e-04,1.1778518e-03]
6;3;3;[2.0708850e-02,7.4003969e-05,1.0154316e-03,9.5958602e-01,1.1410300e-05,1.4536276e-02,1.1666449e-03,2.8185087e-04,9.0683308e-05,2.8382422e-04,2.0908297e-04,1.2964519e-03,9.7879147e-06,1.8744773e-04,5.3244783e-04,8.7196195e-06,1.0311626e-06]
7;0;0;[9.5422041e-01,1.7591827e-05,1.3813772e-03,2.5253369e-02,7.9524161e-06,1.6493542e-02,1.5726147e-04,3.1861139e-04,2.2859347e-05,1.1651486e-05,3.5478681e-04,9.5594273e-04,4.0618339e-05,2.9875207e-05,7.2150532e-04,1.2567660e-05,2.8680205e-08]
7;5;5;[3.9861538e-02,2.5910272e-03,6.5209083e-02,5.2881456e-04,2.2703626e-04,7.7477384e-01,5.4198629e-03,1.4073381e-02,1.7958848e-03,1.8295441e-04,1.7239671e-02,5.3027865e-02,1.9205124e-03,8.3692285e-04,2.1998217e-02,3.1207572e-04,1.2755805e-06]
8;14;2;[1.7243849e-04,1.0599652e-03,4.0435115e-01,1.0914996e-05,4.3367239e-04,7.4970618e-02,3.4132274e-03,5.1642798e-02,6.3396181e-04,3.8509745e-05,8.3869591e-02,5.8228499e-03,4.6520005e-03,2.5445221e-03,3.6613107e-01,2.4515032e-04,7.6316619e-06]
9;14;2;[6.5948632e-07,1.4294959e-04,9.5681942e-01,1.1940410e-06,2.1963999e-04,4.7357460e-03,5.6972477e-04,4.1436581e-03,3.2790226e-04,2.3238658e-06,7.3674340e-03,1.9408881e-03,4.0408936e-03,1.7429047e-03,1.7896472e-02,4.5726265e-05,2.5104755e-06]
10;10;2;[8.3234772e-06,4.6885115e-04,8.2598984e-01,4.1530734e-06,3.0720775e-04,3.0067242e-03,8.8347844e-04,5.7856780e-03,2.0969399e-04,4.9147098e-07,9.4248086e-02,1.9677654e-03,3.1716917e-03,5.7077652e-04,6.3358501e-02,1.2829924e-05,5.9862114e-06]
11;11;7;[1.3561129e-04,9.6981321e-04,8.0365092e-02,1.8247171e-06,1.5409551e-04,2.7522955e-03,3.4687464e-04,6.3633800e-01,1.4822903e-03,3.5400080e-05,3.7941076e-02,2.1382961e-01,3.2194552e-03,1.3060659e-03,2.0268183e-02,8.4969425e-04,4.5816632e-06]
2;9;9;[1.1929205e-03,2.9037649e-02,2.5009563e-02,5.9521466e-04,1.8186908e-02,1.5947412e-03,2.7085768e-02,5.3632553e-03,1.5117820e-02,7.7457589e-01,1.0347789e-03,1.0562956e-03,2.2240572e-02,4.0229835e-02,3.6157407e-02,2.3530354e-04,1.2861671e-03]
3;3;14;[4.0484358e-02,2.7838985e-03,2.5979233e-01,1.9010831e-01,1.1551694e-03,5.3440500e-03,1.3187245e-01,9.3097944e-04,4.5661740e-03,9.4764669e-05,4.2814231e-03,2.2520693e-03,7.6656532e-03,9.2435982e-03,3.3924416e-01,1.1154256e-04,6.9097841e-05]
4;14;0;[4.4233543e-01,8.7854988e-04,8.9160427e-02,5.4389272e-02,9.2537358e-04,9.1082919e-03,6.7570113e-02,4.8614942e-04,1.3554133e-03,2.7666283e-05,3.8342464e-03,1.2498852e-03,2.3529697e-03,2.6388655e-03,3.2363060e-01,4.4036587e-05,1.2760779e-05]
5;2;2;[1.5951314e-03,1.7392124e-03,7.6857883e-01,2.4022037e-04,9.0220250e-04,4.1331728e-03,9.5831528e-02,9.6245616e-04,3.2116589e-03,8.6125169e-07,4.8212986e-03,2.5929515e-03,2.7904371e-03,2.8098067e-03,1.0977439e-01,8.4250651e-06,7.5457710e-06]
6;6;6;[8.1033394e-02,3.8163268e-03,2.7137836e-02,1.6964022e-03,1.5245257e-03,1.6471051e-02,7.7937114e-01,9.4452771e-05,1.6032039e-03,4.1766743e-06,4.6885917e-03,1.4694094e-02,1.5817147e-03,7.8889960e-03,5.8328018e-02,5.1253417e-05,1.4781762e-05]
7;0;0;[8.5838819e-01,1.5684764e-03,7.1862801e-03,2.1046538e-02,1.9040539e-04,5.0173890e-02,1.7821815e-02,1.8799177e-04,2.2437744e-04,4.4145090e-05,4.2459526e-04,3.4466456e-03,1.8340102e-04,4.9086881e-04,3.8367689e-02,2.1126166e-04,4.3382668e-05]
7;11;5;[4.8011236e-02,1.9444464e-03,1.0291072e-02,2.1660881e-01,2.0807347e-04,6.6060036e-01,1.2817997e-02,5.0215791e-03,3.1081398e-04,1.0868464e-04,2.4307747e-03,3.4647088e-02,1.6306288e-04,5.6107400e-04,5.5061528e-03,7.4838084e-04,2.0467409e-05]
2;9;9;[1.1597710e-03,2.9399937e-02,2.4820670e-02,5.4968178e-04,1.7523874e-02,1.4852417e-03,2.6102608e-02,5.2542924e-03,1.4902836e-02,7.8201467e-01,1.0412978e-03,1.0968100e-03,2.1758731e-02,3.7717357e-02,3.3831570e-02,2.1458641e-04,1.1260017e-03]
