prefix_length;ground_truth;predicted;prediction_probs
2;4;16;[5.3834021e-02,1.5064103e-03,2.9270890e-05,2.7620301e-03,5.7667691e-02,1.5954738e-02,4.2464711e-05,3.9339033e-05,4.0965388e-03,7.9516426e-04,3.2934571e-05,7.1954652e-05,3.6361520e-04,1.3358918e-02,2.8403238e-05,5.1692018e-04,8.4889954e-01]
3;5;0;[6.1853838e-01,7.6978477e-03,3.6976844e-06,8.3268079e-04,1.5322400e-02,3.4102023e-01,8.2973747e-06,6.0043300e-07,1.2724565e-03,1.0873361e-04,3.0185870e-06,1.6641254e-05,3.0237441e-06,2.6454504e-03,3.4001671e-06,5.0588056e-07,1.2522720e-02]
4;0;0;[9.81479943e-01,1.98117504e-03,2.18929031e-07,5.36278298e-04,1.24265235e-02,1.13436494e-04,4.00407430e-07,3.99076154e-11,1.26193173e-03,1.33085487e-05,2.09007155e-07,7.23175503e-07,5.38287122e-06,1.96666879e-04,5.72076431e-08,1.36807230e-07,1.98361790e-03]
4;16;16;[3.5632399e-03,5.7927893e-05,1.7145961e-06,5.1464438e-03,3.0658266e-03,5.1242922e-04,1.2479391e-06,5.8122296e-05,3.1773679e-02,4.0886286e-03,1.1615953e-06,5.3054987e-06,1.0781551e-03,2.4245598e-03,1.1984431e-06,4.8730592e-04,9.4773304e-01]
5;8;8;[6.2589110e-03,2.8050758e-04,2.8306829e-06,2.9873123e-02,4.4370773e-03,6.0858164e-04,1.3624667e-06,1.4355360e-04,8.7036544e-01,5.8794700e-02,2.5248171e-06,3.0014787e-06,2.0768533e-03,2.6189541e-02,2.0906571e-06,3.7187344e-04,5.8809499e-04]
6;9;9;[9.0712809e-04,5.0454120e-05,2.2195746e-08,1.2781612e-03,2.0153446e-03,2.4985906e-04,3.8998611e-08,5.9372027e-09,1.7434997e-05,9.9469095e-01,1.4113508e-08,6.5390033e-08,5.4719223e-04,1.4305324e-04,1.5733228e-08,5.6107012e-05,4.4141241e-05]
7;3;3;[3.9299667e-02,2.6765815e-03,3.0243750e-06,6.6019988e-01,3.4618590e-02,9.1951834e-03,1.8172859e-06,1.2511560e-07,3.2287410e-03,1.7684273e-03,1.2210179e-06,1.0926175e-06,1.4972809e-02,2.3401709e-01,8.3242219e-07,3.5096384e-06,1.1391634e-05]
8;4;4;[3.0063316e-01,7.1301281e-02,4.9820227e-07,8.7357469e-02,5.1225138e-01,7.7545890e-03,3.2459849e-07,8.9884801e-11,1.1408125e-03,3.2763346e-04,8.7828724e-08,7.6970039e-08,3.1193630e-03,1.6113058e-02,1.6733823e-07,6.9978299e-08,2.6751017e-08]
9;4;0;[9.3003398e-01,4.7599550e-02,2.6342561e-09,4.4605006e-03,1.4229770e-02,1.0839880e-03,3.4324099e-09,1.5096699e-14,2.8738973e-06,4.7971089e-06,2.7199548e-10,1.0188888e-09,7.6865190e-06,2.5768357e-03,2.0238689e-09,4.4818108e-11,1.5687646e-09]
10;1;0;[5.8868277e-01,3.4932575e-01,9.3306163e-10,4.7800634e-03,5.5144709e-02,1.3254643e-03,4.1005688e-09,6.6627654e-16,8.6680899e-07,1.7612031e-06,1.3429599e-10,7.2665940e-10,2.6462756e-06,7.3600077e-04,8.6628704e-10,9.4172673e-12,5.5272792e-10]
11;13;13;[6.4102404e-02,7.1144246e-02,1.3686077e-09,3.7513323e-02,5.2988384e-02,4.0974315e-02,6.9715527e-09,7.2137984e-15,2.7217820e-06,1.0282567e-06,1.8855550e-10,7.1749140e-10,5.5446089e-06,7.3326802e-01,2.2582824e-09,1.5922075e-12,1.2735560e-08]
2;16;16;[3.2318827e-02,6.9663004e-04,6.7461231e-05,2.6224023e-03,2.8225591e-02,1.3367207e-02,7.1490867e-05,3.5478667e-04,7.7885953e-03,1.6323252e-03,7.4865296e-05,1.6071323e-04,7.0511206e-04,1.1144529e-02,5.4825821e-05,1.0706234e-03,8.9964396e-01]
3;8;4;[2.96822339e-01,1.23045975e-02,9.33718111e-04,1.42074348e-02,3.14094186e-01,1.15250401e-01,1.00384536e-03,3.24981753e-04,1.34555489e-01,4.48949486e-02,9.94322705e-04,1.18464779e-03,5.29891904e-03,5.64642064e-02,6.66339300e-04,6.57761120e-05,9.33893491e-04]
