ground_truth,predicted,prefix_length
6.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
4.0,4,1
6.0,3,1
6.0,3,1
3.0,3,1
7.0,2,1
3.0,3,1
3.0,2,1
3.0,3,1
3.0,3,1
3.0,3,1
7.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
6.0,2,1
6.0,3,1
3.0,2,1
3.0,4,1
6.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
3.0,4,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
2.0,2,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
13.0,3,1
2.0,2,1
13.0,2,1
3.0,3,1
3.0,3,1
3.0,3,1
13.0,3,1
3.0,3,1
13.0,2,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
7.0,3,1
2.0,2,1
3.0,3,1
3.0,3,1
3.0,3,1
4.0,4,1
2.0,2,1
6.0,2,1
3.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
3.0,2,1
6.0,3,1
3.0,3,1
4.0,4,1
6.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
13.0,3,1
6.0,3,1
3.0,3,1
3.0,2,1
2.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
0.0,2,1
3.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
2.0,3,1
3.0,4,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
7.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
3.0,2,1
6.0,3,1
2.0,2,1
3.0,3,1
2.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,4,1
6.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,2,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
13.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
13.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
3.0,4,1
6.0,3,1
3.0,3,1
6.0,3,1
3.0,4,1
6.0,3,1
3.0,3,1
3.0,3,1
2.0,2,1
3.0,3,1
6.0,3,1
2.0,2,1
3.0,3,1
3.0,3,1
6.0,3,1
4.0,4,1
3.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
2.0,2,1
13.0,3,1
6.0,3,1
3.0,3,1
7.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
3.0,4,1
3.0,3,1
3.0,3,1
3.0,3,1
13.0,3,1
6.0,3,1
3.0,3,1
2.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
3.0,2,1
3.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
3.0,2,1
13.0,3,1
6.0,3,1
6.0,3,1
13.0,3,1
13.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
2.0,3,1
13.0,3,1
3.0,3,1
3.0,3,1
13.0,3,1
6.0,3,1
13.0,3,1
3.0,3,1
2.0,2,1
3.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
2.0,3,1
2.0,3,1
6.0,3,1
2.0,2,1
6.0,3,1
6.0,3,1
6.0,2,1
3.0,3,1
3.0,2,1
7.0,3,1
13.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
13.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
13.0,3,1
13.0,3,1
6.0,3,1
3.0,3,1
13.0,3,1
6.0,3,1
13.0,3,1
3.0,3,1
3.0,4,1
13.0,3,1
3.0,3,1
3.0,3,1
6.0,2,1
0.0,2,1
3.0,3,1
3.0,3,1
3.0,3,1
13.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
13.0,3,1
6.0,3,1
3.0,3,1
2.0,4,1
3.0,3,1
0.0,2,1
3.0,3,1
3.0,3,1
2.0,3,1
4.0,4,1
6.0,3,1
3.0,2,1
6.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
13.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
13.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
2.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
2.0,2,1
3.0,3,1
13.0,3,1
2.0,2,1
6.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
6.0,2,1
13.0,3,1
6.0,3,1
3.0,3,1
4.0,4,1
6.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
2.0,2,1
7.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
4.0,4,1
6.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
13.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
4.0,4,1
2.0,3,1
3.0,3,1
6.0,3,1
2.0,4,1
2.0,2,1
3.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
7.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
3.0,4,1
6.0,3,1
3.0,4,1
3.0,3,1
6.0,2,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
2.0,2,1
4.0,4,1
3.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
2.0,2,1
6.0,3,1
6.0,3,1
3.0,3,1
4.0,4,1
6.0,3,1
2.0,3,1
6.0,3,1
3.0,2,1
3.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
4.0,4,1
6.0,3,1
3.0,3,1
6.0,3,1
13.0,3,1
6.0,3,1
6.0,3,1
7.0,2,1
3.0,3,1
13.0,3,1
3.0,3,1
6.0,3,1
13.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
7.0,3,1
6.0,3,1
3.0,3,1
3.0,4,1
6.0,3,1
3.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
2.0,2,1
3.0,3,1
4.0,4,1
3.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
6.0,3,1
2.0,2,1
13.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
2.0,2,1
13.0,3,1
3.0,2,1
4.0,4,1
13.0,3,1
3.0,3,1
6.0,3,1
3.0,3,1
3.0,3,1
13.0,3,1
4.0,4,1
6.0,3,1
6.0,3,1
3.0,4,1
3.0,3,1
6.0,3,1
13.0,3,1
4.0,4,1
6.0,3,1
3.0,2,1
6.0,3,1
6.0,3,1
3.0,3,1
6.0,3,1
6.0,3,1
3.0,3,1
3.0,4,1
6.0,3,1
4.0,4,1
13.0,3,1
