ground_truth,predicted,prefix_length
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,15,1
2.0,1,1
278.0,21,1
2.0,1,1
2.0,1,1
91.0,91,1
90.0,14,1
2.0,1,1
70.0,15,1
91.0,91,1
2.0,1,1
2.0,1,1
309.0,15,1
91.0,91,1
146.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,15,1
90.0,14,1
2.0,1,1
309.0,266,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
278.0,165,1
216.0,1,1
2.0,1,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
91.0,91,1
2.0,1,1
2.0,1,1
175.0,1,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
2.0,1,1
90.0,14,1
90.0,14,1
2.0,1,1
1.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
216.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,15,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,15,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
91.0,91,1
2.0,1,1
91.0,91,1
2.0,1,1
309.0,15,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
216.0,3,1
2.0,1,1
2.0,1,1
2.0,1,1
1.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
216.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,15,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
91.0,91,1
2.0,1,1
90.0,14,1
309.0,15,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
216.0,15,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,266,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,15,1
90.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
216.0,1,1
70.0,15,1
2.0,1,1
2.0,1,1
90.0,14,1
216.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
70.0,15,1
2.0,1,1
309.0,15,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
90.0,14,1
90.0,14,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,15,1
2.0,1,1
90.0,14,1
2.0,1,1
91.0,91,1
216.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,2
91.0,91,2
90.0,14,2
90.0,14,2
1.0,14,2
90.0,14,2
90.0,14,2
309.0,266,2
90.0,14,2
91.0,91,2
90.0,14,2
90.0,14,2
90.0,14,2
90.0,14,2
90.0,14,2
90.0,14,2
90.0,14,2
90.0,14,2
