ground_truth,predicted,prefix_length
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
216.0,288,1
216.0,288,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
70.0,288,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,309,1
309.0,1,1
2.0,1,1
2.0,1,1
216.0,288,1
2.0,1,1
91.0,309,1
2.0,1,1
2.0,1,1
278.0,288,1
309.0,12,1
309.0,1,1
90.0,288,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,309,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
216.0,1,1
90.0,14,1
90.0,14,1
175.0,1,1
309.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
1.0,1,1
309.0,1,1
2.0,1,1
309.0,12,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
91.0,309,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,1,1
309.0,1,1
91.0,309,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
1.0,1,1
2.0,1,1
91.0,309,1
2.0,1,1
131.0,288,1
216.0,288,1
2.0,1,1
2.0,1,1
91.0,309,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
216.0,288,1
91.0,309,1
2.0,1,1
2.0,1,1
91.0,309,1
2.0,1,1
90.0,14,1
2.0,1,1
90.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,1,1
91.0,309,1
2.0,1,1
70.0,288,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
278.0,288,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
91.0,309,1
216.0,309,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
309.0,1,1
91.0,309,1
2.0,1,1
2.0,1,1
309.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
70.0,288,1
2.0,1,1
90.0,14,1
91.0,309,1
90.0,14,1
2.0,1,1
216.0,288,1
2.0,1,1
2.0,1,1
91.0,309,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
309.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,309,1
2.0,1,1
2.0,1,1
91.0,309,1
2.0,1,1
90.0,14,2
90.0,14,2
309.0,12,2
90.0,14,2
91.0,91,2
90.0,14,2
90.0,14,2
90.0,14,2
90.0,14,2
90.0,14,2
90.0,14,2
90.0,14,2
90.0,14,2
70.0,288,2
90.0,14,2
90.0,14,2
90.0,14,2
70.0,288,2
