ground_truth,predicted,prefix_length
309.0,12,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
175.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
70.0,228,1
2.0,1,1
131.0,131,1
2.0,1,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,1,1
2.0,1,1
309.0,12,1
2.0,1,1
1.0,1,1
216.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
309.0,15,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
1.0,1,1
2.0,1,1
2.0,1,1
309.0,15,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
309.0,15,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
216.0,1,1
91.0,91,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
216.0,1,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
2.0,1,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
70.0,228,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,15,1
2.0,1,1
91.0,91,1
91.0,91,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
309.0,15,1
2.0,1,1
309.0,15,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
309.0,15,1
2.0,1,1
2.0,1,1
309.0,15,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
278.0,70,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
2.0,1,1
216.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
216.0,1,1
91.0,91,1
2.0,1,1
2.0,1,1
2.0,1,1
90.0,14,1
91.0,91,1
90.0,14,1
216.0,1,1
90.0,14,1
2.0,1,1
2.0,1,1
278.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
2.0,1,1
91.0,91,1
2.0,1,1
