ground_truth,predicted,prefix_length
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
4.0,4,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
10.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
4.0,2,1
2.0,2,1
2.0,2,1
1.0,1,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
3.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
4.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
4.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
10.0,2,1
2.0,2,1
4.0,2,1
0.0,0,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
10.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
4.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
10.0,3,1
2.0,2,1
2.0,2,1
3.0,2,1
4.0,2,1
2.0,2,1
3.0,3,1
2.0,2,1
0.0,0,1
2.0,2,1
2.0,2,1
0.0,0,1
2.0,2,1
2.0,2,1
3.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
4.0,2,1
2.0,2,1
0.0,0,1
10.0,2,1
2.0,2,1
4.0,4,1
2.0,2,1
3.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
1.0,1,1
2.0,2,1
2.0,2,1
10.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
4.0,3,1
2.0,2,1
10.0,3,1
10.0,3,1
3.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
3.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
3.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
2.0,2,1
1.0,1,1
2.0,2,1
2.0,2,1
5.0,2,1
2.0,2,1
2.0,2,1
1.0,1,1
2.0,2,1
2.0,2,1
3.0,2,1
10.0,3,1
1.0,1,1
2.0,2,1
10.0,2,1
2.0,2,1
2.0,2,1
10.0,2,1
2.0,2,1
1.0,1,1
2.0,2,1
2.0,2,1
2.0,2,1
1.0,1,1
2.0,2,1
