prefix_length;ground_truth;predicted;prediction_probs
2;12;10;[2.2074463e-02,9.2326347e-03,1.6431846e-02,1.2175246e-02,1.2323081e-04,1.7689846e-02,1.4217983e-02,4.0579797e-03,1.4002071e-04,2.6833096e-03,6.8905741e-01,2.7539737e-03,4.6090823e-02,3.4994434e-03,1.5977186e-01]
3;10;10;[1.8097630e-02,1.5252106e-02,3.1296480e-02,2.5829200e-02,1.1177655e-04,2.0187890e-02,1.4497976e-02,4.1458798e-03,1.5779928e-04,1.3871807e-02,6.1076671e-01,6.8559134e-03,7.6246895e-02,3.0308643e-03,1.5965113e-01]
4;2;2;[4.1415989e-02,9.2747237e-04,7.8694695e-01,2.1000854e-03,2.2304268e-05,7.1282983e-03,8.0515295e-03,2.1876371e-03,2.2874981e-05,1.0362448e-03,9.2834853e-02,7.3057425e-04,4.7190335e-02,1.2673920e-03,8.1374701e-03]
5;0;0;[9.6965194e-01,1.4557849e-04,2.5060834e-02,2.4898158e-05,7.8780840e-06,9.8338787e-05,1.2523850e-04,5.6142959e-05,9.2367136e-06,4.0033992e-06,2.2640063e-03,1.6894979e-05,1.8976923e-03,3.3626606e-05,6.0369330e-04]
2;1;1;[7.6121418e-03,5.1709771e-01,5.5123558e-03,1.2717241e-03,3.8813479e-04,1.1483886e-02,1.1060181e-02,3.0876221e-03,2.0236021e-04,1.3299475e-03,5.8003336e-02,1.6088982e-03,3.6434311e-01,3.5373627e-03,1.3461232e-02]
3;12;1;[8.1412187e-03,4.9943405e-01,5.7961415e-03,1.3795648e-03,1.2838286e-03,7.7405768e-03,9.3834968e-03,9.7256778e-03,2.6805469e-04,3.8220072e-03,8.7102287e-02,3.5088400e-03,3.2127693e-01,8.7840343e-03,3.2353241e-02]
4;10;10;[1.5229781e-02,8.5386019e-03,1.2381893e-02,6.0107056e-03,1.3663672e-04,4.9622715e-03,6.2831137e-03,5.5188355e-03,6.9994829e-05,3.5267111e-03,6.3941121e-01,1.6900378e-03,4.9582195e-02,2.0745678e-03,2.4458350e-01]
5;2;2;[3.4430008e-02,8.8008534e-04,8.0046338e-01,1.2727556e-03,1.9270239e-05,4.8258328e-03,7.8663155e-03,2.3022541e-03,1.6662789e-05,3.7553077e-04,8.3421446e-02,3.6393368e-04,5.7203207e-02,9.4451883e-04,5.6147855e-03]
6;0;0;[9.5950538e-01,2.0447826e-04,3.5776261e-02,2.9329416e-05,1.6767881e-05,8.7204535e-05,1.6909362e-04,7.0047630e-05,2.1810825e-05,7.2339130e-06,1.7612939e-03,2.3682789e-05,1.7800068e-03,5.6882207e-05,4.9049000e-04]
2;10;10;[2.27235761e-02,8.41845851e-03,1.67880915e-02,1.28375115e-02,1.14955903e-04,1.79375410e-02,1.45069547e-02,3.79366102e-03,1.44581645e-04,2.46631494e-03,6.87453806e-01,2.74450588e-03,4.68563139e-02,3.33710853e-03,1.59876555e-01]
3;2;2;[3.95716168e-02,8.68043513e-04,7.97337174e-01,3.24875605e-03,6.37485864e-05,1.02216797e-02,1.29540805e-02,2.90849525e-03,8.75826154e-05,1.79219851e-03,8.52279961e-02,1.95616065e-03,3.31866145e-02,2.41946452e-03,8.15642718e-03]
4;0;0;[9.5863384e-01,8.7016553e-05,3.7234921e-02,2.2920573e-05,6.5048293e-06,9.7888718e-05,1.2494490e-04,4.9202161e-05,6.9413263e-06,5.5169876e-06,1.6733361e-03,2.2375978e-05,1.3798074e-03,4.3388714e-05,6.1145227e-04]
2;10;10;[2.19409857e-02,5.52156568e-03,1.17939273e-02,9.01165791e-03,1.78331480e-04,1.04156425e-02,9.87726636e-03,6.08929107e-03,1.27400723e-04,5.59576973e-03,6.67985857e-01,3.83520848e-03,3.13054547e-02,5.20730251e-03,2.11114287e-01]
3;2;2;[5.1257133e-02,5.7887065e-04,7.9046863e-01,2.5638246e-03,6.8207788e-05,6.8085813e-03,1.1821328e-02,2.9232977e-03,7.8953199e-05,1.8426847e-03,8.4984414e-02,1.1203939e-03,3.5331484e-02,2.6783792e-03,7.4738101e-03]
4;0;0;[9.5686734e-01,1.1643246e-04,3.9052349e-02,1.7152592e-05,8.0175205e-06,7.5528573e-05,1.3189662e-04,4.4352924e-05,7.0586966e-06,4.9560654e-06,1.6130451e-03,1.6753464e-05,1.5149566e-03,3.7168684e-05,4.9291179e-04]
2;12;1;[1.3508043e-02,4.0023661e-01,6.8691345e-03,1.6432804e-03,1.0869057e-03,8.1130657e-03,9.5258830e-03,1.0179978e-02,2.6556331e-04,5.7341685e-03,9.9651225e-02,4.5117615e-03,3.9139229e-01,1.0578900e-02,3.6703151e-02]
3;10;10;[1.6410522e-02,1.0257329e-02,1.0948195e-02,8.7310309e-03,2.3572524e-04,7.2242692e-03,8.6141089e-03,6.7454441e-03,1.4884604e-04,7.0805815e-03,6.2832981e-01,3.4986278e-03,4.7842216e-02,3.7173452e-03,2.4021588e-01]
4;2;2;[4.1206740e-02,7.7087356e-04,7.8254431e-01,1.4927571e-03,2.2480815e-05,5.0589801e-03,7.6866900e-03,2.0342777e-03,1.8698100e-05,6.9003092e-04,9.3932807e-02,4.9658300e-04,5.6129310e-02,1.1973531e-03,6.7181117e-03]
5;0;0;[9.55894053e-01,1.72630433e-04,3.96005921e-02,2.01520852e-05,1.04865485e-05,7.74865039e-05,1.52207853e-04,4.65478661e-05,1.13806955e-05,5.52267193e-06,1.79319456e-03,1.92689604e-05,1.72752549e-03,3.84859304e-05,4.30475862e-04]
2;10;10;[2.0511864e-02,6.4412355e-03,1.1354542e-02,9.1462154e-03,2.0689507e-04,1.0350162e-02,1.0116893e-02,6.5256525e-03,1.4344617e-04,6.4034304e-03,6.6682023e-01,4.0317453e-03,3.0697353e-02,5.3832401e-03,2.1186703e-01]
3;10;2;[4.7713887e-02,6.2180893e-04,7.9244888e-01,2.4529612e-03,5.0808070e-05,6.6165435e-03,1.0414780e-02,2.4218343e-03,6.0324681e-05,1.5601111e-03,8.7784633e-02,9.8986924e-04,3.7190482e-02,2.0690190e-03,7.6040160e-03]
4;2;2;[6.4775065e-02,2.1991861e-04,8.2786745e-01,1.1919959e-03,1.3911233e-05,2.6801922e-03,5.1646344e-03,3.7719838e-03,4.3574819e-05,1.6888138e-04,6.6745147e-02,3.4023941e-04,1.8415319e-02,1.2415483e-03,7.3600882e-03]
5;0;0;[9.5200527e-01,1.8973062e-04,4.4660617e-02,2.6671740e-05,1.7999595e-05,1.2243299e-04,1.6755858e-04,5.4727901e-05,2.6222622e-05,6.8992294e-06,7.8940188e-04,3.8988808e-05,1.3906271e-03,7.8938450e-05,4.2386501e-04]
2;14;10;[2.5306221e-02,4.7402834e-03,1.1177461e-02,8.9274785e-03,2.1059781e-04,8.3836997e-03,1.0052430e-02,6.8588341e-03,1.4214443e-04,7.1327798e-03,6.6725409e-01,3.5622939e-03,3.3303224e-02,4.7209566e-03,2.0822752e-01]
3;10;12;[4.5204423e-02,7.7088713e-03,2.7631808e-02,2.5157868e-03,1.2206951e-04,3.4918145e-03,1.3530335e-02,6.0874405e-03,5.6771325e-05,4.1438299e-03,3.1292263e-01,6.7097007e-04,4.8029721e-01,4.3526930e-03,9.1263294e-02]
4;2;2;[7.4526139e-02,2.3657708e-04,7.6403099e-01,1.0965723e-03,1.3265349e-05,1.1074349e-03,4.1450961e-03,2.2323506e-03,1.6440146e-05,2.5980925e-04,1.1488320e-01,2.6390594e-04,2.8807536e-02,1.4345411e-03,6.9461358e-03]
