prefix_length;ground_truth;predicted;prediction_probs
2;12;10;[6.9789946e-02,9.5051322e-03,5.1751774e-02,2.4039352e-02,1.5830010e-04,1.4324768e-02,3.1719268e-03,2.4643659e-03,1.2510916e-04,1.0915761e-02,5.8155549e-01,2.2529201e-03,4.6442203e-02,4.0877243e-03,1.7941526e-01]
3;10;10;[8.6608045e-02,6.7328634e-03,1.9285560e-01,2.2384195e-02,1.3627530e-04,1.7419890e-02,1.5296944e-03,2.7329735e-03,1.8835624e-04,4.3468960e-03,4.2576250e-01,3.1068751e-03,6.3634448e-02,3.5919519e-03,1.6896950e-01]
4;2;2;[7.56629854e-02,2.38057924e-03,7.57545769e-01,1.47131765e-02,4.63455690e-05,1.11798225e-02,8.67077499e-04,1.13035168e-03,6.77426942e-05,5.85989736e-04,9.45475474e-02,9.17718920e-04,3.09772920e-02,5.29538724e-04,8.84802081e-03]
5;0;0;[9.78069782e-01,1.15576266e-04,1.58057846e-02,2.08913101e-04,8.69863743e-06,4.40375268e-04,1.45271944e-04,1.89595972e-04,7.34949890e-06,4.39660653e-05,3.04561039e-03,7.74032596e-05,1.47912442e-03,7.33489651e-05,2.89207441e-04]
2;1;12;[3.7704241e-02,1.9867702e-01,2.2061288e-02,1.1805649e-02,4.1470010e-04,1.0521868e-02,8.0030933e-03,2.0793465e-03,2.7634550e-04,1.2131363e-02,9.5493957e-02,1.6993253e-03,5.5675071e-01,4.5428970e-03,3.7838168e-02]
3;12;12;[1.3661784e-01,1.0690343e-01,4.6313867e-02,8.0580451e-03,8.4294261e-05,8.7263593e-03,5.1963283e-03,2.9295594e-03,5.5475299e-05,4.3536834e-03,1.6311242e-01,1.6898024e-03,4.4639939e-01,2.6754809e-03,6.6884071e-02]
4;10;10;[6.0244661e-02,1.8105594e-02,1.0773394e-01,2.8602019e-02,3.6868805e-04,2.0578472e-02,2.4017580e-03,6.8032318e-03,3.2687947e-04,8.5380161e-03,4.7509167e-01,3.3767412e-03,3.7962776e-02,6.6520809e-03,2.2321340e-01]
5;2;2;[3.6652256e-02,3.1863197e-03,8.3815241e-01,1.7386653e-02,8.6465909e-05,7.1396860e-03,1.0698331e-03,8.8210072e-04,8.1266575e-05,9.3849946e-04,6.1335914e-02,6.0411193e-04,2.5393492e-02,5.6122907e-04,6.5298718e-03]
6;0;0;[9.7406888e-01,1.4188980e-04,1.7580220e-02,3.2445122e-04,1.1852571e-05,3.3886370e-04,1.5258192e-04,1.5663679e-04,9.2726495e-06,5.2839026e-05,4.9978206e-03,5.8618141e-05,1.7100323e-03,6.8158341e-05,3.2783978e-04]
2;10;10;[6.3836850e-02,9.6088620e-03,5.2375097e-02,2.4422513e-02,1.5585555e-04,1.4893082e-02,3.2433078e-03,2.3668453e-03,1.2826418e-04,1.1015432e-02,5.9622461e-01,2.1390028e-03,4.5075394e-02,4.0168697e-03,1.7049801e-01]
3;2;2;[7.6182142e-02,3.0076071e-03,7.6294100e-01,2.0767683e-02,3.6557740e-05,1.0586159e-02,7.9422141e-04,1.2976299e-03,5.2854684e-05,8.2010380e-04,9.1215372e-02,6.2773010e-04,2.1325378e-02,4.4985252e-04,9.8955911e-03]
4;0;0;[9.8108071e-01,1.0500123e-04,1.4497150e-02,1.6879040e-04,2.4053613e-06,3.9521619e-04,1.0614710e-04,1.6435664e-04,2.2396971e-06,2.7232300e-05,2.2266794e-03,2.4069852e-05,9.8133937e-04,2.6116617e-05,1.9253595e-04]
2;10;10;[1.17385499e-01,6.11805217e-03,5.25245965e-02,1.84092969e-02,1.11352725e-04,1.57557111e-02,3.25190788e-03,3.29019013e-03,9.18198057e-05,1.05399303e-02,4.82555062e-01,1.93340832e-03,4.63477969e-02,4.63087577e-03,2.37054393e-01]
3;2;2;[7.6245584e-02,2.9739311e-03,7.7576345e-01,1.9171959e-02,7.5521362e-05,1.1072428e-02,1.0694325e-03,1.5682497e-03,8.8794754e-05,1.2553748e-03,6.9899008e-02,6.8568956e-04,2.8479472e-02,7.2988664e-04,1.0921202e-02]
4;0;0;[9.7805345e-01,1.4591240e-04,1.6342467e-02,1.8330982e-04,3.2999037e-06,3.7835102e-04,9.6251912e-05,1.3007144e-04,2.4653766e-06,2.8730456e-05,3.1174826e-03,2.0954221e-05,1.2703848e-03,3.3286804e-05,1.9372255e-04]
2;12;12;[1.0627786e-01,8.3890818e-02,2.8602928e-02,7.6801185e-03,9.6551586e-05,9.1970237e-03,9.4658444e-03,2.0218270e-03,7.0264352e-05,4.8809284e-03,1.3083693e-01,1.2772607e-03,5.6231648e-01,1.7541714e-03,5.1631026e-02]
3;10;10;[9.1921851e-02,1.0659110e-02,7.2297029e-02,2.5888402e-02,2.5437982e-04,2.1003094e-02,3.5599887e-03,5.1256451e-03,2.1155240e-04,1.2304925e-02,4.4857949e-01,3.2356158e-03,5.5703104e-02,6.9614174e-03,2.4229443e-01]
4;2;2;[5.8531549e-02,2.8946686e-03,8.0177486e-01,1.6077844e-02,8.6297398e-05,1.0027343e-02,1.0630612e-03,1.1188379e-03,8.2650186e-05,1.0826411e-03,6.6457935e-02,7.3050649e-04,3.0258780e-02,6.5409718e-04,9.1588870e-03]
5;0;0;[9.76403654e-01,1.49055515e-04,1.62905436e-02,2.29121710e-04,6.68849134e-06,3.69708927e-04,1.18356846e-04,1.37661758e-04,4.73223326e-06,3.90951354e-05,4.17748000e-03,3.97918448e-05,1.71177299e-03,5.13688647e-05,2.70942721e-04]
2;10;10;[1.17103308e-01,6.89368742e-03,5.69654256e-02,2.03043167e-02,1.35276350e-04,1.70338340e-02,3.30976816e-03,3.95006081e-03,1.03001774e-04,1.16831893e-02,4.75333184e-01,2.27558962e-03,4.41594198e-02,5.27420640e-03,2.35475734e-01]
3;10;2;[6.3777968e-02,2.8166033e-03,7.9811490e-01,1.9105328e-02,7.5458272e-05,9.7280508e-03,9.6238113e-04,1.3529866e-03,8.1957471e-05,1.1257021e-03,6.7014612e-02,6.1327021e-04,2.5499998e-02,6.4168620e-04,9.0891067e-03]
