prefix_length;ground_truth;predicted;prediction_probs
2;0;0;[9.4884866e-01,2.7211646e-02,2.1934062e-02,1.2106557e-03,7.9505995e-04]
2;0;0;[0.95118695,0.02175384,0.0248454 ,0.00113427,0.00107962]
2;0;0;[8.9732820e-01,8.3471410e-02,1.7680712e-02,1.1900222e-03,3.2963214e-04]
2;1;1;[0.04823061,0.48988497,0.2351647 ,0.20666538,0.02005438]
3;1;1;[0.05518933,0.45962325,0.41374245,0.04928355,0.02216139]
4;2;2;[0.06598431,0.41934052,0.4801972 ,0.01668608,0.01779185]
5;0;0;[9.80802417e-01,1.72240529e-02,1.83712714e-03,1.11636175e-04,2.48138240e-05]
2;1;1;[0.04148733,0.4796827 ,0.26270416,0.20441504,0.01171075]
3;2;1;[0.05648371,0.5738083 ,0.25752923,0.10407058,0.00810815]
4;0;0;[9.2954600e-01,6.4220890e-02,4.8375148e-03,1.3381632e-03,5.7405017e-05]
2;0;0;[8.9662528e-01,7.3405869e-02,2.7614431e-02,1.6434672e-03,7.1089959e-04]
2;1;1;[0.03919503,0.810878  ,0.02021824,0.11161438,0.01809437]
3;1;1;[0.02078044,0.6362033 ,0.08393074,0.25485393,0.00423155]
4;1;1;[0.04203671,0.6649873 ,0.12041358,0.15958169,0.01298072]
5;1;1;[0.02228976,0.6090544 ,0.13720886,0.22170517,0.00974177]
6;1;1;[0.022973  ,0.5615771 ,0.12329496,0.2844707 ,0.00768425]
7;3;1;[0.02290968,0.53667897,0.1167243 ,0.31842893,0.00525809]
8;1;1;[0.0365706 ,0.7773654 ,0.01789196,0.16476274,0.00340942]
9;1;1;[0.01831965,0.4961084 ,0.08870889,0.39420465,0.00265834]
10;1;1;[0.04271795,0.65511006,0.06982414,0.22940373,0.00294421]
11;1;1;[0.01427581,0.5779007 ,0.1073919 ,0.29612297,0.00430859]
12;3;1;[0.0170796 ,0.62663186,0.09796355,0.2529185 ,0.00540654]
13;1;1;[0.01470507,0.8309002 ,0.01401264,0.13813682,0.00224517]
14;1;1;[0.0151722 ,0.46964383,0.11608724,0.39580283,0.00329392]
15;2;1;[0.03582388,0.5580123 ,0.06939328,0.33542114,0.00134933]
16;0;0;[8.7428683e-01,1.1623183e-01,1.8895041e-03,7.5199180e-03,7.1957758e-05]
2;2;2;[0.07613508,0.15150492,0.7309266 ,0.02750592,0.01392748]
3;0;0;[9.6201187e-01,2.1395203e-02,1.5841657e-02,6.5872172e-04,9.2496353e-05]
2;0;0;[9.3269420e-01,4.2210780e-02,2.3007685e-02,1.3904705e-03,6.9675723e-04]
2;0;0;[8.4932679e-01,1.0755312e-01,4.0887486e-02,1.5800615e-03,6.5253768e-04]
2;0;0;[9.1729009e-01,4.8486546e-02,3.1872477e-02,1.4557011e-03,8.9514628e-04]
2;1;1;[0.05315158,0.47563437,0.301626  ,0.15303616,0.0165519 ]
3;1;1;[0.05747709,0.5857081 ,0.24853738,0.09919763,0.00907982]
4;2;1;[0.0560235 ,0.4686512 ,0.40183872,0.04214799,0.03133858]
5;0;0;[9.7671264e-01,1.9539790e-02,3.4450849e-03,2.3977146e-04,6.2638675e-05]
2;0;0;[0.9463956 ,0.01797906,0.03237484,0.00131157,0.00193892]
2;2;1;[0.03973931,0.47595295,0.25961626,0.21265222,0.0120392 ]
3;0;0;[9.7756004e-01,1.6942920e-02,4.6035014e-03,8.4530312e-04,4.8288675e-05]
2;1;1;[0.03971436,0.47635934,0.25876784,0.21316423,0.01199423]
3;1;1;[0.05361082,0.578595  ,0.27721685,0.08006941,0.010508  ]
4;2;1;[0.05160429,0.5946307 ,0.27761155,0.05687496,0.01927842]
5;0;0;[8.92256916e-01,1.05203666e-01,1.76178361e-03,6.80312281e-04,9.71688569e-05]
2;1;1;[0.03509189,0.8019679 ,0.01878782,0.13055003,0.01360235]
3;3;1;[0.03013006,0.725678  ,0.05717575,0.18413068,0.00288549]
4;1;1;[0.02090793,0.851355  ,0.0069132 ,0.11753304,0.00329077]
5;2;1;[0.02562118,0.5046022 ,0.10754067,0.35738596,0.00484999]
6;0;0;[9.7877067e-01,1.7453333e-02,2.5139977e-03,1.1369084e-03,1.2507067e-04]
2;0;0;[9.4917703e-01,2.7821593e-02,2.0619955e-02,1.5019206e-03,8.7947363e-04]
2;2;1;[0.0578549 ,0.42770875,0.4008708 ,0.09572974,0.01783579]
3;0;0;[9.4266552e-01,5.1800270e-02,4.6824743e-03,8.2221528e-04,2.9532725e-05]
2;0;0;[8.7565631e-01,1.0996397e-01,1.0547090e-02,3.5643089e-03,2.6836561e-04]
2;0;0;[8.8246638e-01,9.8942913e-02,1.7650733e-02,7.3433452e-04,2.0568423e-04]
2;0;0;[9.5002300e-01,2.4527768e-02,2.3613438e-02,1.0520198e-03,7.8366580e-04]
2;1;1;[0.05317488,0.826967  ,0.0175019 ,0.08049613,0.02186004]
3;1;1;[0.0335732 ,0.62972033,0.12009376,0.20870079,0.00791189]
4;3;1;[0.03796259,0.5955285 ,0.154017  ,0.19694486,0.01554703]
5;1;1;[0.02120968,0.78468835,0.01772621,0.16918968,0.00718606]
6;1;1;[0.02858762,0.42654547,0.11870957,0.4228563 ,0.0033011 ]
7;1;1;[0.02616181,0.514067  ,0.08554018,0.3724267 ,0.00180431]
8;3;1;[0.01761583,0.46132246,0.09793564,0.42157578,0.00155041]
9;1;1;[0.03324937,0.84835243,0.01047773,0.10558598,0.00233437]
10;1;1;[0.01816201,0.55506676,0.11353305,0.31135306,0.00188512]
11;2;1;[0.04672737,0.67729914,0.089121  ,0.18361852,0.003234  ]
12;0;0;[5.5363029e-01,4.0842217e-01,1.8666919e-02,1.8803256e-02,4.7743684e-04]
2;0;0;[8.7738395e-01,1.0653222e-01,1.5359282e-02,5.7317986e-04,1.5140038e-04]
2;0;0;[8.5399687e-01,1.2615900e-01,1.9127822e-02,5.6753872e-04,1.4871160e-04]
2;1;1;[0.04874721,0.8214549 ,0.01953638,0.08742874,0.02283281]
3;3;1;[0.02495916,0.6721879 ,0.06127309,0.23780908,0.00377082]
4;1;1;[0.02293353,0.84351534,0.00700799,0.12288065,0.00366246]
5;1;1;[0.02439138,0.52652985,0.09533266,0.34873253,0.00501357]
6;1;3;[0.01505623,0.40686372,0.08504426,0.48738304,0.00565269]
7;2;3;[0.01498403,0.3428446 ,0.07687367,0.5604946 ,0.00480307]
8;0;0;[9.8062056e-01,1.7284378e-02,8.1519067e-04,1.2151636e-03,6.4816362e-05]
2;0;0;[9.1181779e-01,6.1037671e-02,2.5264557e-02,1.2972694e-03,5.8276107e-04]
2;1;1;[0.03189515,0.81025267,0.01854691,0.13105994,0.00824539]
3;2;1;[0.04884463,0.73895746,0.06948222,0.14025636,0.0024593 ]
4;0;0;[9.7276860e-01,2.1934759e-02,4.7513559e-03,4.5469208e-04,9.0573296e-05]
2;3;1;[0.06749304,0.542404  ,0.13341452,0.25407892,0.00260951]
3;1;1;[0.04687632,0.8705052 ,0.00981662,0.07164064,0.00116126]
4;2;1;[0.08654626,0.6398756 ,0.1090664 ,0.1616753 ,0.00283645]
5;0;0;[7.4680179e-01,2.4647373e-01,2.3244419e-03,4.1841078e-03,2.1586727e-04]
2;2;1;[0.05671945,0.5132299 ,0.20681937,0.20674267,0.01648869]
3;0;0;[9.7458106e-01,2.0770945e-02,3.5346870e-03,1.0472059e-03,6.6063796e-05]
2;0;0;[9.0191728e-01,7.0413388e-02,2.5523722e-02,1.5039588e-03,6.4167840e-04]
2;0;0;[8.8579923e-01,1.0032666e-01,1.2892579e-02,8.0160861e-04,1.7996367e-04]
2;2;1;[0.05897781,0.5068169 ,0.18652998,0.22985843,0.01781687]
3;1;0;[8.6228460e-01,1.3023505e-01,4.1063209e-03,3.2764589e-03,9.7703203e-05]
4;2;1;[0.08176543,0.3783959 ,0.3377842 ,0.19882683,0.00322764]
5;0;0;[6.3313395e-01,3.5720703e-01,8.1029776e-03,1.4838007e-03,7.2327806e-05]
2;0;0;[8.4616327e-01,1.3370809e-01,1.9312344e-02,6.6471717e-04,1.5152499e-04]
2;2;1;[0.06427934,0.47272158,0.39504603,0.05540068,0.01255237]
3;0;0;[9.6798998e-01,2.2520266e-02,8.5335691e-03,8.7299070e-04,8.3171210e-05]
2;0;0;[9.5038778e-01,2.4630977e-02,2.3166751e-02,1.0640726e-03,7.5038191e-04]
2;0;0;[8.67624283e-01,1.14215106e-01,1.70365106e-02,9.27815156e-04,1.96347479e-04]
2;1;1;[0.04285896,0.8232695 ,0.01857639,0.09663926,0.01865599]
3;1;1;[0.03317463,0.7475832 ,0.05628091,0.15906869,0.0038926 ]
4;3;1;[0.04215864,0.70293784,0.09050915,0.15023977,0.01415462]
5;1;1;[0.02004721,0.8234267 ,0.01423582,0.13579518,0.00649509]
6;1;1;[0.02193187,0.48905694,0.09099008,0.39366937,0.00435173]
7;1;1;[0.02054412,0.49517447,0.06670459,0.41343978,0.00413705]
8;1;1;[0.0148296 ,0.46756417,0.07257251,0.4419337 ,0.00309999]
9;1;1;[0.01600299,0.56060284,0.06432765,0.35692295,0.00214353]
10;2;1;[0.01334299,0.5776168 ,0.06735899,0.33966753,0.00201368]
11;0;0;[9.7276962e-01,2.4999736e-02,1.3246216e-03,8.0353773e-04,1.0247720e-04]
2;3;1;[0.04884693,0.4983237 ,0.23658463,0.20097972,0.01526504]
3;1;1;[0.02811846,0.8432744 ,0.01534636,0.11033786,0.00292289]
4;2;1;[0.03877047,0.65514445,0.12289527,0.17895703,0.00423276]
5;0;0;[7.3143184e-01,2.6247105e-01,3.2940763e-03,2.6267136e-03,1.7640580e-04]
2;0;0;[9.2345583e-01,5.1795322e-02,2.2634638e-02,1.4639038e-03,6.5039523e-04]
2;0;0;[8.7558299e-01,1.0849162e-01,1.4748236e-02,9.8040118e-04,1.9671459e-04]
2;1;1;[0.03942169,0.8098279 ,0.02064947,0.11153027,0.01857059]
