prefix_length;ground_truth;predicted;prediction_probs
2;0;0;[9.7494280e-01,2.2269670e-02,1.4120593e-03,3.8355775e-04,9.9180581e-04]
2;0;0;[9.7865683e-01,1.8696696e-02,1.4300209e-03,3.2705371e-04,8.8928884e-04]
2;0;0;[9.4700658e-01,4.9137507e-02,2.1720703e-03,4.8247381e-04,1.2014454e-03]
2;1;1;[2.7274915e-03,5.5487472e-01,2.7718619e-01,1.6506302e-01,1.4859643e-04]
3;1;1;[0.00373232,0.51228964,0.42169905,0.06146703,0.00081191]
4;2;2;[0.0037288 ,0.45763287,0.51524734,0.02286923,0.00052175]
5;0;0;[9.1216522e-01,1.5823688e-02,2.4355936e-03,3.1452923e-04,6.9261037e-02]
2;1;1;[2.3128851e-03,5.7982159e-01,2.7597800e-01,1.4178339e-01,1.0407566e-04]
3;2;1;[1.3699790e-03,6.8912005e-01,2.1231271e-01,9.6879482e-02,3.1779503e-04]
4;0;0;[9.0779525e-01,4.0687896e-02,1.6789015e-03,4.4207310e-04,4.9395982e-02]
2;0;0;[9.5522571e-01,4.1462503e-02,2.1433106e-03,4.3834338e-04,7.3008402e-04]
2;1;1;[9.6583815e-04,9.3123275e-01,2.9132289e-03,6.4857975e-02,3.0207451e-05]
3;1;1;[0.00153794,0.67539483,0.13625309,0.18420912,0.00260493]
4;1;1;[3.6567950e-03,7.8501588e-01,9.6841291e-02,1.1441912e-01,6.6921435e-05]
5;1;2;[5.8122571e-03,3.9953136e-01,4.6947560e-01,1.2504435e-01,1.3646559e-04]
6;1;1;[3.0694050e-03,5.1553386e-01,2.4361537e-01,2.3772681e-01,5.4588480e-05]
7;3;1;[3.5128398e-03,4.9235994e-01,1.9661862e-01,3.0742431e-01,8.4301188e-05]
8;1;1;[9.1524102e-04,9.6580315e-01,2.2836577e-03,3.0954206e-02,4.3722208e-05]
9;1;1;[1.23923982e-03,6.62603557e-01,1.11943096e-01,2.23835334e-01,3.78726312e-04]
10;1;1;[3.5333317e-03,7.0797330e-01,7.3154017e-02,2.1526736e-01,7.1960654e-05]
11;1;1;[4.2326017e-03,6.0228676e-01,1.6803594e-01,2.2536592e-01,7.8806610e-05]
12;3;1;[3.84505908e-03,6.74651980e-01,1.08298294e-01,2.13128269e-01,7.63969147e-05]
13;1;1;[6.1932357e-04,9.7661817e-01,2.6953628e-03,2.0041754e-02,2.5428008e-05]
