prefix_length;ground_truth;predicted;prediction_probs
2;0;0;[9.6040899e-01,3.5910193e-02,1.9163188e-03,5.2796508e-04,1.2366513e-03]
2;0;0;[9.7116649e-01,2.5264302e-02,1.7176438e-03,3.1247103e-04,1.5391897e-03]
2;0;0;[0.8848443 ,0.10883578,0.00318699,0.00187881,0.00125419]
2;1;1;[2.7705806e-03,5.4622823e-01,2.7574599e-01,1.7508470e-01,1.7055709e-04]
3;1;1;[0.0055855 ,0.57072693,0.37410104,0.04893785,0.00064872]
4;2;1;[2.9577110e-03,5.7223815e-01,4.0553367e-01,1.8956207e-02,3.1432556e-04]
5;0;0;[9.1378558e-01,4.9737796e-02,4.3556532e-03,5.8523135e-04,3.1535693e-02]
2;1;1;[2.2248628e-03,5.7827389e-01,2.7334520e-01,1.4594971e-01,2.0623246e-04]
3;2;1;[1.6426498e-03,6.4404535e-01,2.7212396e-01,8.1804208e-02,3.8390732e-04]
4;0;0;[0.89688617,0.05790502,0.00579358,0.00123614,0.03817907]
2;0;0;[0.91342735,0.08133193,0.00275926,0.00135676,0.00112475]
2;1;1;[4.4973069e-04,9.3240559e-01,1.5331348e-03,6.5504402e-02,1.0711471e-04]
3;1;1;[0.00112514,0.6482267 ,0.14107245,0.20641407,0.00316168]
4;1;1;[3.3803980e-03,7.8299904e-01,8.4019333e-02,1.2933470e-01,2.6651798e-04]
5;1;1;[1.4864472e-03,4.1442522e-01,4.0358508e-01,1.8023472e-01,2.6852125e-04]
6;1;1;[2.2379840e-03,5.4766464e-01,2.3833932e-01,2.1166146e-01,9.6623611e-05]
7;3;1;[8.9381717e-04,5.5005366e-01,2.2352210e-01,2.2545171e-01,7.8726494e-05]
8;1;1;[1.0472859e-03,9.2490113e-01,2.3675873e-03,7.1561188e-02,1.2282220e-04]
9;1;1;[2.0606355e-04,6.4352816e-01,1.4148974e-01,2.1458749e-01,1.8846066e-04]
10;1;1;[1.4674359e-03,7.3452246e-01,7.1894325e-02,1.9202890e-01,8.6898392e-05]
11;1;1;[4.3500253e-04,5.5931151e-01,1.2129609e-01,3.1880677e-01,1.5063192e-04]
