prefix_length;ground_truth;predicted;prediction_probs
2;0;0;[9.3400145e-01,6.0952887e-02,3.0015854e-03,2.0182559e-03,2.5879008e-05]
2;0;0;[9.5514482e-01,4.0949501e-02,2.5000914e-03,1.3667615e-03,3.8855454e-05]
2;0;0;[8.0545938e-01,1.8607806e-01,4.0011671e-03,4.4581150e-03,3.2193489e-06]
2;1;1;[4.5620734e-03,5.5178225e-01,3.1656697e-01,1.2683582e-01,2.5285149e-04]
3;1;1;[0.00550623,0.55191416,0.3949466 ,0.04642285,0.00121022]
4;2;1;[0.01445043,0.63192874,0.3321127 ,0.02066066,0.00084751]
5;0;0;[9.6624702e-01,3.0673254e-02,2.2963227e-03,5.3967012e-04,2.4368221e-04]
2;1;1;[3.6276150e-03,5.8101100e-01,3.0773419e-01,1.0748247e-01,1.4475705e-04]
3;2;1;[3.1236461e-03,6.3457459e-01,2.8627086e-01,7.5573936e-02,4.5697537e-04]
4;0;0;[8.9890802e-01,9.0553343e-02,6.5792641e-03,3.3077777e-03,6.5153476e-04]
2;0;0;[8.3023810e-01,1.6226642e-01,3.8248338e-03,3.6668640e-03,3.7943316e-06]
2;1;1;[1.7098928e-03,9.1648829e-01,8.4305983e-03,7.3341019e-02,3.0170046e-05]
3;1;1;[0.00319115,0.5175115 ,0.32350904,0.15443209,0.00135626]
4;1;1;[0.01741794,0.6916508 ,0.20162056,0.08854833,0.00076235]
5;1;1;[0.01151619,0.5681327 ,0.30233365,0.11734055,0.0006769 ]
6;1;1;[1.5027845e-02,6.0257572e-01,2.3168367e-01,1.5049796e-01,2.1482054e-04]
7;3;1;[1.09999655e-02,6.10045969e-01,2.16533259e-01,1.62320316e-01,1.00492703e-04]
8;1;1;[5.2952948e-03,9.4176954e-01,3.8445874e-03,4.9080677e-02,9.8803230e-06]
9;1;1;[1.1150267e-03,6.5093136e-01,1.4396492e-01,2.0391192e-01,7.6723685e-05]
10;1;1;[4.7894651e-03,7.0705718e-01,1.2533166e-01,1.6278529e-01,3.6341240e-05]
11;1;1;[3.6818357e-03,6.8402153e-01,1.4712417e-01,1.6513646e-01,3.5961344e-05]
12;3;1;[3.9748317e-03,6.9231027e-01,1.4438282e-01,1.5929738e-01,3.4713546e-05]
13;1;1;[6.6060624e-03,9.3807805e-01,5.9814984e-03,4.9333178e-02,1.1923837e-06]
14;1;1;[1.0712427e-03,6.3175064e-01,1.6295882e-01,2.0418307e-01,3.6193509e-05]
15;2;1;[3.5001175e-03,6.9949830e-01,1.3364682e-01,1.6332757e-01,2.7162623e-05]
16;0;0;[7.5844049e-01,2.3022716e-01,3.5824650e-03,7.7346498e-03,1.5257132e-05]
2;2;2;[0.00869657,0.2533446 ,0.6140301 ,0.10056008,0.02336862]
3;0;0;[9.4940203e-01,4.2403918e-02,4.9157916e-03,2.7496493e-03,5.2865286e-04]
2;0;0;[9.1298443e-01,8.1483565e-02,3.0927570e-03,2.4224331e-03,1.6780672e-05]
2;0;0;[7.9776049e-01,1.9505703e-01,4.0009576e-03,3.1787178e-03,2.7130511e-06]
2;0;0;[9.0361768e-01,9.0850532e-02,3.2363769e-03,2.2814220e-03,1.4034149e-05]
2;1;1;[4.7509824e-03,5.8290201e-01,3.3067665e-01,8.1544608e-02,1.2576196e-04]
3;1;1;[0.00347787,0.6158358 ,0.30556607,0.0744075 ,0.00071282]
4;2;1;[0.00556655,0.64717674,0.3170142 ,0.02886804,0.0013745 ]
5;0;0;[9.7522062e-01,2.0491485e-02,2.3549316e-03,7.9588231e-04,1.1369695e-03]
2;0;0;[9.7356522e-01,2.3319734e-02,2.2162921e-03,8.6371042e-04,3.5045636e-05]
2;2;1;[3.9979760e-03,5.6331569e-01,3.1464043e-01,1.1784620e-01,1.9970711e-04]
3;0;0;[9.1433477e-01,7.4976511e-02,5.8863009e-03,4.3262336e-03,4.7619443e-04]
2;1;1;[3.9807777e-03,5.6362283e-01,3.1420964e-01,1.1798643e-01,2.0028543e-04]
3;1;1;[3.6382861e-03,6.2260932e-01,3.0738169e-01,6.5841734e-02,5.2894384e-04]
4;2;1;[0.00477937,0.6629882 ,0.28036687,0.05020839,0.00165722]
5;0;0;[8.8547486e-01,1.0796286e-01,3.7963679e-03,2.4212152e-03,3.4461980e-04]
2;1;1;[2.0906245e-03,9.1176158e-01,8.1498027e-03,7.7966534e-02,3.1422671e-05]
3;3;1;[2.0118770e-03,6.6841781e-01,2.0119052e-01,1.2823506e-01,1.4479741e-04]
4;1;1;[9.4486717e-03,8.8027233e-01,5.8296970e-03,1.0441187e-01,3.7307746e-05]
5;2;1;[0.00426422,0.4717947 ,0.28891462,0.23405571,0.00097071]
6;0;0;[9.6595240e-01,3.1854853e-02,1.2297981e-03,9.4807026e-04,1.4886236e-05]
2;0;0;[9.3041772e-01,6.4360626e-02,2.9618861e-03,2.2352394e-03,2.4470692e-05]
2;2;1;[5.6410758e-03,5.8347040e-01,3.4955913e-01,6.1191052e-02,1.3831217e-04]
3;0;0;[8.5578531e-01,1.3450994e-01,5.7635200e-03,3.6798634e-03,2.6136803e-04]
2;0;0;[8.1021899e-01,1.7892641e-01,4.5616976e-03,6.2900684e-03,2.8255504e-06]
2;0;0;[7.8172624e-01,2.0748362e-01,5.1568937e-03,5.6278137e-03,5.4546404e-06]
2;0;0;[9.4624162e-01,4.9297541e-02,2.8308411e-03,1.5898113e-03,4.0211580e-05]
2;1;1;[9.4828894e-04,9.4835192e-01,6.8764780e-03,4.3806266e-02,1.7113927e-05]
3;1;1;[0.00338996,0.5762392 ,0.2772487 ,0.13865657,0.00446563]
4;3;1;[0.01574418,0.6420037 ,0.25890288,0.08059478,0.0027544 ]
5;1;1;[7.6900804e-03,9.2145103e-01,6.9606928e-03,6.3768923e-02,1.2927571e-04]
6;1;1;[3.0612350e-03,5.6069660e-01,2.1182497e-01,2.2397003e-01,4.4717250e-04]
7;1;1;[8.7488489e-03,6.3989425e-01,1.6185796e-01,1.8944463e-01,5.4329848e-05]
8;3;1;[6.0405615e-03,6.2298375e-01,1.8524706e-01,1.8568437e-01,4.4233362e-05]
9;1;1;[4.9315901e-03,9.4132590e-01,3.8925721e-03,4.9843170e-02,6.6920138e-06]
10;1;1;[1.4015349e-03,6.1781675e-01,1.7538105e-01,2.0533723e-01,6.3446074e-05]
11;2;1;[6.8836519e-03,6.6411400e-01,1.5742300e-01,1.7153467e-01,4.4759556e-05]
12;0;0;[8.3323330e-01,1.6045234e-01,2.4814724e-03,3.8239935e-03,8.8135084e-06]
2;0;0;[7.9111511e-01,1.9853339e-01,5.0160722e-03,5.3284639e-03,6.8542868e-06]
2;0;0;[7.6431745e-01,2.2568594e-01,4.9138027e-03,5.0781136e-03,4.7129852e-06]
2;1;1;[1.1677386e-03,9.3669063e-01,7.7452464e-03,5.4374151e-02,2.2249156e-05]
3;3;1;[2.5469353e-03,6.0803157e-01,2.4602692e-01,1.4291359e-01,4.8097168e-04]
4;1;1;[8.07014201e-03,8.37987185e-01,6.09786715e-03,1.47732571e-01,1.12145965e-04]
5;1;1;[0.0048715 ,0.47005588,0.31124547,0.21145804,0.00236919]
6;1;1;[2.4138393e-02,5.4208177e-01,2.1919706e-01,2.1444675e-01,1.3599862e-04]
