prefix_length;ground_truth;predicted;prediction_probs
2;12;10;[2.0051467e-04,8.0588851e-03,4.6536876e-03,4.7247149e-03,3.6119204e-07,5.9020362e-04,1.2023952e-03,8.2824985e-04,4.7651370e-04,1.1054452e-03,7.8158838e-01,7.2299608e-04,1.2653390e-02,6.5000617e-04,1.8254426e-01]
3;10;10;[2.6529917e-04,3.1064859e-02,1.3686754e-02,4.9294722e-03,1.7476826e-06,3.3700883e-03,7.6380507e-03,4.2549651e-03,3.2134233e-03,3.3919497e-03,5.1888496e-01,4.2545195e-03,2.1005598e-01,5.7179197e-03,1.8927008e-01]
4;2;2;[2.0259328e-04,2.6937039e-03,8.9301407e-01,9.0856472e-04,1.1640778e-06,2.5142932e-03,1.2838294e-03,1.2887460e-03,8.9596171e-04,1.2647954e-03,5.9441850e-02,8.4903132e-04,3.0367283e-02,2.1411967e-03,3.1328180e-03]
5;0;0;[9.9930263e-01,3.1768202e-05,1.9634496e-04,1.3567469e-05,1.4287595e-07,2.5361995e-05,4.0537554e-05,9.3434246e-06,3.5530090e-06,2.2218455e-06,2.3034481e-04,8.2014203e-06,9.7765645e-05,6.0733164e-06,3.2137068e-05]
2;1;12;[2.6786636e-04,4.4921614e-02,5.1773097e-03,7.8673679e-03,2.2785962e-06,1.7825460e-02,3.0701917e-02,2.8463800e-02,3.4494799e-02,1.3080823e-02,1.6859177e-01,3.2851320e-02,5.6555796e-01,2.1873588e-02,2.8322071e-02]
3;12;12;[1.1438389e-04,4.6701755e-02,4.2949370e-03,6.2429016e-03,9.1842912e-07,2.0801825e-02,2.1790786e-02,1.5512836e-02,2.7775740e-02,7.5543611e-03,2.7111700e-01,2.6977127e-02,4.9572489e-01,1.3117647e-02,4.2272836e-02]
4;10;10;[3.69056739e-04,1.22486325e-02,4.47351485e-03,5.51435631e-03,9.01145881e-07,4.57652565e-03,8.81675817e-03,8.10983870e-03,5.41955000e-03,7.27201812e-03,6.50000334e-01,5.14100352e-03,4.51605916e-02,6.68562017e-03,2.36211300e-01]
5;2;2;[3.2284562e-04,5.8989442e-04,9.2659324e-01,8.0863951e-04,1.1248732e-07,2.5863624e-03,1.0378924e-03,1.1385080e-03,8.7955053e-04,1.2709631e-03,4.0177971e-02,8.5793773e-04,2.0170828e-02,1.2966216e-03,2.2686038e-03]
6;0;0;[9.9932218e-01,1.1353880e-05,2.1211203e-04,1.7623579e-05,4.8353762e-08,2.1422227e-05,2.8362714e-05,8.5138945e-06,3.6007702e-06,2.2545446e-06,2.4340946e-04,8.0157188e-06,7.5806922e-05,6.5217878e-06,3.8878043e-05]
2;10;10;[2.0958530e-04,6.6865925e-03,5.4794303e-03,3.9718174e-03,2.3021370e-07,3.9605648e-04,8.9829008e-04,5.5161736e-04,3.6976911e-04,7.9203286e-04,8.0732399e-01,5.6421681e-04,1.1922909e-02,4.8988644e-04,1.6034354e-01]
3;2;2;[4.7662304e-04,6.5015245e-04,9.5184129e-01,4.0569910e-04,3.7724195e-07,9.9823950e-04,2.8508611e-04,5.0702138e-04,2.8372047e-04,5.8677210e-04,2.9024966e-02,4.1642864e-04,1.2523780e-02,6.9630222e-04,1.3035357e-03]
4;0;0;[9.99558747e-01,1.35600785e-05,1.66471844e-04,1.11536838e-05,1.20775582e-07,1.11826648e-05,1.34613929e-05,4.51030974e-06,1.68525889e-06,1.39504778e-06,1.56126989e-04,3.56673036e-06,3.32293421e-05,2.51111715e-06,2.21130649e-05]
