prefix_length;ground_truth;predicted;prediction_probs
2;12;10;[1.55620859e-04,6.01026812e-04,1.45381864e-03,1.04957381e-02,7.60124476e-06,3.15873331e-05,4.93264861e-06,1.34592156e-05,6.32987758e-06,1.01667465e-04,7.92816162e-01,2.87991861e-04,6.04624208e-03,8.37472908e-06,1.87969342e-01]
3;10;10;[2.07278688e-04,8.31972400e-04,5.46150049e-03,1.57619789e-02,2.08961465e-05,5.52965867e-05,1.51976155e-05,2.51849451e-05,5.57012681e-05,1.72751897e-03,5.90931833e-01,3.21144983e-03,4.82199676e-02,5.47989112e-05,3.33419412e-01]
4;2;2;[4.6696991e-04,2.2211391e-04,9.3254089e-01,1.6706297e-04,1.8628629e-05,2.0722347e-05,1.6000700e-05,1.2376446e-04,8.0555064e-06,3.2196168e-04,2.2008142e-02,6.6844783e-05,4.0186185e-02,3.3345077e-05,3.7992785e-03]
5;0;0;[9.9897790e-01,1.8790911e-06,7.6657016e-04,7.4578079e-06,8.8896599e-07,9.1661686e-06,1.4197997e-06,7.4321230e-07,1.0773541e-06,2.9084723e-07,9.4785479e-05,1.4685884e-06,9.1208996e-05,3.2247903e-05,1.2801361e-05]
2;1;12;[4.44533885e-04,2.38007292e-01,5.09262457e-03,5.24146250e-04,5.15794527e-05,9.89249820e-05,6.69073925e-05,1.15007526e-04,2.20914062e-05,7.52608103e-05,7.60548189e-02,8.94071709e-05,6.58367574e-01,1.50382721e-05,2.09748205e-02]
3;12;12;[5.05941745e-04,1.01125225e-01,3.33407987e-03,2.43828123e-04,5.36622974e-05,1.40143893e-04,4.72758547e-05,2.62491027e-04,2.49320437e-05,4.12735099e-04,8.17629471e-02,2.11178922e-04,7.79888868e-01,6.82830942e-05,3.19185033e-02]
4;10;10;[3.2738590e-04,3.0476198e-04,2.4015242e-03,9.7462982e-03,6.5744766e-06,4.1193791e-05,3.3909832e-06,2.7011039e-05,5.4577458e-06,3.3763880e-04,7.0676094e-01,6.0423731e-04,5.2055116e-03,1.0235265e-05,2.7421781e-01]
5;2;2;[1.03646459e-03,1.35970389e-04,9.26968813e-01,1.20993391e-04,1.73867884e-05,1.45204185e-05,1.90804712e-05,1.11632427e-04,9.12686664e-06,1.74167348e-04,2.41704285e-02,5.18200141e-05,4.34997976e-02,2.10078615e-05,3.64877470e-03]
6;0;0;[9.98455286e-01,2.84994871e-06,1.14227377e-03,1.27824915e-05,1.33243759e-06,1.22750198e-05,2.03533750e-06,1.53900783e-06,1.69248722e-06,5.31181968e-07,1.38349569e-04,3.10991572e-06,1.44859470e-04,6.26300971e-05,1.84973778e-05]
2;10;10;[1.5156486e-04,5.9674017e-04,1.4522328e-03,9.9936659e-03,6.7781120e-06,2.8514936e-05,4.5059392e-06,1.2481156e-05,5.7315910e-06,9.1861526e-05,7.9742438e-01,2.5654098e-04,5.9677009e-03,7.5842440e-06,1.8399966e-01]
