prefix_length;ground_truth;predicted;prediction_probs
2;3;5;[3.2623860e-04,1.4372378e-02,7.9984320e-03,2.6118597e-02,7.3213450e-05,7.3009032e-01,4.9980095e-04,1.6633442e-02,1.3902025e-02,3.3385981e-02,2.5221257e-02,2.7243443e-02,1.3493373e-02,2.5181834e-02,1.6240627e-02,3.0513881e-02,1.8705172e-02]
3;9;10;[6.8892917e-04,7.5845728e-03,1.0966654e-02,6.7947842e-02,4.8939917e-05,2.7325470e-03,1.0917030e-04,6.9019338e-04,2.3549655e-02,2.4589723e-01,6.2027317e-01,7.5605675e-03,2.7212335e-03,1.4408482e-03,2.1546877e-03,4.2333110e-04,5.2103829e-03]
4;10;10;[1.00001627e-04,1.77775009e-03,1.02097227e-03,1.32216588e-02,8.76227841e-06,6.38781190e-02,2.14195883e-04,1.20565186e-04,1.49719685e-03,5.11507643e-03,9.10803258e-01,5.67611889e-04,8.52066791e-04,1.42038974e-04,2.82438326e-04,1.01660546e-04,2.96624377e-04]
5;5;5;[1.38546098e-02,1.35743804e-02,1.10878367e-02,4.17901250e-03,5.36022162e-06,9.02809680e-01,1.07386368e-04,1.60332269e-03,3.62912081e-02,4.85287188e-03,5.64152468e-03,1.89611223e-04,2.81679980e-03,2.44703190e-03,2.82660563e-04,1.15916075e-04,1.40787408e-04]
6;8;8;[9.4517320e-03,2.2279127e-03,2.1954698e-02,3.0428809e-04,1.1745247e-05,1.2711329e-04,2.3861576e-06,3.8173102e-02,9.2365044e-01,8.8740815e-04,6.8155379e-04,1.9237255e-04,2.0221723e-03,1.7272144e-04,1.4292853e-05,4.9662387e-05,7.6428696e-05]
7;7;7;[5.69565629e-04,5.96097787e-04,7.86453113e-03,2.59196357e-04,5.46157253e-06,6.16685611e-06,1.26576588e-05,9.88845885e-01,7.63781660e-04,5.97035163e-04,2.00309165e-04,9.64425926e-05,1.07257154e-04,1.93671394e-06,3.81620839e-06,4.69636070e-05,2.29019679e-05]
8;2;2;[1.6367197e-01,6.7149512e-02,7.6048362e-01,1.8860068e-03,8.0117810e-05,2.2645155e-04,4.9060065e-04,1.5728909e-04,1.0024846e-03,1.5755850e-03,3.0319148e-03,1.1789567e-04,2.2285476e-05,5.2515011e-06,2.9887813e-06,2.8890281e-05,6.7187168e-05]
9;3;10;[1.3796641e-02,2.7981682e-02,1.6135828e-01,2.8284326e-01,3.4419623e-05,9.8575547e-05,7.4985716e-04,6.7175264e-05,1.1167204e-03,2.5190944e-02,4.4159359e-01,3.9998807e-02,4.3543153e-03,5.3825788e-04,1.1701978e-05,6.2900726e-05,2.0288443e-04]
10;3;10;[8.8319427e-04,6.0884614e-04,1.9816849e-03,3.7656676e-02,1.9272732e-06,1.1508083e-05,6.2672748e-06,1.0847755e-05,6.1954561e-05,3.8694453e-03,8.6047560e-01,9.1569066e-02,2.3084620e-03,2.6548907e-04,3.0075491e-05,2.8806709e-05,2.3017530e-04]
11;11;10;[7.1049756e-03,3.5520336e-03,8.0219107e-03,1.1298286e-01,2.5532177e-05,7.2879178e-05,3.2131262e-05,5.6637022e-05,9.7694015e-04,2.5090510e-03,4.8740804e-01,3.2034272e-01,3.1929504e-02,1.2400907e-02,5.9602377e-03,2.8676775e-03,3.7560987e-03]
