prefix_length;ground_truth;predicted;prediction_probs
2;3;5;[1.3059402e-02,2.6466839e-03,7.6460122e-04,3.8321640e-02,4.4386620e-03,8.6032259e-01,4.4885576e-03,6.9401570e-04,1.4200420e-02,1.8614646e-02,4.0382046e-02,3.0932925e-04,1.7234951e-06,2.3729563e-06,4.6369391e-06,1.3384086e-03,4.1028386e-04]
3;9;10;[7.9762358e-03,1.9178934e-03,4.7780131e-04,1.2792856e-02,2.2294988e-04,1.0869218e-02,2.4891636e-04,4.6451521e-04,2.0658923e-02,4.3482742e-01,5.0929767e-01,1.4232843e-04,1.1022917e-05,4.9278003e-07,1.2896606e-06,6.1852341e-05,2.8629116e-05]
4;10;10;[3.0483436e-03,7.5248221e-04,3.0655658e-04,3.0607264e-02,8.1366401e-05,2.3872780e-02,1.4908735e-03,7.0855260e-04,4.5194621e-03,1.0285625e-02,9.2342520e-01,2.2535447e-04,1.8215254e-05,3.2668071e-05,1.1593014e-05,5.9816946e-04,1.5518450e-05]
5;5;5;[3.16673308e-03,4.27680276e-03,5.80185000e-03,1.71335302e-02,3.03207089e-05,9.50634480e-01,5.08906844e-04,1.61781313e-03,1.01016415e-02,2.42420193e-03,3.75348562e-03,4.84816082e-05,1.22758875e-05,1.82096948e-04,2.04018179e-05,7.49819446e-05,2.11971332e-04]
6;8;8;[6.8483693e-03,3.8254645e-03,3.2080311e-02,1.1732531e-03,4.7349104e-06,4.0405476e-03,6.1084734e-06,2.1647170e-02,9.2712975e-01,1.7597303e-03,1.0920465e-03,1.2432327e-04,1.4660327e-05,7.0932452e-05,2.1824844e-06,9.5576365e-07,1.7939332e-04]
7;7;7;[1.1359869e-03,1.0582707e-03,3.2273338e-03,2.1859382e-04,2.6868045e-06,3.9768707e-05,2.5542927e-06,9.8936337e-01,3.2770333e-03,1.3348166e-03,2.6958520e-04,9.3591325e-06,3.4763121e-05,7.6163624e-06,6.1480063e-07,3.9079051e-08,1.7547722e-05]
8;2;2;[1.3261952e-01,5.6637473e-02,8.0268568e-01,2.6909495e-03,1.4429620e-05,2.8730075e-05,2.3400430e-04,8.1463164e-04,3.5977713e-04,7.9758529e-04,2.4405713e-03,1.7153083e-04,8.5921120e-06,1.1878608e-05,7.4117787e-07,1.6235389e-07,4.8365587e-04]
9;3;3;[1.6304558e-02,2.3559332e-02,2.1922435e-01,3.9167082e-01,8.0675854e-05,7.0937698e-05,4.9072085e-04,1.6750017e-04,4.5757339e-04,4.1044753e-02,2.6280218e-01,4.0769488e-02,2.9980091e-03,2.3005417e-04,2.5158368e-05,9.7260943e-07,1.0290415e-04]
10;3;10;[5.4298108e-03,1.6721088e-02,5.1523293e-03,9.0795353e-02,1.9390577e-06,2.8779593e-04,2.2558360e-04,2.8077641e-04,3.2109264e-04,1.6195663e-03,8.1608081e-01,6.1729211e-02,3.6294354e-04,8.3238046e-05,4.3939901e-05,3.0230615e-06,8.6153764e-04]
11;11;10;[3.6923397e-02,3.8322069e-02,1.0607114e-02,3.3759499e-01,1.8521587e-05,1.6541694e-03,1.1859905e-04,4.0969031e-04,2.0966064e-03,1.4660314e-03,4.1966394e-01,1.4100318e-01,1.9748139e-03,1.8887849e-03,4.1915415e-04,2.3181279e-05,5.8156890e-03]
12;0;0;[5.1410478e-01,4.4633406e-03,1.1233691e-03,1.8871680e-02,8.2596227e-05,1.2153220e-04,2.7241369e-05,1.6070931e-04,1.4343733e-04,8.0088875e-04,1.4524495e-02,1.6837237e-02,3.9505147e-04,3.1749816e-03,3.1517580e-04,3.6457677e-05,4.2481697e-01]
2;5;5;[1.1340162e-02,3.0865220e-03,1.4268630e-03,3.9991084e-02,4.9761902e-03,8.6962724e-01,6.7547415e-03,7.5825024e-04,8.7112673e-03,2.5208196e-02,2.6124010e-02,2.1376970e-04,1.3825786e-06,2.9340426e-06,6.4449446e-06,1.1981591e-03,5.7277776e-04]
3;8;10;[3.5582013e-02,7.2907666e-03,2.7278578e-03,2.2343606e-01,1.5714784e-04,1.9966040e-03,2.4833984e-04,1.2523734e-02,2.4211644e-01,1.7565976e-01,2.9568997e-01,1.0362000e-03,1.6186695e-04,6.9182579e-06,6.8901027e-06,1.1617868e-03,1.9757803e-04]
4;3;7;[1.1530927e-03,4.8387479e-03,2.2073905e-04,2.4266960e-01,6.9752955e-06,7.1563735e-04,1.8175362e-04,4.6430656e-01,4.4068792e-03,1.3340083e-01,1.4729579e-01,7.8648525e-05,4.0978557e-04,1.5853981e-05,8.7900698e-06,2.7204852e-04,1.8213152e-05]
5;10;9;[9.1923513e-03,2.2652398e-03,8.6603494e-04,3.0724060e-02,3.5677876e-06,4.3351725e-03,2.5994197e-04,1.0175612e-02,5.6363596e-04,5.4240048e-01,3.9866081e-01,2.7144721e-04,9.8562545e-05,1.3678183e-04,2.6104183e-06,1.0508154e-05,3.3188891e-05]
6;9;9;[8.4138745e-03,1.4127907e-03,4.2829416e-03,1.3042400e-02,1.5550793e-05,5.7882880e-04,7.2878254e-05,4.6689857e-02,5.6498046e-03,8.8868481e-01,2.5082732e-02,8.1097521e-04,4.1959123e-03,1.0329719e-03,1.7133872e-05,3.1422496e-06,1.3353409e-05]
7;7;7;[4.1529043e-03,1.9614715e-03,1.3741452e-02,1.3147333e-03,6.2528168e-05,4.7410201e-04,1.8111958e-04,9.5103240e-01,4.3955185e-03,4.1116560e-03,2.0543456e-03,1.6303305e-04,4.0982905e-04,1.5538559e-02,5.0088358e-05,7.2659524e-05,2.8357265e-04]
8;0;2;[8.63245875e-02,5.45968674e-02,8.31627131e-01,2.58896197e-03,2.01941555e-04,2.40502763e-04,4.66127414e-03,7.86927715e-03,1.49773480e-03,5.26530843e-04,2.48172157e-03,1.37959048e-03,8.99911829e-05,1.35253195e-03,1.05947984e-04,8.20083442e-05,4.37346986e-03]
2;5;5;[1.2749625e-02,2.6252707e-03,7.7268388e-04,3.7888452e-02,4.4651842e-03,8.6247396e-01,4.6356879e-03,7.1530201e-04,1.3734501e-02,1.8713927e-02,3.9155904e-02,2.9757858e-04,1.6530063e-06,2.4076937e-06,4.5705688e-06,1.3549416e-03,4.0834065e-04]
3;3;10;[4.08129580e-02,7.42093660e-03,2.20990949e-03,2.27434844e-01,1.04511346e-04,1.48837583e-03,2.09302947e-04,1.56461000e-02,2.33216107e-01,1.68077603e-01,3.01173478e-01,9.33904725e-04,1.85801764e-04,6.19839057e-06,5.24297093e-06,9.31565650e-04,1.43261073e-04]
4;10;10;[2.4037248e-02,3.0906312e-03,4.0569846e-03,3.3979129e-02,2.1320870e-05,9.0979761e-04,9.5631910e-04,5.0281854e-03,3.5951226e-03,3.8981596e-01,5.3395212e-01,2.5769570e-04,6.0658727e-05,4.3602970e-05,3.7607631e-06,1.3729060e-04,5.4079817e-05]
5;0;9;[1.07133359e-01,4.89413599e-03,2.46325672e-01,1.52790574e-02,2.44176103e-04,6.37666136e-03,5.99879422e-04,1.51752681e-02,1.12099595e-01,4.63967770e-01,2.26848368e-02,1.19347102e-03,1.53946108e-03,2.19994411e-03,7.02672041e-05,1.20098717e-04,9.63730854e-05]
2;5;5;[1.2491094e-02,3.4258580e-03,1.8693173e-03,4.2824995e-02,5.0407471e-03,8.6654878e-01,6.3680829e-03,6.2938710e-04,7.8212311e-03,2.7969481e-02,2.3109606e-02,2.0260521e-04,1.4530556e-06,2.8633560e-06,8.2175320e-06,9.6884428e-04,7.1743526e-04]
3;8;10;[3.4630932e-02,7.5466940e-03,3.0955707e-03,2.3752759e-01,1.5104789e-04,2.5049972e-03,2.1485849e-04,8.0418121e-03,2.3328286e-01,1.8824363e-01,2.8215709e-01,1.2016174e-03,1.2179964e-04,5.0738677e-06,7.7954328e-06,1.0282987e-03,2.3832162e-04]
4;9;7;[1.2221127e-03,4.9399021e-03,3.2320642e-04,2.5554499e-01,9.5321984e-06,7.7698997e-04,2.1130437e-04,4.3128568e-01,5.0083380e-03,1.4407744e-01,1.5575171e-01,9.5032941e-05,4.1581763e-04,1.5985061e-05,1.2974166e-05,2.8379550e-04,2.5206835e-05]
5;10;3;[2.7363922e-03,5.4575881e-04,9.5125266e-05,5.4721946e-01,5.1015090e-06,6.2047754e-04,7.1869064e-05,5.8345944e-03,4.5680424e-04,1.0636004e-02,4.3129912e-01,5.3296608e-05,1.0726775e-04,1.1954593e-04,1.3038525e-06,1.7641395e-04,2.1437576e-05]
6;3;3;[1.3393216e-03,5.5267022e-04,7.2555215e-04,9.6248561e-01,8.2412697e-07,1.1939663e-03,7.7640943e-05,6.7619868e-03,4.1709759e-04,3.5994521e-03,2.1532739e-02,6.6530825e-05,8.4012267e-05,1.0803611e-03,1.8077211e-06,1.5349886e-05,6.4933825e-05]
7;7;7;[1.8483842e-03,1.8503867e-03,7.1090707e-03,1.7149542e-03,2.2307538e-06,2.8595250e-04,1.7107724e-05,9.6894419e-01,1.4142411e-02,1.4197328e-03,1.4783998e-03,2.1778175e-04,3.0961044e-05,5.8562757e-04,1.3726823e-06,3.4426921e-06,3.4800294e-04]
8;2;2;[3.6680605e-02,7.7284276e-02,8.5878831e-01,4.4502812e-03,2.1411605e-04,2.1308042e-04,1.9347545e-03,7.2470247e-03,1.1477524e-03,6.6309876e-04,2.3029523e-03,9.7208546e-04,2.4195480e-05,6.1506691e-04,3.9293143e-05,3.8019778e-05,7.3851934e-03]
9;3;3;[3.2450765e-02,7.6956943e-02,1.6589937e-01,2.8324896e-01,1.4259823e-04,1.4013262e-04,7.2100297e-02,1.9923151e-04,8.7553833e-04,5.1568717e-02,2.6799631e-01,4.5236707e-02,1.4196400e-03,1.0179137e-03,4.5369707e-05,4.9207367e-05,6.5237714e-04]
10;11;10;[4.7419905e-03,1.2257538e-02,2.1896681e-03,7.8885287e-02,6.7441437e-07,2.6474058e-04,1.5406298e-03,1.5593530e-04,3.2421108e-04,1.8828835e-03,7.9802036e-01,9.8688081e-02,3.3537865e-05,1.5075863e-04,1.9060866e-05,2.6707397e-05,8.1792386e-04]
11;0;0;[5.75608373e-01,2.37423950e-03,2.59848777e-04,2.30440497e-02,2.52387217e-05,1.19302145e-04,1.10707457e-04,1.00414400e-04,1.29114764e-04,1.14831470e-04,4.29405598e-03,7.31657026e-03,3.87075852e-05,2.58325133e-03,1.12566515e-04,8.28626144e-05,3.83685827e-01]
2;5;5;[1.3388081e-02,3.4607996e-03,1.4520135e-03,4.1603405e-02,4.6009594e-03,8.6082882e-01,5.1231757e-03,6.1212090e-04,1.0570078e-02,2.6803421e-02,2.9589718e-02,2.5203917e-04,1.6136365e-06,2.4093360e-06,7.6513206e-06,1.0357832e-03,6.6793378e-04]
3;7;10;[3.78389731e-02,8.93136580e-03,2.64519709e-03,2.44009569e-01,1.16561125e-04,2.09167460e-03,1.76923611e-04,7.75306765e-03,2.33191207e-01,1.80507183e-01,2.80419856e-01,1.15035567e-03,1.16950505e-04,3.89775914e-06,5.68137239e-06,8.46671348e-04,1.94875058e-04]
4;3;3;[1.0907377e-02,8.0666151e-03,1.2695735e-02,5.3324854e-01,1.1146072e-03,1.3336592e-03,1.3225905e-02,1.8116051e-02,9.5813185e-02,9.3835697e-02,2.0555273e-01,2.6609676e-03,7.0526649e-04,5.1828338e-05,1.7638826e-04,1.9062673e-03,5.8917556e-04]
