prefix_length;ground_truth;predicted;prediction_probs
2;3;5;[9.4076793e-05,2.5007419e-05,9.2346701e-05,1.8885069e-02,7.7987816e-06,9.5050138e-01,4.1522104e-05,9.8612974e-05,2.4407888e-03,7.3687099e-03,2.0352107e-02,7.3614988e-06,3.0014999e-05,7.2025764e-06,3.1530551e-06,4.7860090e-06,4.0069208e-05]
3;9;10;[4.0692342e-03,1.5010233e-03,4.5659249e-03,7.4925949e-03,2.3835088e-05,7.5517949e-03,7.0493220e-04,2.0664860e-03,9.7937742e-03,2.4095866e-01,7.1365172e-01,2.9934656e-03,8.8361872e-04,4.4333978e-04,1.2892822e-03,1.5246632e-03,4.8570096e-04]
4;10;10;[1.2157731e-05,2.0170111e-04,7.6224940e-04,2.5217091e-03,1.7342041e-05,4.7342304e-02,1.9354242e-03,1.9246749e-04,6.0586759e-04,1.8895232e-03,9.4402808e-01,1.6775454e-04,9.4262003e-05,5.2687832e-05,5.2816522e-05,7.3767478e-05,4.9906823e-05]
5;5;5;[1.34323165e-03,1.09240669e-03,9.76680499e-03,1.41572184e-03,1.05291019e-05,9.65265930e-01,3.66835098e-04,3.40318866e-03,1.65569205e-02,1.12835616e-04,4.28543513e-04,6.53299066e-05,6.02946011e-06,1.59379269e-05,4.03395461e-05,1.59409046e-05,9.33858028e-05]
6;8;8;[7.1994215e-03,3.3700045e-03,3.4201588e-02,4.6736907e-04,1.8779281e-06,2.9696041e-04,4.4591070e-06,7.4185796e-02,8.7918246e-01,2.0896844e-04,6.0222927e-04,1.5885962e-04,3.6035747e-06,3.6888321e-07,9.3175740e-06,9.1398224e-06,9.7625416e-05]
7;7;7;[2.7275781e-04,5.1599700e-04,2.1860690e-03,3.7788437e-04,2.7504786e-06,3.4078690e-05,2.9102948e-06,9.9103689e-01,3.2834816e-03,9.0293412e-04,1.1708820e-03,9.4846095e-05,2.0762245e-05,1.1887417e-06,9.2244536e-06,8.1211698e-07,8.6439184e-05]
8;2;2;[2.2600891e-01,7.2941743e-02,6.9043005e-01,2.1116934e-03,1.5519437e-06,4.6973150e-06,3.4553089e-04,1.8826092e-04,4.8102153e-05,7.4288982e-04,6.4168666e-03,2.3231639e-04,1.7936833e-04,1.0870709e-05,2.0770333e-04,7.5193529e-05,5.4356238e-05]
9;3;10;[1.3436703e-02,1.8972848e-02,1.0990788e-01,3.4561369e-01,1.4010713e-07,2.9475170e-05,9.0067694e-04,1.0167416e-03,4.8383270e-04,1.9994708e-02,4.2940593e-01,5.3760126e-02,5.0877673e-03,9.2899153e-04,7.9510653e-05,2.3490522e-04,1.4607889e-04]
10;3;10;[1.37195899e-03,1.32535887e-03,2.20621773e-03,4.13658582e-02,6.92224589e-08,5.39626171e-06,2.70011651e-06,1.49416755e-05,1.51480081e-05,2.71102227e-03,9.04790938e-01,4.57958467e-02,3.32223790e-05,8.11358768e-05,9.44944259e-06,3.37306265e-05,2.37001310e-04]
11;11;3;[3.0149939e-03,2.8264895e-03,9.3240030e-03,4.1656846e-01,4.6599575e-06,1.5025595e-05,3.9711646e-05,6.0374856e-05,8.0918791e-05,4.1302343e-04,3.0368751e-01,2.5118333e-01,1.9919029e-03,6.2171509e-03,1.7726939e-03,3.3593591e-04,2.4637296e-03]
12;0;0;[5.5558032e-01,1.4924602e-05,2.1944190e-05,1.7105400e-03,4.8890659e-08,7.6232795e-06,2.5148163e-06,1.9124262e-05,2.5966601e-06,4.0400651e-06,5.9950392e-04,6.0613372e-04,8.9058212e-06,6.0586270e-05,5.2386411e-05,8.1131708e-05,4.4122770e-01]
2;5;5;[1.25386941e-04,2.67760224e-05,1.01059464e-04,3.68493013e-02,1.00372081e-05,9.11021948e-01,7.06866485e-05,8.14193700e-05,4.89653414e-03,2.40064822e-02,2.27327216e-02,4.57975875e-06,3.48378635e-05,1.36021554e-05,2.76796914e-06,4.06733170e-06,1.78114860e-05]
