prefix_length;ground_truth;predicted;prediction_probs
2;3;5;[7.4526164e-05,1.2214363e-02,1.0335962e-02,2.5593037e-02,1.7281107e-05,8.1078136e-01,9.4711140e-04,8.2425904e-03,2.4551088e-02,2.7412467e-02,1.9053698e-02,8.9501878e-03,6.8622297e-03,3.2012602e-03,2.3035619e-02,1.0478015e-02,8.2492558e-03]
3;9;10;[1.96168292e-03,4.31068009e-03,9.35839780e-04,3.48938517e-02,5.05045100e-05,3.93998763e-03,1.05937586e-04,7.21490802e-03,1.34111363e-02,3.50900620e-01,5.57534754e-01,2.45726900e-03,6.74471678e-03,5.25102252e-04,7.08751497e-04,1.28078451e-02,1.49635074e-03]
4;10;10;[1.1131613e-04,1.5413736e-04,5.0468126e-04,1.7365145e-02,7.8928097e-05,4.1845471e-02,1.1045802e-03,5.7632470e-04,2.7171012e-03,4.3226529e-02,8.8661915e-01,1.1440815e-03,1.3713000e-03,2.2897661e-04,1.6055576e-04,2.6688417e-03,1.2283148e-04]
5;5;5;[9.3723770e-04,1.6703382e-04,1.7425671e-03,1.0686808e-03,1.1341366e-06,9.8251843e-01,8.9982111e-04,1.3051436e-03,9.4534289e-03,7.6409552e-04,8.6658250e-04,7.7101096e-05,2.5542189e-05,8.3434443e-06,4.7765261e-05,9.9567202e-05,1.7424109e-05]
6;8;8;[7.6059294e-03,2.1477512e-03,3.6905132e-02,5.1038695e-04,9.0174899e-06,8.6926291e-04,2.0741601e-05,7.1909823e-02,8.7827367e-01,4.0124162e-04,4.4737180e-04,2.8880817e-04,2.8829466e-04,6.1488870e-05,1.1412637e-04,5.0876453e-05,9.6128606e-05]
7;7;7;[2.37140033e-04,3.34462820e-04,4.25713602e-03,3.15097190e-04,1.38587484e-05,4.17019282e-06,7.42787961e-06,9.92471814e-01,9.97705385e-04,2.80126842e-04,7.10828754e-04,1.21578261e-04,1.93207801e-04,1.19173565e-05,1.07352462e-05,1.47819255e-05,1.79320396e-05]
8;2;2;[1.82094157e-01,5.34324236e-02,7.46182740e-01,5.27125504e-03,2.23360476e-05,1.56024598e-05,8.11136924e-05,6.81964972e-04,6.51024515e-04,9.70191555e-04,6.40248926e-03,1.37050089e-03,1.21181860e-04,1.55000904e-04,8.85056448e-04,1.18135154e-04,1.54480513e-03]
9;3;10;[8.62201955e-03,1.18421689e-02,1.51179522e-01,3.57790977e-01,1.22724334e-04,3.27552334e-05,6.27087604e-04,1.12937305e-04,7.05797574e-04,1.37790293e-02,3.69232535e-01,7.84648135e-02,6.40078494e-03,4.45591577e-04,3.27270536e-04,1.74107379e-04,1.39883196e-04]
10;3;10;[5.9800583e-04,8.4516074e-04,5.9684757e-03,6.2293287e-02,8.0833242e-06,4.8731858e-05,1.6120540e-04,1.8207016e-04,2.7318389e-04,6.0329330e-03,8.1812662e-01,9.5611453e-02,3.4198372e-03,3.9152838e-03,1.8837018e-03,2.8267453e-04,3.4935086e-04]
11;11;10;[2.7793210e-03,2.2733351e-03,2.6545847e-02,1.3208735e-01,8.0612863e-06,6.5067630e-05,2.3623763e-04,1.8691971e-04,4.1446704e-04,6.3308403e-03,5.4759848e-01,2.6096484e-01,1.2964646e-03,7.2981515e-03,9.2824679e-03,4.9673906e-04,2.1353858e-03]
12;0;0;[6.8453348e-01,4.1275955e-04,4.0953353e-05,1.0026456e-03,3.2056334e-07,3.9817501e-06,1.5886292e-06,1.5187319e-05,3.0984063e-06,1.0516448e-05,1.4102712e-03,2.5943073e-03,4.1161897e-05,3.2299809e-04,1.5354727e-03,1.2242701e-04,3.0794886e-01]
2;5;5;[7.0675735e-05,8.1448117e-03,6.4542354e-03,2.7820200e-02,1.0788264e-05,8.6502123e-01,1.1257030e-03,3.5677580e-03,1.6145449e-02,2.2717733e-02,1.9508073e-02,4.4255937e-03,3.2143784e-03,1.6884299e-03,1.0870598e-02,5.5783424e-03,3.6360694e-03]
3;8;3;[3.9822470e-02,4.0978473e-03,3.7727293e-03,2.8355375e-01,4.3746772e-05,1.5759596e-03,3.5626080e-04,1.6352542e-02,2.2212738e-01,1.4094722e-01,2.7087960e-01,1.2327606e-03,3.4611365e-03,3.4809783e-03,1.6682177e-03,2.2195955e-03,4.4078385e-03]
4;3;7;[5.6022334e-05,1.9238597e-04,1.1772730e-03,1.4651108e-01,4.1996560e-04,3.2485934e-04,4.9233570e-04,6.1232311e-01,2.8376880e-03,9.2124380e-02,1.3852935e-01,2.3580967e-03,1.6250729e-03,2.9475772e-04,6.2368228e-05,4.1557549e-04,2.5559243e-04]
5;10;10;[1.08068692e-03,7.39043899e-05,8.35309562e-04,8.60827137e-03,1.08135035e-04,8.18614353e-05,3.21180065e-04,1.21063460e-03,2.39041343e-04,3.55846375e-01,6.30199015e-01,2.03934556e-04,1.70676052e-04,1.00541882e-04,2.64313567e-05,7.77938054e-04,1.16092531e-04]
6;9;9;[4.4550118e-03,1.8198474e-04,3.4847111e-03,8.2975663e-03,1.3315456e-04,9.7872398e-04,3.9131450e-04,7.5484342e-03,3.8731920e-03,9.4727212e-01,2.2573769e-02,4.2759586e-04,3.3537668e-05,4.7079189e-05,3.9856182e-05,2.4406468e-04,1.7820861e-05]
7;7;7;[6.5876532e-04,6.3976354e-04,1.3610284e-02,1.5411562e-03,6.7161127e-05,3.9233352e-04,7.4849063e-06,9.7194135e-01,3.2512518e-03,2.5533340e-03,4.8378576e-03,3.1484978e-04,6.8160763e-05,3.9269413e-05,7.1552777e-06,4.1327396e-05,2.8357083e-05]
8;0;2;[1.88103765e-01,6.17556497e-02,7.39580631e-01,1.63309730e-03,2.16377157e-05,1.10955325e-05,1.08735243e-04,3.41482693e-04,1.81664934e-03,1.16953428e-03,2.73320498e-03,1.12228980e-03,2.82435449e-05,4.69278166e-05,1.50559339e-04,1.06718391e-04,1.26986019e-03]
2;5;5;[7.45000070e-05,1.22613069e-02,1.02683315e-02,2.56233886e-02,1.64394678e-05,8.13718617e-01,9.30950453e-04,7.82899279e-03,2.39909664e-02,2.69722063e-02,1.89170595e-02,8.81948136e-03,6.60007680e-03,3.14862444e-03,2.26120241e-02,1.04149263e-02,7.80211156e-03]
3;3;3;[2.48505529e-02,7.80699728e-03,5.06243249e-03,3.20556641e-01,5.55019542e-05,2.21493724e-03,1.99781964e-04,2.80137993e-02,1.72717169e-01,1.21077076e-01,2.76939124e-01,2.60788715e-03,9.45319422e-03,6.76150806e-03,4.61090216e-03,5.94253512e-03,1.11299623e-02]
4;10;10;[1.8746291e-03,7.5571117e-04,2.7831248e-03,4.1360777e-02,8.8085108e-05,1.9301743e-04,2.0158975e-04,1.0602918e-02,4.0474809e-03,3.0305779e-01,6.2126929e-01,1.4548353e-03,6.2409975e-03,2.1734561e-03,2.6156983e-04,2.8899461e-03,7.4479432e-04]
5;0;0;[3.7405083e-01,2.6851015e-03,1.0715608e-01,2.1082643e-02,1.2963038e-04,4.8987665e-03,1.1005739e-03,2.1937763e-02,7.6490730e-02,3.6234742e-01,1.8469371e-02,3.7557851e-03,7.5395103e-04,6.6296896e-04,1.7043616e-03,2.1961113e-03,5.7800399e-04]
2;5;5;[6.1686806e-05,5.1228907e-03,3.9847963e-03,2.9102461e-02,9.9777890e-06,8.8893253e-01,1.2243921e-03,2.6043479e-03,1.1627071e-02,1.9919490e-02,1.9526688e-02,2.5991148e-03,2.1533810e-03,9.9330710e-04,6.2255170e-03,3.2454471e-03,2.6668888e-03]
3;8;3;[5.0648417e-02,2.4434449e-03,2.5184115e-03,2.6565328e-01,3.3390301e-05,1.0873148e-03,3.9706891e-04,1.0422735e-02,2.3561166e-01,1.5946786e-01,2.6236421e-01,6.7679648e-04,1.9593218e-03,1.9915258e-03,9.0273103e-04,1.2712283e-03,2.5505763e-03]
4;9;7;[7.5578551e-05,1.1056027e-04,9.6178293e-04,1.7037684e-01,4.5223034e-04,3.2525515e-04,6.2774384e-04,5.4314506e-01,3.1079191e-03,1.0727360e-01,1.7020306e-01,1.5922219e-03,1.0301308e-03,1.8688488e-04,4.0779425e-05,3.0836402e-04,1.8205131e-04]
5;10;10;[8.6835993e-05,1.1650598e-04,5.2750984e-04,3.4040383e-01,5.1000017e-05,2.4709073e-04,4.1910907e-04,4.1891501e-04,2.1017528e-04,1.5645089e-02,6.4048702e-01,2.0408610e-04,3.4704930e-04,9.1512637e-05,6.2018880e-05,6.6511502e-04,1.7259657e-05]
6;3;3;[1.1690565e-03,1.9624953e-03,4.4066794e-03,9.1577643e-01,1.3467697e-05,2.2704981e-03,1.2152207e-03,1.2127734e-02,9.8212343e-03,2.7983123e-02,2.1007348e-02,7.4192387e-04,5.1424780e-04,1.2248843e-04,6.1010429e-05,7.4985053e-04,5.7201778e-05]
7;7;7;[9.75558825e-04,8.55661638e-04,1.26182418e-02,7.98650086e-04,1.09729335e-05,4.75121196e-05,1.20074355e-05,9.68059361e-01,1.12661868e-02,3.11945798e-03,1.50617119e-03,4.69286373e-04,1.00348807e-04,4.51451633e-05,1.05418749e-05,3.87616601e-05,6.61537997e-05]
8;2;2;[1.0241292e-01,9.0397127e-02,7.9280555e-01,3.4638161e-03,1.5509866e-05,9.1995762e-06,1.1662391e-04,5.4919749e-04,2.0306360e-03,8.2066638e-04,4.9922923e-03,1.1770445e-03,4.4129887e-05,5.7207308e-05,2.7476257e-04,8.3256622e-05,7.5009465e-04]
9;3;3;[8.8363942e-03,2.2825453e-02,1.4153099e-01,4.3987483e-01,1.7717514e-04,2.0403588e-05,7.7081280e-04,4.6146070e-05,8.0550241e-04,1.7360123e-02,3.0948046e-01,5.2342881e-02,4.8213699e-03,5.0561264e-04,2.1272434e-04,2.5770301e-04,1.3138761e-04]
10;11;10;[7.0415152e-04,1.9427160e-03,7.3798345e-03,5.3052802e-02,1.2339836e-05,4.3873821e-05,2.2383430e-04,1.2038849e-04,2.2023296e-04,7.3386030e-03,8.6146486e-01,5.9083048e-02,2.3644711e-03,3.6744683e-03,1.5909318e-03,3.1640226e-04,4.6692774e-04]
11;0;0;[6.4086014e-01,4.1260617e-04,3.9046423e-05,9.9433295e-04,2.7734040e-07,4.9206760e-06,3.1150519e-06,1.6632388e-05,3.7776988e-06,1.5707901e-05,1.2529405e-03,1.9240311e-03,2.7125734e-05,1.5406500e-04,7.1532390e-04,8.4783489e-05,3.5349107e-01]
2;5;5;[6.3412983e-05,5.3374134e-03,4.7764909e-03,2.7749823e-02,1.1784917e-05,8.7906474e-01,1.2529340e-03,3.6966987e-03,1.4747664e-02,2.1155169e-02,1.9307552e-02,3.2060188e-03,2.7327333e-03,1.1860058e-03,8.2080336e-03,3.7786779e-03,3.7248184e-03]
3;7;10;[4.8262533e-02,2.5616854e-03,2.4023168e-03,2.6581359e-01,3.1323925e-05,1.0127310e-03,3.0473861e-04,1.1328208e-02,2.3011239e-01,1.5753692e-01,2.6885051e-01,8.2164351e-04,2.5630577e-03,2.1850138e-03,1.1158510e-03,1.5478058e-03,3.5496575e-03]
