prefix_length;ground_truth;predicted;prediction_probs
2;3;5;[4.4606728e-05,9.7253424e-06,1.0146920e-04,2.2286519e-02,1.7091728e-04,9.2687774e-01,1.7641275e-04,1.6740154e-04,9.3612084e-03,1.2508506e-02,2.8227065e-02,1.7988077e-05,1.5963819e-06,3.1519262e-06,2.4118663e-05,8.7729195e-06,1.2743747e-05]
3;9;10;[1.5271199e-03,6.6222361e-05,1.5932892e-04,5.9995875e-03,9.5199409e-04,6.6002035e-03,2.5961064e-03,1.7488148e-04,8.1180446e-03,4.4403833e-01,5.2966779e-01,5.0525345e-05,7.5696603e-06,1.1671731e-05,1.0983614e-05,2.0237060e-06,1.7569433e-05]
4;10;10;[3.7332600e-05,4.1072206e-05,7.5020536e-05,5.3480817e-03,6.8341513e-05,8.1290916e-02,2.1389432e-02,7.9784506e-05,5.4347527e-04,5.1372834e-03,8.8596171e-01,2.1951371e-05,2.3809012e-06,1.2942598e-06,4.7507336e-07,4.6593530e-07,9.3763691e-07]
5;5;5;[5.4795314e-03,1.6795063e-02,3.4784537e-02,4.0227114e-03,4.3331715e-05,8.8376981e-01,2.3256349e-03,3.7413565e-03,4.4667166e-02,2.8051184e-03,1.4413673e-03,1.3045876e-05,1.1384644e-05,5.4859311e-06,3.3191336e-05,2.8040740e-05,3.3157710e-05]
6;8;8;[1.1416606e-02,3.5258885e-02,5.2804276e-02,4.9064105e-04,1.7227458e-05,6.9861091e-04,1.2602862e-04,2.1523766e-02,8.7448388e-01,4.8418462e-04,1.8027949e-03,1.1196535e-04,5.3402543e-04,1.3741477e-05,9.6780837e-05,6.5102919e-05,7.1429728e-05]
7;7;7;[1.4608719e-03,4.1668373e-03,6.1033908e-03,2.4660502e-04,3.5529734e-05,2.4686294e-04,1.7713034e-04,9.8302865e-01,1.8407080e-03,6.8739802e-04,5.3520902e-04,4.8594062e-05,1.2042198e-03,3.3812659e-05,2.2170167e-05,4.3327505e-05,1.1864215e-04]
8;2;2;[1.7608258e-01,1.2792182e-01,6.6679060e-01,7.2480901e-03,1.8633833e-05,1.7782659e-04,2.9146345e-03,1.7553740e-04,1.4637824e-03,1.9378673e-03,1.4308881e-02,6.1561895e-04,6.4448446e-05,1.0338627e-04,1.1184668e-05,1.8262439e-06,1.6330242e-04]
9;3;10;[7.12120067e-03,4.83972467e-02,1.03467636e-01,2.80736744e-01,5.36485786e-05,4.15447692e-04,3.33189475e-03,3.99805431e-04,2.63663568e-03,4.93587442e-02,4.07503754e-01,7.42323771e-02,1.69854518e-02,4.68931021e-03,2.26422140e-04,1.05946410e-05,4.33125882e-04]
10;3;10;[1.0090816e-03,1.4479281e-03,6.0275970e-03,4.8005462e-02,2.1138753e-06,2.5858206e-04,2.4316791e-05,1.0581113e-04,2.8699386e-04,3.9364076e-03,8.0059636e-01,1.3534670e-01,1.4361473e-03,8.5763307e-04,1.8054142e-04,2.4033732e-06,4.7587993e-04]
11;11;10;[1.74007528e-02,1.03388457e-02,5.40475622e-02,2.19972834e-01,5.26071017e-05,6.42616488e-03,1.15996576e-04,9.47363616e-04,9.44280589e-04,6.54755626e-03,4.36378688e-01,2.14440659e-01,2.63224728e-03,1.65642034e-02,2.80229747e-03,3.05257068e-04,1.00827226e-02]
12;0;16;[4.6141711e-01,2.0840125e-04,7.4404970e-06,2.7188942e-05,1.9223409e-05,6.5305007e-06,9.3340141e-06,5.5494197e-06,6.8856802e-06,2.7466040e-06,3.6185829e-05,4.1784817e-05,2.0455915e-05,1.7278430e-04,4.5090503e-05,1.9661495e-05,5.3795367e-01]
2;5;5;[4.5212564e-05,9.0705225e-06,1.2675644e-04,2.4792364e-02,1.5163150e-04,9.2783087e-01,1.7378968e-04,1.4954813e-04,8.7668747e-03,1.5189072e-02,2.2701060e-02,2.0145781e-05,1.1290671e-06,2.0212162e-06,2.0489802e-05,7.1844524e-06,1.2783778e-05]
3;8;8;[2.32050810e-02,5.69229051e-05,2.92890822e-03,2.37965778e-01,5.38628992e-05,6.09357026e-04,1.10088724e-04,1.67422649e-02,2.68761247e-01,1.99253902e-01,2.49934927e-01,2.39702043e-04,1.71958945e-05,8.40250505e-06,2.25447166e-05,1.06621894e-06,8.88202339e-05]
4;3;7;[7.7000157e-05,6.7264850e-06,1.0245516e-04,2.2280610e-01,6.5609267e-05,3.8507624e-04,1.4155812e-04,5.1574081e-01,5.5513944e-04,1.1022303e-01,1.4963351e-01,2.1956630e-04,1.3182951e-05,3.6558226e-06,4.7453550e-06,9.4149760e-07,2.0924914e-05]
5;10;10;[2.0209103e-04,1.8009170e-05,1.6303068e-04,3.7531224e-03,8.3940449e-07,1.4824963e-03,1.2526129e-04,1.4624007e-03,5.7392568e-05,3.8211340e-01,6.1057621e-01,3.6929905e-05,2.3814705e-06,1.0338803e-06,2.2278687e-07,8.0125901e-08,5.1998641e-06]
6;9;9;[2.09521456e-03,2.71804340e-04,4.05572867e-03,1.18208891e-02,7.86859800e-07,6.83094782e-04,2.07304711e-05,1.02190495e-01,9.92258266e-03,8.38213027e-01,3.06456164e-02,5.03298397e-05,1.91815689e-05,3.05197341e-06,6.20138223e-07,1.64048845e-06,5.10950485e-06]
7;7;7;[2.1371220e-03,2.4158750e-03,2.4449117e-02,1.8861693e-03,1.2246106e-05,7.9229544e-04,6.6375171e-05,9.6133131e-01,2.2575273e-03,3.2453935e-03,7.6650328e-04,8.5634114e-05,4.3839225e-04,3.6031564e-05,2.4254436e-05,6.8986383e-06,4.8923030e-05]
8;0;2;[1.1341190e-01,5.9114601e-02,8.1398404e-01,4.7025122e-03,3.9319580e-06,6.2113191e-05,7.8467565e-04,1.6346599e-04,7.6199113e-04,9.1479154e-04,5.6754509e-03,2.8764404e-04,3.1152453e-05,5.6558321e-05,7.0671636e-06,5.9687829e-07,3.7464852e-05]
2;5;5;[4.3646465e-05,9.6550129e-06,1.0105952e-04,2.2469711e-02,1.7282709e-04,9.2795116e-01,1.7660375e-04,1.6842104e-04,9.1263624e-03,1.2277274e-02,2.7436385e-02,1.7659573e-05,1.5167805e-06,3.0686599e-06,2.3430213e-05,8.6433565e-06,1.2575602e-05]
