case:concept:name,concept:name,time:timestamp
2742737,25,2011-05-31 22:00:00
2742737,27,2011-06-16 10:17:11
2742737,28,2011-06-16 10:17:14
2742737,31,2011-06-16 10:17:16
2742737,32,2011-06-16 10:17:17
2742737,33,2011-06-16 10:17:22
2742737,34,2011-06-16 10:17:24
2760925,25,2010-10-04 22:00:00
2760925,27,2010-10-07 12:57:14
2771451,25,2010-10-05 22:00:00
2771451,59,2010-10-18 22:00:00
2771451,30,2010-11-17 23:00:00
2771451,252,2010-11-17 23:00:00
2771451,255,2010-11-21 23:00:00
2771451,38,2010-11-23 23:00:00
2771451,42,2010-11-24 23:00:00
2771451,59,2010-11-25 23:00:00
2771451,27,2010-11-30 15:21:56
2771451,28,2010-11-30 15:22:02
2771451,29,2010-11-30 15:22:26
2771451,31,2010-11-30 15:22:44
2771451,34,2010-11-30 15:50:14
2771451,37,2010-11-30 15:50:30
2771451,209,2010-11-30 15:50:50
2771451,42,2010-11-30 15:50:56
2771451,51,2010-11-30 15:51:22
2771451,32,2010-11-30 15:51:36
2771451,196,2010-11-30 15:51:49
2771451,46,2010-11-30 15:52:23
2771451,50,2010-11-30 15:52:28
2771451,55,2010-11-30 15:53:02
2771451,58,2010-11-30 15:53:04
2771451,68,2010-11-30 15:53:24
2771451,249,2010-11-30 15:54:00
2771451,251,2010-11-30 15:54:10
2771451,254,2010-11-30 15:55:36
2771451,281,2010-12-01 09:52:59
2771451,51,2010-12-01 09:53:03
2771451,46,2010-12-01 09:53:11
2771451,50,2010-12-01 09:53:14
2771451,55,2010-12-01 09:53:19
2771451,58,2010-12-01 09:53:21
2771451,68,2010-12-01 09:54:00
2771451,69,2010-12-01 09:54:00
2771451,78,2010-12-01 09:54:05
2771451,73,2010-12-01 09:54:08
2771451,77,2010-12-01 09:54:12
2771451,285,2010-12-01 09:54:17
2771451,88,2010-12-01 09:54:19
2771451,87,2010-12-01 09:54:19
2771451,89,2010-12-01 09:54:22
2771451,96,2010-12-01 09:54:39
2771451,114,2010-12-01 09:54:45
2771451,115,2010-12-01 09:54:47
2771451,116,2010-12-01 09:54:47
2771451,119,2010-12-05 23:00:00
2771451,139,2010-12-05 23:00:00
2771451,118,2010-12-06 08:06:21
2771451,135,2010-12-06 08:09:03
2771451,138,2010-12-06 09:00:26
2771451,147,2010-12-06 09:03:59
2771451,148,2010-12-14 23:00:00
2782209,25,2010-10-05 22:00:00
2782209,27,2010-10-12 07:54:56
2782209,28,2010-10-12 07:56:10
2782209,31,2010-10-12 07:56:15
2782209,34,2010-10-12 07:56:28
2782209,38,2010-10-17 22:00:00
2782209,37,2010-10-18 13:56:37
2782209,32,2010-10-18 13:56:54
2782209,42,2010-10-18 13:57:23
2782209,42,2010-10-26 22:00:00
2782209,46,2010-11-15 08:03:28
2782209,51,2010-11-15 08:04:27
2782209,196,2010-11-15 08:04:43
2782209,209,2010-11-15 08:05:04
2782209,50,2010-11-15 08:20:23
2782209,55,2010-11-15 10:47:28
2782209,58,2010-11-15 10:53:09
2782209,68,2010-11-15 10:54:18
2782209,69,2010-11-15 10:54:19
2782209,78,2010-11-15 10:54:26
2782209,73,2010-11-15 10:54:34
2782209,77,2010-11-15 10:54:39
2782209,285,2010-11-15 10:55:18
2782209,87,2010-11-15 10:56:17
2782209,88,2010-11-15 10:56:18
2782209,89,2010-11-15 10:56:23
2782209,96,2010-11-15 11:06:58
2782209,114,2010-11-15 11:07:03
2782209,115,2010-11-15 11:07:07
2782209,116,2010-11-15 11:07:09
2782209,118,2010-11-15 11:20:39
2782209,119,2010-11-15 23:00:00
2782209,135,2010-11-16 09:58:25
2782209,138,2010-11-16 10:30:00
2782209,147,2010-11-16 10:38:31
2782209,59,2010-11-17 23:00:00
2782209,139,2010-11-18 23:00:00
2782209,148,2010-11-23 23:00:00
2783345,25,2010-10-06 22:00:00
2783345,42,2010-10-10 22:00:00
2783345,38,2010-10-10 22:00:00
2783345,59,2010-10-10 22:00:00
2783345,59,2010-10-18 22:00:00
2783345,252,2010-11-16 23:00:00
2783345,255,2010-11-23 23:00:00
2783345,27,2010-12-01 09:27:11
2783345,28,2010-12-01 09:27:17
2783345,31,2010-12-01 09:27:23
2783345,34,2010-12-01 09:27:30
2783345,37,2010-12-01 09:27:32
2783345,209,2010-12-01 09:27:48
2783345,42,2010-12-01 09:27:52
2783345,46,2010-12-01 09:28:03
2783345,50,2010-12-01 09:28:06
2783345,51,2010-12-01 09:28:14
2783345,55,2010-12-01 09:28:21
2783345,58,2010-12-01 09:28:25
2783345,68,2010-12-01 09:30:11
2783345,249,2010-12-01 09:30:35
2783345,251,2010-12-01 09:30:39
2783345,254,2010-12-01 09:33:03
2783345,281,2010-12-01 09:36:08
2783345,51,2010-12-01 09:36:21
2783345,46,2010-12-01 09:36:39
2783345,50,2010-12-01 09:36:43
2783345,55,2010-12-01 09:36:55
2783345,58,2010-12-01 09:37:01
2783345,68,2010-12-01 09:37:29
2783345,69,2010-12-01 09:37:29
2783345,78,2010-12-01 09:37:35
2783345,73,2010-12-01 09:37:45
2783345,77,2010-12-01 09:37:49
2783345,285,2010-12-01 09:37:57
2783345,88,2010-12-01 09:38:00
2783345,87,2010-12-01 09:38:00
2783345,89,2010-12-01 09:38:04
2783345,196,2010-12-01 09:38:28
2783345,32,2010-12-01 09:38:34
2783345,96,2010-12-01 09:38:59
2783345,114,2010-12-01 09:39:05
2783345,115,2010-12-01 09:39:10
2783345,116,2010-12-01 09:39:10
2783345,119,2010-12-05 23:00:00
2783345,139,2010-12-05 23:00:00
