case:concept:name,concept:name,time:timestamp
3,0,2010-10-29 10:14:06
3,11,2010-11-03 16:16:11
3,9,2010-11-03 16:21:17
3,1,2010-11-30 11:20:18
4,0,2010-12-15 14:31:53
4,11,2010-12-16 08:01:07
4,9,2010-12-16 08:08:19
4,1,2011-02-12 14:40:42
6,0,2011-10-25 15:13:58
6,11,2011-10-25 15:58:55
6,9,2011-10-26 09:54:46
6,1,2011-12-10 16:20:56
9,5,2010-05-07 13:02:21
9,0,2010-05-07 13:02:34
9,11,2010-05-24 10:26:28
9,9,2010-05-25 15:35:44
9,1,2010-06-09 15:35:56
10,0,2010-02-10 08:50:20
10,11,2010-03-19 08:47:06
10,9,2010-03-19 08:47:13
10,1,2010-04-03 07:47:38
11,0,2011-12-21 15:24:41
11,11,2011-12-21 15:25:34
11,9,2011-12-22 09:55:43
11,1,2012-01-21 15:30:31
14,0,2011-07-05 13:47:08
14,11,2011-07-05 13:47:22
14,9,2011-07-05 13:52:37
14,1,2011-08-05 13:50:21
16,0,2012-02-22 14:16:52
16,11,2012-02-22 16:14:07
16,11,2012-02-22 16:23:57
16,9,2012-02-23 09:47:38
16,1,2012-03-24 14:20:19
17,0,2011-10-14 07:10:47
17,11,2011-11-02 16:17:52
17,9,2011-11-09 13:31:37
17,1,2011-11-24 15:57:55
19,0,2010-07-07 07:54:04
19,11,2010-07-09 10:10:52
19,9,2010-07-09 10:11:18
19,1,2010-08-07 08:00:22
21,0,2011-01-14 15:15:21
21,11,2011-01-27 08:06:37
21,9,2011-01-27 10:19:15
21,1,2011-02-26 10:19:37
24,0,2010-04-27 09:49:56
24,11,2010-06-08 11:06:56
24,9,2010-06-08 14:46:16
24,1,2010-06-23 14:46:28
25,0,2010-12-30 09:27:17
25,11,2010-12-30 13:14:04
25,9,2010-12-30 15:16:35
25,1,2011-02-16 09:30:28
26,0,2011-03-31 07:28:47
26,11,2011-03-31 07:31:59
26,13,2011-03-31 08:39:41
26,11,2011-03-31 11:00:28
26,9,2011-03-31 11:00:41
26,1,2011-05-05 09:50:46
27,0,2011-11-24 14:02:16
27,11,2011-11-24 14:02:35
27,9,2011-12-12 09:04:47
27,1,2011-12-27 09:05:04
30,0,2011-01-21 09:47:20
30,11,2011-02-07 09:19:45
30,9,2011-02-10 09:01:20
30,1,2011-02-25 09:01:35
32,0,2011-04-27 07:38:44
32,11,2011-04-27 12:46:13
32,9,2011-04-28 08:18:08
32,1,2011-06-04 07:40:30
35,0,2012-01-18 08:15:30
35,9,2012-01-18 09:46:37
35,1,2012-03-10 08:20:43
36,0,2011-06-29 10:06:48
36,11,2011-06-30 12:58:23
36,9,2011-07-05 07:32:43
36,1,2011-07-30 10:10:20
37,0,2011-02-10 11:13:07
37,11,2011-02-10 11:13:33
37,9,2011-02-10 15:20:02
37,9,2011-03-02 13:23:58
37,11,2011-03-02 13:24:07
37,13,2011-03-02 15:27:52
37,11,2011-03-04 09:37:50
37,9,2011-03-04 09:37:55
37,1,2011-04-03 08:38:21
38,0,2012-03-20 07:57:45
38,11,2012-03-20 07:58:15
38,9,2012-03-20 08:18:56
38,1,2012-04-21 16:00:36
41,0,2010-12-14 10:44:26
41,11,2010-12-14 10:44:57
41,9,2010-12-14 10:45:12
41,1,2011-01-27 10:50:31
42,0,2011-06-16 12:23:39
42,11,2011-06-16 12:51:05
42,9,2011-06-16 13:39:51
42,1,2011-07-30 12:30:33
44,0,2010-11-29 16:09:19
44,11,2010-11-29 16:19:59
44,9,2010-11-29 16:20:51
44,1,2010-12-31 16:10:28
45,0,2012-01-20 14:08:14
45,11,2012-01-25 11:46:19
45,9,2012-03-02 10:40:59
45,1,2012-03-17 10:41:18
47,0,2011-05-25 09:48:18
47,11,2011-05-25 09:48:43
47,9,2011-05-30 15:04:34
47,1,2011-07-01 09:50:37
48,5,2010-12-01 13:42:59
48,0,2010-12-02 14:07:33
48,11,2010-12-02 14:07:41
48,9,2010-12-02 14:08:33
48,1,2011-01-01 14:08:51
49,0,2011-11-25 14:33:54
49,11,2011-11-25 14:47:48
49,13,2011-11-29 14:47:35
49,9,2011-12-02 16:25:57
49,1,2012-01-07 16:20:26
50,0,2012-01-16 10:53:01
