case:concept:name,concept:name,time:timestamp
82,3,2014-02-09 18:29:29
82,5,2014-02-09 19:05:23
82,4,2014-02-09 19:05:33
82,9,2014-02-09 19:06:00
82,2,2014-02-09 19:06:00
82,7,2014-02-09 19:07:12
82,6,2014-02-09 19:07:19
82,1,2014-02-09 21:53:46
82,1,2014-02-11 07:14:11
82,9,2014-02-11 07:57:00
82,2,2014-02-11 07:57:00
82,9,2014-02-14 07:00:00
82,2,2014-02-14 07:00:00
82,10,2014-02-15 09:00:00
123,3,2014-07-10 09:52:00
123,5,2014-07-10 10:06:24
123,4,2014-07-10 10:16:54
123,2,2014-07-10 10:50:00
123,8,2014-07-10 10:50:00
123,9,2014-07-10 10:50:00
123,7,2014-07-10 10:56:57
123,6,2014-07-10 10:57:05
123,1,2014-07-10 12:07:02
123,9,2014-07-12 06:00:00
123,2,2014-07-13 06:00:00
123,10,2014-07-15 16:00:00
123,15,2014-07-28 15:36:41
205,3,2014-05-07 16:56:57
205,5,2014-05-07 16:57:49
205,4,2014-05-07 16:58:08
205,9,2014-05-07 17:11:00
205,2,2014-05-07 17:11:00
205,8,2014-05-07 17:11:00
205,6,2014-05-07 20:01:28
205,7,2014-05-07 20:01:28
205,1,2014-05-07 20:03:00
205,10,2014-05-09 09:00:00
287,3,2014-03-11 08:50:02
287,5,2014-03-11 08:51:06
287,4,2014-03-11 08:51:26
287,2,2014-03-11 09:22:00
287,8,2014-03-11 09:22:00
287,9,2014-03-11 09:22:00
287,0,2014-03-11 12:54:26
287,1,2014-03-12 06:00:00
287,2,2014-03-13 06:00:00
287,9,2014-03-15 06:00:00
287,2,2014-03-15 06:00:00
287,1,2014-03-15 10:36:15
287,11,2014-03-16 00:00:00
328,3,2013-11-09 08:21:03
328,5,2013-11-09 08:34:28
328,4,2013-11-09 08:34:41
328,6,2013-11-09 08:34:56
328,9,2013-11-09 08:42:00
328,2,2013-11-09 08:42:00
328,8,2013-11-09 08:42:00
328,1,2013-11-09 09:56:59
328,9,2013-11-11 07:00:00
328,2,2013-11-11 07:00:00
328,10,2013-11-16 12:05:00
369,3,2014-01-02 15:45:45
369,5,2014-01-02 15:47:18
369,4,2014-01-02 15:55:51
369,2,2014-01-02 15:57:00
369,9,2014-01-02 15:57:00
369,8,2014-01-02 15:57:00
369,7,2014-01-02 16:30:00
369,6,2014-01-02 17:00:00
369,1,2014-01-02 19:09:47
369,2,2014-01-04 07:00:00
369,10,2014-01-06 10:00:00
410,3,2014-02-23 20:43:13
410,5,2014-02-23 20:58:31
410,4,2014-02-23 20:58:54
410,8,2014-02-23 21:15:00
410,2,2014-02-23 21:15:00
410,9,2014-02-23 21:15:00
410,6,2014-02-23 23:39:44
410,1,2014-02-23 23:49:53
410,9,2014-02-24 06:00:00
410,2,2014-02-24 06:00:00
410,1,2014-02-24 06:52:49
410,7,2014-02-24 20:39:32
410,2,2014-02-25 12:00:00
410,9,2014-02-25 12:00:00
410,10,2014-02-26 09:00:00
410,15,2014-06-10 20:27:24
532,3,2014-06-16 08:34:58
532,5,2014-06-16 08:39:41
532,4,2014-06-16 08:40:44
532,2,2014-06-16 09:07:00
532,8,2014-06-16 09:07:00
532,9,2014-06-16 09:07:00
532,1,2014-06-16 11:01:19
532,7,2014-06-16 11:02:05
532,6,2014-06-16 11:02:14
532,2,2014-06-18 06:00:00
532,9,2014-06-18 06:00:00
532,10,2014-06-21 12:30:00
612,3,2014-04-22 07:39:36
612,5,2014-04-22 08:04:49
612,4,2014-04-22 09:01:16
652,3,2013-12-15 13:17:05
652,5,2013-12-15 13:18:49
652,4,2013-12-15 13:19:07
731,3,2014-01-21 11:16:14
731,5,2014-01-21 11:18:55
731,4,2014-01-21 11:19:08
731,9,2014-01-21 11:22:00
731,2,2014-01-21 11:22:00
731,8,2014-01-21 11:22:00
731,7,2014-01-21 13:27:49
731,6,2014-01-21 13:27:54
731,1,2014-01-21 14:24:18
731,0,2014-01-21 15:45:32
731,8,2014-01-22 06:00:00
731,9,2014-01-22 06:00:00
731,2,2014-01-22 06:00:00
731,1,2014-01-22 10:30:00
731,9,2014-01-23 07:00:00
731,2,2014-01-23 07:00:00
731,9,2014-01-25 07:00:00
731,10,2014-01-28 17:00:00
731,15,2014-08-30 12:54:18
811,3,2014-04-29 18:38:23
811,5,2014-04-29 19:39:37
811,4,2014-04-29 19:49:19
811,9,2014-04-29 20:02:00
811,1,2014-04-29 21:01:15
811,9,2014-04-30 06:00:00
811,9,2014-05-01 05:00:00
811,9,2014-05-01 07:03:00
811,9,2014-05-01 08:23:00
811,2,2014-05-01 08:23:00
811,11,2014-05-01 17:10:00
1010,3,2014-04-03 06:49:53
1010,5,2014-04-03 06:56:52
