case_id,prefix,k,next_act
3,assign_seriousness take_in_charge_ticket,1,resolve_ticket
3,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
3,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
4,assign_seriousness take_in_charge_ticket,1,resolve_ticket
4,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
4,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
6,assign_seriousness take_in_charge_ticket,1,resolve_ticket
6,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
6,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
9,insert_ticket assign_seriousness,1,take_in_charge_ticket
9,insert_ticket assign_seriousness take_in_charge_ticket,2,resolve_ticket
9,insert_ticket assign_seriousness take_in_charge_ticket resolve_ticket,3,closed
9,insert_ticket assign_seriousness take_in_charge_ticket resolve_ticket closed,4,[EOC]
10,assign_seriousness take_in_charge_ticket,1,[EOC]
101547,resolve_ticket closed,1,resolve_ticket
101547,resolve_ticket closed resolve_ticket,2,closed
101547,resolve_ticket closed resolve_ticket closed,3,[EOC]
111592,assign_seriousness resolve_ticket,1,closed
111592,assign_seriousness resolve_ticket closed,2,resolve_ticket
111592,assign_seriousness resolve_ticket closed resolve_ticket,3,closed
111592,assign_seriousness resolve_ticket closed resolve_ticket closed,4,assign_seriousness
111592,assign_seriousness resolve_ticket closed resolve_ticket closed assign_seriousness,5,resolve_ticket
111592,assign_seriousness resolve_ticket closed resolve_ticket closed assign_seriousness resolve_ticket,6,closed
111592,assign_seriousness resolve_ticket closed resolve_ticket closed assign_seriousness resolve_ticket closed,7,[EOC]
111471,take_in_charge_ticket take_in_charge_ticket,1,[EOC]
14,assign_seriousness take_in_charge_ticket,1,resolve_ticket
14,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
14,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
16598,assign_seriousness take_in_charge_ticket,1,resolve_ticket
16598,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
16598,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,assign_seriousness
16598,assign_seriousness take_in_charge_ticket resolve_ticket closed assign_seriousness,4,take_in_charge_ticket
16598,assign_seriousness take_in_charge_ticket resolve_ticket closed assign_seriousness take_in_charge_ticket,5,resolve_ticket
16598,assign_seriousness take_in_charge_ticket resolve_ticket closed assign_seriousness take_in_charge_ticket resolve_ticket,6,closed
16598,assign_seriousness take_in_charge_ticket resolve_ticket closed assign_seriousness take_in_charge_ticket resolve_ticket closed,7,[EOC]
17,assign_seriousness take_in_charge_ticket,1,resolve_ticket
17,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
17,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
19,assign_seriousness take_in_charge_ticket,1,resolve_ticket
19,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
19,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
21,assign_seriousness closed,1,[EOC]
21750,take_in_charge_ticket resolve_ticket,1,take_in_charge_ticket
21750,take_in_charge_ticket resolve_ticket take_in_charge_ticket,2,resolve_ticket
21750,take_in_charge_ticket resolve_ticket take_in_charge_ticket resolve_ticket,3,[EOC]
24,assign_seriousness take_in_charge_ticket,1,resolve_ticket
24,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
24,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
25,assign_seriousness take_in_charge_ticket,1,resolve_ticket
25,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
25,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
26,assign_seriousness take_in_charge_ticket,1,wait
26,assign_seriousness take_in_charge_ticket wait,2,take_in_charge_ticket
26,assign_seriousness take_in_charge_ticket wait take_in_charge_ticket,3,resolve_ticket
26,assign_seriousness take_in_charge_ticket wait take_in_charge_ticket resolve_ticket,4,closed
26,assign_seriousness take_in_charge_ticket wait take_in_charge_ticket resolve_ticket closed,5,[EOC]
27,assign_seriousness take_in_charge_ticket,1,resolve_ticket
27,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
27,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
30,assign_seriousness take_in_charge_ticket,1,resolve_ticket
30,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
30,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
32,assign_seriousness take_in_charge_ticket,1,resolve_ticket
32,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
32,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
35,assign_seriousness resolve_ticket,1,closed
35,assign_seriousness resolve_ticket closed,2,[EOC]
36,assign_seriousness take_in_charge_ticket,1,resolve_ticket
36,assign_seriousness take_in_charge_ticket resolve_ticket,2,closed
36,assign_seriousness take_in_charge_ticket resolve_ticket closed,3,[EOC]
37314,assign_seriousness take_in_charge_ticket,1,resolve_ticket
